address,경로당,보건소,유치원,카페
경기도 가평군 가평읍 개곡리,3,1,0,0
경기도 가평군 가평읍 경반리,1,0,0,2
경기도 가평군 가평읍 금대리,2,0,0,3
경기도 가평군 가평읍 달전리,3,0,0,16
경기도 가평군 가평읍 대곡리,6,0,0,25
경기도 가평군 가평읍 두밀리,1,0,0,1
경기도 가평군 가평읍 마장리,3,0,1,1
경기도 가평군 가평읍 복장리,1,0,0,7
경기도 가평군 가평읍 산유리,1,1,0,5
경기도 가평군 가평읍 상색리,2,0,1,1
경기도 가평군 가평읍 승안리,2,0,0,2
경기도 가평군 가평읍 읍내리,14,1,1,32
경기도 가평군 가평읍 이화리,1,0,0,2
경기도 가평군 가평읍 하색리,4,0,0,1
경기도 가평군 북면 도대리,2,1,0,2
경기도 가평군 북면 목동리,3,1,0,3
경기도 가평군 북면 백둔리,1,1,0,1
경기도 가평군 북면 소법리,2,0,0,0
경기도 가평군 북면 이곡리,2,0,1,1
경기도 가평군 북면 적목리,1,0,0,0
경기도 가평군 북면 제령리,1,0,0,2
경기도 가평군 북면 화악리,2,1,0,2
경기도 가평군 상면 덕현리,1,0,0,3
경기도 가평군 상면 봉수리,3,0,0,0
경기도 가평군 상면 상동리,1,0,0,4
경기도 가평군 상면 연하리,3,1,1,0
경기도 가평군 상면 원흥리,1,0,0,0
경기도 가평군 상면 율길리,3,1,1,1
경기도 가평군 상면 임초리,2,1,1,3
경기도 가평군 상면 태봉리,2,1,0,0
경기도 가평군 상면 항사리,2,0,0,0
경기도 가평군 상면 행현리,2,0,0,13
경기도 가평군 설악면 가일리,2,0,0,6
경기도 가평군 설악면 묵안리,3,0,0,0
경기도 가평군 설악면 미사리,1,1,0,11
경기도 가평군 설악면 방일리,3,1,1,2
경기도 가평군 설악면 사룡리,2,0,0,2
경기도 가평군 설악면 선촌리,4,0,0,5
경기도 가평군 설악면 설곡리,2,1,0,0
경기도 가평군 설악면 송산리,2,0,1,4
경기도 가평군 설악면 신천리,5,1,1,26
경기도 가평군 설악면 엄소리,1,0,0,0
경기도 가평군 설악면 위곡리,4,1,0,4
경기도 가평군 설악면 이천리,2,0,0,3
경기도 가평군 설악면 창의리,1,0,0,2
경기도 가평군 설악면 천안리,2,0,0,1
경기도 가평군 설악면 회곡리,3,0,0,8
경기도 가평군 조종면 대보리,4,0,0,0
경기도 가평군 조종면 마일리,2,0,0,0
경기도 가평군 조종면 상판리,1,0,0,2
경기도 가평군 조종면 신상리,3,0,0,1
경기도 가평군 조종면 신하리,3,0,0,0
경기도 가평군 조종면 운악리,3,1,0,2
경기도 가평군 조종면 현리,8,1,1,21
경기도 가평군 청평면 고성리,1,0,0,6
경기도 가평군 청평면 대성리,4,0,1,12
경기도 가평군 청평면 삼회리,2,1,0,13
경기도 가평군 청평면 상천리,4,1,1,7
경기도 가평군 청평면 청평리,12,1,1,35
경기도 가평군 청평면 하천리,3,0,0,3
경기도 가평군 청평면 호명리,1,0,0,2
경기도 고양시 고양동,0,1,0,0
경기도 고양시 덕양구 강매동,2,0,1,1
경기도 고양시 덕양구 고양동,18,0,4,33
경기도 고양시 덕양구 관산동,10,0,3,23
경기도 고양시 덕양구 내곡동,3,0,0,2
경기도 고양시 덕양구 내유동,4,0,1,11
경기도 고양시 덕양구 대자동,6,0,1,10
경기도 고양시 덕양구 대장동,3,0,1,2
경기도 고양시 덕양구 덕은동,4,0,0,8
경기도 고양시 덕양구 도내동,8,0,3,50
경기도 고양시 덕양구 동산동,5,0,3,68
경기도 고양시 덕양구 벽제동,3,0,1,7
경기도 고양시 덕양구 삼송동,7,0,0,45
경기도 고양시 덕양구 선유동,2,0,0,0
경기도 고양시 덕양구 성사동,17,0,5,36
경기도 고양시 덕양구 신원동,11,0,2,37
경기도 고양시 덕양구 신평동,1,0,0,0
경기도 고양시 덕양구 오금동,1,0,2,1
경기도 고양시 덕양구 용두동,3,0,1,11
경기도 고양시 덕양구 원당동,4,0,1,4
경기도 고양시 덕양구 원흥동,7,0,4,56
경기도 고양시 덕양구 주교동,10,0,2,33
경기도 고양시 덕양구 지축동,3,0,3,11
경기도 고양시 덕양구 토당동,20,0,5,45
경기도 고양시 덕양구 행신동,50,0,17,134
경기도 고양시 덕양구 행주내동,2,0,1,15
경기도 고양시 덕양구 행주외동,2,0,0,9
경기도 고양시 덕양구 향동동,0,0,3,8
경기도 고양시 덕양구 현천동,3,0,0,2
경기도 고양시 덕양구 화전동,4,0,1,13
경기도 고양시 덕양구 화정동,20,0,9,100
경기도 고양시 덕양구 효자동,2,0,0,3
경기도 고양시 마두동,0,1,0,0
경기도 고양시 삼송동,0,0,0,4
경기도 고양시 일산동,0,1,0,0
경기도 고양시 일산동구 마두동,22,0,7,96
경기도 고양시 일산동구 문봉동,3,0,1,5
경기도 고양시 일산동구 백석동,25,0,7,133
경기도 고양시 일산동구 사리현동,6,0,1,6
경기도 고양시 일산동구 산황동,1,0,1,0
경기도 고양시 일산동구 설문동,2,0,0,12
경기도 고양시 일산동구 성석동,7,0,0,22
경기도 고양시 일산동구 식사동,10,0,5,84
경기도 고양시 일산동구 장항동,10,0,2,200
경기도 고양시 일산동구 정발산동,20,0,4,123
경기도 고양시 일산동구 중산동,22,0,7,72
경기도 고양시 일산동구 지영동,1,0,0,6
경기도 고양시 일산동구 풍동,20,0,5,63
경기도 고양시 일산서구 가좌동,10,0,3,22
경기도 고양시 일산서구 구산동,4,0,0,4
경기도 고양시 일산서구 대화동,31,0,7,226
경기도 고양시 일산서구 덕이동,16,0,5,43
경기도 고양시 일산서구 법곳동,4,0,0,1
경기도 고양시 일산서구 일산동,50,0,11,74
경기도 고양시 일산서구 주엽동,37,0,9,53
경기도 고양시 일산서구 탄현동,24,0,10,56
경기도 고양시 주교동,0,1,0,0
경기도 과천시 갈현동,2,0,0,6
경기도 과천시 과천동,6,0,0,32
경기도 과천시 막계동,0,0,0,6
경기도 과천시 문원동,5,0,1,9
경기도 과천시 별양동,5,0,2,20
경기도 과천시 부림동,3,0,1,2
경기도 과천시 원문동,1,0,1,6
경기도 과천시 주암동,3,0,0,11
경기도 과천시 중앙동,4,1,1,19
경기도 광명시 가학동,5,0,2,3
경기도 광명시 광명동,25,1,8,78
경기도 광명시 노온사동,5,0,1,3
경기도 광명시 소하동,34,0,7,94
경기도 광명시 옥길동,2,0,0,2
경기도 광명시 일직동,6,0,1,70
경기도 광명시 철산동,24,0,8,71
경기도 광명시 하안동,18,1,15,70
경기도 광주시 경안동,14,1,4,93
경기도 광주시 곤지암읍 건업리,1,0,0,3
경기도 광주시 곤지암읍 곤지암리,7,0,2,38
경기도 광주시 곤지암읍 만선리,1,1,1,3
경기도 광주시 곤지암읍 봉현리,2,0,0,0
경기도 광주시 곤지암읍 부항리,2,0,0,0
경기도 광주시 곤지암읍 삼리,4,0,2,10
경기도 광주시 곤지암읍 삼합리,1,0,0,1
경기도 광주시 곤지암읍 수양리,4,0,0,0
경기도 광주시 곤지암읍 신대리,1,0,0,3
경기도 광주시 곤지암읍 신촌리,1,0,0,3
경기도 광주시 곤지암읍 연곡리,1,0,0,1
경기도 광주시 곤지암읍 열미리,2,1,0,3
경기도 광주시 곤지암읍 오향리,2,0,0,3
경기도 광주시 곤지암읍 유사리,2,0,0,1
경기도 광주시 곤지암읍 이선리,2,0,0,0
경기도 광주시 곤지암읍 장심리,1,0,0,0
경기도 광주시 남종면 검천리,3,1,0,0
경기도 광주시 남종면 귀여리,1,0,0,0
경기도 광주시 남종면 금사리,1,0,0,0
경기도 광주시 남종면 분원리,1,1,1,5
경기도 광주시 남종면 삼성리,2,0,0,1
경기도 광주시 남종면 수청리,1,0,0,0
경기도 광주시 남한산성면 검복리,1,0,0,6
경기도 광주시 남한산성면 광지원리,1,0,1,1
경기도 광주시 남한산성면 불당리,1,0,0,1
경기도 광주시 남한산성면 산성리,1,1,1,8
경기도 광주시 남한산성면 상번천리,3,0,1,0
경기도 광주시 남한산성면 엄미리,2,0,0,0
경기도 광주시 남한산성면 오전리,1,0,0,6
경기도 광주시 남한산성면 하번천리,1,0,0,0
경기도 광주시 도척면 궁평리,1,0,0,11
경기도 광주시 도척면 노곡리,1,1,1,2
경기도 광주시 도척면 도웅리,2,0,0,8
경기도 광주시 도척면 방도리,2,0,0,0
경기도 광주시 도척면 상림리,3,1,0,3
경기도 광주시 도척면 유정리,2,1,0,4
경기도 광주시 도척면 진우리,4,0,0,5
경기도 광주시 도척면 추곡리,1,0,0,0
경기도 광주시 목동,1,0,0,8
경기도 광주시 목현동,4,0,0,14
경기도 광주시 삼동,4,0,0,2
경기도 광주시 송정동,17,0,2,44
경기도 광주시 쌍령동,10,0,3,15
경기도 광주시 역동,11,0,1,21
경기도 광주시 오포읍 고산리,4,1,0,5
경기도 광주시 오포읍 능평리,9,1,0,34
경기도 광주시 오포읍 매산리,5,0,0,7
경기도 광주시 오포읍 문형리,7,0,0,24
경기도 광주시 오포읍 신현리,14,0,2,43
경기도 광주시 오포읍 양벌리,12,0,3,32
경기도 광주시 오포읍 추자리,2,0,1,15
경기도 광주시 장지동,8,0,0,17
경기도 광주시 중대동,2,0,1,24
경기도 광주시 직동,1,0,0,0
경기도 광주시 초월읍 늑현리,1,0,0,1
경기도 광주시 초월읍 대쌍령리,5,0,0,11
경기도 광주시 초월읍 도평리,6,0,2,6
경기도 광주시 초월읍 무갑리,1,1,0,1
경기도 광주시 초월읍 산이리,5,0,0,8
경기도 광주시 초월읍 서하리,1,0,0,0
경기도 광주시 초월읍 선동리,2,1,1,2
경기도 광주시 초월읍 신월리,3,0,0,2
경기도 광주시 초월읍 쌍동리,7,1,1,7
경기도 광주시 초월읍 용수리,2,0,0,3
경기도 광주시 초월읍 지월리,6,0,0,18
경기도 광주시 초월읍 학동리,3,0,0,0
경기도 광주시 탄벌동,11,0,3,17
경기도 광주시 태전동,22,1,5,43
경기도 광주시 퇴촌면 관음리,3,1,0,12
경기도 광주시 퇴촌면 광동리,2,0,0,11
경기도 광주시 퇴촌면 도마리,1,0,0,0
경기도 광주시 퇴촌면 도수리,3,0,1,10
경기도 광주시 퇴촌면 영동리,2,0,0,7
경기도 광주시 퇴촌면 오리,1,1,0,0
경기도 광주시 퇴촌면 우산리,1,0,0,4
경기도 광주시 퇴촌면 원당리,2,0,0,3
경기도 광주시 퇴촌면 정지리,2,0,0,0
경기도 광주시 회덕동,4,0,1,4
경기도 구리시 갈매동,12,1,3,68
경기도 구리시 교문동,26,0,10,53
경기도 구리시 사노동,6,0,1,6
경기도 구리시 수택동,32,1,2,99
경기도 구리시 아천동,3,0,0,7
경기도 구리시 인창동,44,1,11,75
경기도 구리시 토평동,8,0,2,23
경기도 군포시 금정동,20,0,7,48
경기도 군포시 당동,21,0,7,47
경기도 군포시 당정동,8,0,2,37
경기도 군포시 대야미동,6,0,1,11
경기도 군포시 도마교동,3,0,1,12
경기도 군포시 둔대동,3,0,1,3
경기도 군포시 부곡동,10,1,3,29
경기도 군포시 산본동,45,1,20,160
경기도 군포시 속달동,2,0,0,1
경기도 김포시 감정동,14,0,4,29
경기도 김포시 걸포동,4,0,6,13
경기도 김포시 고촌읍 신곡리,23,1,5,43
경기도 김포시 고촌읍 전호리,2,0,0,14
경기도 김포시 고촌읍 태리,6,0,1,2
경기도 김포시 고촌읍 풍곡리,4,0,3,2
경기도 김포시 고촌읍 향산리,0,0,2,1
경기도 김포시 구래동,13,0,5,104
경기도 김포시 대곶면 거물대리,2,0,0,1
경기도 김포시 대곶면 대능리,5,0,0,0
경기도 김포시 대곶면 대명리,2,0,1,12
경기도 김포시 대곶면 대벽리,5,1,1,0
경기도 김포시 대곶면 상마리,1,0,0,1
경기도 김포시 대곶면 석정리,1,0,1,1
경기도 김포시 대곶면 송마리,4,1,0,2
경기도 김포시 대곶면 쇄암리,1,0,0,0
경기도 김포시 대곶면 신안리,2,0,0,0
경기도 김포시 대곶면 약암리,3,0,0,2
경기도 김포시 대곶면 오니산리,1,0,2,0
경기도 김포시 대곶면 율생리,5,1,1,23
경기도 김포시 대곶면 초원지리,3,0,0,5
경기도 김포시 마산동,8,0,6,27
경기도 김포시 북변동,18,0,3,36
경기도 김포시 사우동,17,1,3,64
경기도 김포시 양촌읍 구래리,3,0,1,6
경기도 김포시 양촌읍 누산리,3,0,0,6
경기도 김포시 양촌읍 대포리,2,0,0,2
경기도 김포시 양촌읍 석모리,4,0,0,13
경기도 김포시 양촌읍 양곡리,16,1,5,38
경기도 김포시 양촌읍 유현리,2,0,0,1
경기도 김포시 양촌읍 학운리,8,1,1,15
경기도 김포시 양촌읍 흥신리,2,0,0,0
경기도 김포시 운양동,23,0,9,103
경기도 김포시 월곶면 갈산리,3,0,0,8
경기도 김포시 월곶면 개곡리,5,1,1,0
경기도 김포시 월곶면 고막리,2,0,0,5
경기도 김포시 월곶면 고양리,2,0,0,1
경기도 김포시 월곶면 군하리,3,1,1,11
경기도 김포시 월곶면 보구곶리,1,0,0,2
경기도 김포시 월곶면 성동리,2,1,0,0
경기도 김포시 월곶면 용강리,1,0,0,0
경기도 김포시 월곶면 조강리,1,0,0,0
경기도 김포시 월곶면 포내리,2,0,0,7
경기도 김포시 장기동,27,0,13,166
경기도 김포시 장기동 석모리,0,0,0,1
경기도 김포시 통진읍 가현리,5,0,0,2
경기도 김포시 통진읍 고정리,3,0,0,1
경기도 김포시 통진읍 귀전리,3,0,0,2
경기도 김포시 통진읍 도사리,8,0,0,4
경기도 김포시 통진읍 동을산리,2,0,0,2
경기도 김포시 통진읍 마송리,7,1,2,34
경기도 김포시 통진읍 서암리,6,0,4,19
경기도 김포시 통진읍 수참리,2,0,0,2
경기도 김포시 통진읍 옹정리,3,0,1,1
경기도 김포시 풍무동,19,0,11,82
경기도 김포시 하성면 가금리,3,0,0,0
경기도 김포시 하성면 마곡리,5,1,1,12
경기도 김포시 하성면 마근포리,1,0,0,0
경기도 김포시 하성면 마조리,2,1,1,0
경기도 김포시 하성면 봉성리,2,0,0,2
경기도 김포시 하성면 석탄리,5,1,0,1
경기도 김포시 하성면 시암리,2,0,0,0
경기도 김포시 하성면 양택리,2,0,0,3
경기도 김포시 하성면 원산리,3,0,0,1
경기도 김포시 하성면 전류리,1,0,0,4
경기도 김포시 하성면 하사리,2,0,0,0
경기도 김포시 하성면 후평리,3,0,0,2
경기도 남양주시 가운동,0,0,0,5
경기도 남양주시 금곡동,21,1,2,30
경기도 남양주시 다산동,40,1,19,64
경기도 남양주시 도농동,0,0,0,23
경기도 남양주시 별내동,34,1,8,148
경기도 남양주시 별내면 광전리,2,0,1,4
경기도 남양주시 별내면 용암리,1,0,0,3
경기도 남양주시 별내면 청학리,12,1,3,20
경기도 남양주시 삼패동,3,0,0,7
경기도 남양주시 수동면 내방리,3,0,0,4
경기도 남양주시 수동면 송천리,4,0,0,3
경기도 남양주시 수동면 수산리,3,0,0,1
경기도 남양주시 수동면 외방리,3,0,0,2
경기도 남양주시 수동면 운수리,4,1,0,3
경기도 남양주시 수동면 입석리,4,0,1,10
경기도 남양주시 수동면 지둔리,3,0,0,1
경기도 남양주시 수석동,2,0,0,20
경기도 남양주시 오남읍 양지리,12,1,3,33
경기도 남양주시 오남읍 오남리,31,1,4,39
경기도 남양주시 오남읍 팔현리,2,0,0,1
경기도 남양주시 와부읍 덕소리,23,1,7,50
경기도 남양주시 와부읍 도곡리,13,0,4,23
경기도 남양주시 와부읍 월문리,6,0,1,22
경기도 남양주시 와부읍 율석리,3,0,0,4
경기도 남양주시 와부읍 팔당리,2,0,0,17
경기도 남양주시 이패동,3,0,0,4
경기도 남양주시 일패동,4,0,1,5
경기도 남양주시 조안면 능내리,2,0,0,6
경기도 남양주시 조안면 삼봉리,2,0,0,18
경기도 남양주시 조안면 송촌리,2,0,0,3
경기도 남양주시 조안면 시우리,1,1,0,0
경기도 남양주시 조안면 조안리,2,0,0,1
경기도 남양주시 조안면 진중리,2,1,0,2
경기도 남양주시 지금동,0,0,0,5
경기도 남양주시 진건읍 배양리,2,0,0,2
경기도 남양주시 진건읍 사능리,6,0,1,8
경기도 남양주시 진건읍 송능리,2,0,0,1
경기도 남양주시 진건읍 신월리,4,0,1,2
경기도 남양주시 진건읍 용정리,17,1,2,16
경기도 남양주시 진건읍 진관리,7,0,0,4
경기도 남양주시 진접읍 금곡리,17,1,6,42
경기도 남양주시 진접읍 내각리,7,0,1,8
경기도 남양주시 진접읍 내곡리,5,0,0,0
경기도 남양주시 진접읍 부평리,11,0,2,12
경기도 남양주시 진접읍 연평리,4,0,0,8
경기도 남양주시 진접읍 장현리,19,0,5,51
경기도 남양주시 진접읍 진벌리,3,0,0,8
경기도 남양주시 진접읍 팔야리,4,0,2,10
경기도 남양주시 퇴계원면 퇴계원리,0,0,0,15
경기도 남양주시 퇴계원읍 퇴계원리,23,1,4,8
경기도 남양주시 평내동,22,0,5,51
경기도 남양주시 호평동,27,1,9,103
경기도 남양주시 화도읍 가곡리,4,0,1,7
경기도 남양주시 화도읍 구암리,5,0,0,2
경기도 남양주시 화도읍 금남리,3,0,1,30
경기도 남양주시 화도읍 녹촌리,11,0,1,10
경기도 남양주시 화도읍 답내리,4,0,1,6
경기도 남양주시 화도읍 마석우리,19,2,3,55
경기도 남양주시 화도읍 묵현리,21,0,5,27
경기도 남양주시 화도읍 월산리,6,0,1,10
경기도 남양주시 화도읍 차산리,6,0,1,9
경기도 남양주시 화도읍 창현리,18,0,5,28
경기도 동두천시 걸산동,1,0,0,0
경기도 동두천시 광암동,3,0,0,2
경기도 동두천시 동두천동,6,0,1,7
경기도 동두천시 보산동,8,0,0,9
경기도 동두천시 상봉암동,7,0,1,3
경기도 동두천시 상패동,11,0,0,8
경기도 동두천시 생연동,38,1,7,65
경기도 동두천시 송내동,6,0,1,18
경기도 동두천시 안흥동,4,0,0,2
경기도 동두천시 지행동,18,0,4,47
경기도 동두천시 탑동동,5,0,1,8
경기도 동두천시 하봉암동,3,0,0,2
경기도 부천시 고강동,24,0,4,23
경기도 부천시 괴안동,23,0,6,25
경기도 부천시 내동,4,0,0,8
경기도 부천시 대장동,2,0,0,0
경기도 부천시 도당동,6,0,4,36
경기도 부천시 범박동,7,0,5,13
경기도 부천시 삼정동,7,0,1,22
경기도 부천시 상동,45,0,19,125
경기도 부천시 소사동,4,0,1,5
경기도 부천시 소사본동,30,1,7,51
경기도 부천시 송내동,31,0,7,60
경기도 부천시 심곡동,11,0,4,109
경기도 부천시 심곡본동,15,0,3,42
경기도 부천시 약대동,9,0,2,15
경기도 부천시 여월동,11,0,3,13
경기도 부천시 역곡동,17,0,4,30
경기도 부천시 오정동,13,1,6,13
경기도 부천시 옥길동,10,0,4,42
경기도 부천시 원미동,8,0,6,17
경기도 부천시 원종동,28,0,6,31
경기도 부천시 원종동?,1,0,0,0
경기도 부천시 작동,5,0,2,14
경기도 부천시 중동,54,1,27,160
경기도 부천시 춘의동,9,0,0,11
경기도 성남시 분당구 구미동,25,0,9,100
경기도 성남시 분당구 궁내동,1,0,0,6
경기도 성남시 분당구 금곡동,14,0,4,39
경기도 성남시 분당구 대장동,0,0,1,4
경기도 성남시 분당구 동원동,2,0,0,1
경기도 성남시 분당구 백현동,12,0,4,93
경기도 성남시 분당구 분당동,12,0,4,14
경기도 성남시 분당구 삼평동,10,0,3,125
경기도 성남시 분당구 서현동,13,0,5,178
경기도 성남시 분당구 석운동,0,0,0,12
경기도 성남시 분당구 수내동,11,0,7,102
경기도 성남시 분당구 야탑동,34,0,10,103
경기도 성남시 분당구 운중동,14,0,3,54
경기도 성남시 분당구 율동,1,0,0,23
경기도 성남시 분당구 이매동,18,0,6,37
경기도 성남시 분당구 정자동,32,0,13,161
경기도 성남시 분당구 판교동,14,0,4,33
경기도 성남시 상대원동,0,1,0,0
경기도 성남시 수정구 고등동,3,0,1,19
경기도 성남시 수정구 금토동,4,0,0,5
경기도 성남시 수정구 단대동,9,0,1,11
경기도 성남시 수정구 복정동,4,0,1,54
경기도 성남시 수정구 사송동,1,0,0,10
경기도 성남시 수정구 산성동,3,0,1,11
경기도 성남시 수정구 상적동,3,0,0,18
경기도 성남시 수정구 수진동,10,0,3,32
경기도 성남시 수정구 시흥동,2,0,0,21
경기도 성남시 수정구 신촌동,1,0,0,3
경기도 성남시 수정구 신흥동,13,0,2,69
경기도 성남시 수정구 심곡동,2,0,0,4
경기도 성남시 수정구 양지동,2,0,0,13
경기도 성남시 수정구 오야동,1,0,0,5
경기도 성남시 수정구 중대동,0,0,1,0
경기도 성남시 수정구 창곡동,14,0,8,120
경기도 성남시 수정구 태평동,22,0,4,64
경기도 성남시 신흥동,0,1,0,0
경기도 성남시 야탑동,0,1,0,0
경기도 성남시 운중동,0,1,0,0
경기도 성남시 중원구 갈현동,1,0,0,0
경기도 성남시 중원구 금광동,12,0,4,45
경기도 성남시 중원구 도촌동,9,0,2,9
경기도 성남시 중원구 상대원동,18,0,4,66
경기도 성남시 중원구 성남동,6,0,2,90
경기도 성남시 중원구 여수동,4,0,1,30
경기도 성남시 중원구 은행동,13,0,4,18
경기도 성남시 중원구 중앙동,6,0,1,25
경기도 성남시 중원구 하대원동,9,0,2,10
경기도 수원시 교동,0,1,0,0
경기도 수원시 권선구 고색동,11,0,3,38
경기도 수원시 권선구 곡반정동,5,0,3,28
경기도 수원시 권선구 구운동,10,0,3,37
경기도 수원시 권선구 권선동,40,0,19,105
경기도 수원시 권선구 금곡동,18,0,9,58
경기도 수원시 권선구 당수동,8,0,3,7
경기도 수원시 권선구 서둔동,10,0,4,19
경기도 수원시 권선구 세류동,28,0,4,44
경기도 수원시 권선구 오목천동,13,0,5,22
경기도 수원시 권선구 입북동,6,0,1,6
경기도 수원시 권선구 탑동,7,0,3,24
경기도 수원시 권선구 평동,2,0,0,11
경기도 수원시 권선구 평리동,0,0,0,1
경기도 수원시 권선구 호매실동,18,0,5,36
경기도 수원시 망포동,0,0,0,6
경기도 수원시 신동,0,0,0,5
경기도 수원시 영통구 망포동,16,0,6,37
경기도 수원시 영통구 매탄동,38,0,14,110
경기도 수원시 영통구 신동,3,0,2,32
경기도 수원시 영통구 영통동,30,0,14,128
경기도 수원시 영통구 원천동,10,0,8,75
경기도 수원시 영통구 이의동,22,0,5,218
경기도 수원시 영통구 하동,8,0,2,65
경기도 수원시 영통동,0,1,0,0
경기도 수원시 장안구 상광교동,1,0,0,0
경기도 수원시 장안구 송죽동,7,0,2,42
경기도 수원시 장안구 연무동,10,0,1,28
경기도 수원시 장안구 영화동,9,0,2,44
경기도 수원시 장안구 율전동,16,0,6,48
경기도 수원시 장안구 이목동,4,0,0,8
경기도 수원시 장안구 정자동,39,0,11,81
경기도 수원시 장안구 조원동,17,0,9,47
경기도 수원시 장안구 천천동,11,0,6,53
경기도 수원시 장안구 파장동,9,0,3,23
경기도 수원시 장안구 하광교동,1,0,0,1
경기도 수원시 조원동,0,1,0,0
경기도 수원시 탑동,0,1,0,0
경기도 수원시 팔달구 고등동,2,0,3,22
경기도 수원시 팔달구 교동,1,0,0,18
경기도 수원시 팔달구 구천동,1,0,0,1
경기도 수원시 팔달구 남수동,1,0,0,8
경기도 수원시 팔달구 남창동,1,0,1,8
경기도 수원시 팔달구 매교동,4,0,0,10
경기도 수원시 팔달구 매산로1가,1,0,0,53
경기도 수원시 팔달구 매산로2가,1,0,0,20
경기도 수원시 팔달구 매산로3가,3,0,1,14
경기도 수원시 팔달구 매향동,1,0,1,5
경기도 수원시 팔달구 북수동,1,0,0,24
경기도 수원시 팔달구 신풍동,2,0,0,26
경기도 수원시 팔달구 영동,1,0,0,3
경기도 수원시 팔달구 우만동,17,0,5,61
경기도 수원시 팔달구 인계동,15,0,3,130
경기도 수원시 팔달구 장안동,1,0,0,20
경기도 수원시 팔달구 중동,0,0,0,3
경기도 수원시 팔달구 지동,7,0,2,13
경기도 수원시 팔달구 팔달로1가,0,0,0,2
경기도 수원시 팔달구 팔달로2가,0,0,0,11
경기도 수원시 팔달구 팔달로3가,1,0,0,11
경기도 수원시 팔달구 화서동,25,0,6,54
경기도 시흥시 거모동,16,0,2,13
경기도 시흥시 계수동,3,0,1,2
경기도 시흥시 과림동,3,1,0,3
경기도 시흥시 광석동,1,0,1,1
경기도 시흥시 군자동,2,0,1,6
경기도 시흥시 금이동,2,0,0,0
경기도 시흥시 논곡동,4,0,2,4
경기도 시흥시 능곡동,13,0,3,27
경기도 시흥시 대야동,22,1,5,86
경기도 시흥시 도창동,3,0,1,3
경기도 시흥시 매화동,9,0,3,5
경기도 시흥시 목감동,4,0,0,20
경기도 시흥시 무지내동,2,0,0,0
경기도 시흥시 물왕동,2,0,0,11
경기도 시흥시 미산동,6,0,0,4
경기도 시흥시 방산동,2,0,0,1
경기도 시흥시 배곧동,0,0,9,0
경기도 시흥시 산현동,5,0,1,16
경기도 시흥시 신천동,23,0,5,66
경기도 시흥시 안현동,3,0,0,0
경기도 시흥시 월곶동,8,1,3,23
경기도 시흥시 은행동,22,0,9,62
경기도 시흥시 장곡동,8,0,4,20
경기도 시흥시 장현동,2,0,5,18
경기도 시흥시 정왕동,80,1,13,288
경기도 시흥시 조남동,18,0,4,27
경기도 시흥시 죽율동,3,0,1,3
경기도 시흥시 포동,7,1,1,3
경기도 시흥시 하상동,4,0,0,7
경기도 시흥시 하중동,6,1,3,14
경기도 안산시 건건동,0,1,0,0
경기도 안산시 고잔동,0,0,0,28
경기도 안산시 단원구 고잔동,43,0,13,230
경기도 안산시 단원구 대부남동,6,0,1,14
경기도 안산시 단원구 대부동동,6,0,1,5
경기도 안산시 단원구 대부북동,6,0,1,32
경기도 안산시 단원구 선감동,2,0,0,3
경기도 안산시 단원구 선부동,27,0,10,47
경기도 안산시 단원구 성곡동,0,0,0,7
경기도 안산시 단원구 신길동,16,0,4,14
경기도 안산시 단원구 와동,9,0,3,25
