address,백화점,대형마트,대형쇼핑시설,영화관
경기도 가평군 가평읍 대곡리,0,0,0,2
경기도 가평군 가평읍 읍내리,0,0,0,1
경기도 고양시 덕양구 도내동,0,0,1,0
경기도 고양시 덕양구 동산동,0,0,0,1
경기도 고양시 덕양구 행신동,0,1,0,1
경기도 고양시 덕양구 화정동,0,2,0,2
경기도 고양시 일산동구 백석동,0,2,2,3
경기도 고양시 일산동구 장항동,2,3,1,5
경기도 고양시 일산동구 중산동,0,0,1,0
경기도 고양시 일산서구 대화동,1,1,2,2
경기도 고양시 일산서구 덕이동,0,1,0,4
경기도 고양시 일산서구 주엽동,1,1,0,1
경기도 과천시 별양동,0,1,0,0
경기도 광명시 광명동,0,0,0,1
경기도 광명시 소하동,0,1,0,0
경기도 광명시 일직동,0,1,3,2
경기도 광명시 철산동,0,0,2,1
경기도 광명시 하안동,0,0,1,1
경기도 광주시 경안동,0,1,0,1
경기도 광주시 삼동,0,1,0,0
경기도 광주시 역동,0,1,0,1
경기도 구리시 인창동,3,2,1,5
경기도 군포시 금정동,0,0,1,0
경기도 군포시 부곡동,0,1,1,0
경기도 군포시 산본동,0,1,2,2
경기도 김포시 감정동,0,1,0,0
경기도 김포시 걸포동,0,1,0,1
경기도 김포시 고촌읍 전호리,0,0,2,0
경기도 김포시 구래동,0,1,0,1
경기도 김포시 사우동,0,0,0,1
경기도 김포시 운양동,0,0,0,1
경기도 김포시 장기동,0,1,0,0
경기도 김포시 풍무동,0,2,0,1
경기도 남양주시 다산동,0,1,1,1
경기도 남양주시 별내동,0,1,0,4
경기도 남양주시 오남읍 오남리,0,1,0,0
경기도 남양주시 와부읍 덕소리,0,1,0,0
경기도 남양주시 진접읍 금곡리,0,0,0,1
경기도 남양주시 호평동,0,1,0,3
경기도 남양주시 화도읍 마석우리,0,1,0,1
경기도 동두천시 생연동,0,1,0,3
경기도 동두천시 송내동,0,1,0,0
경기도 부천시 괴안동,0,1,0,2
경기도 부천시 상동,0,1,3,4
경기도 부천시 심곡동,0,0,1,6
경기도 부천시 심곡본동,0,0,2,0
경기도 부천시 여월동,0,1,0,0
경기도 부천시 옥길동,0,0,1,2
경기도 부천시 중동,2,1,2,3
경기도 성남시 분당구 구미동,0,2,0,1
경기도 성남시 분당구 백현동,1,0,0,1
경기도 성남시 분당구 삼평동,0,1,0,0
경기도 성남시 분당구 서현동,2,0,0,2
경기도 성남시 분당구 수내동,1,0,0,0
경기도 성남시 분당구 야탑동,3,1,0,1
경기도 성남시 분당구 정자동,0,1,0,0
경기도 성남시 수정구 시흥동,0,0,1,1
경기도 성남시 수정구 신흥동,0,0,0,1
경기도 성남시 수정구 창곡동,0,0,0,1
경기도 성남시 수정구 태평동,0,0,1,0
경기도 성남시 중원구 성남동,0,0,0,2
경기도 수원시 권선구 구운동,0,1,0,0
경기도 수원시 권선구 권선동,0,0,1,1
경기도 수원시 권선구 금곡동,0,1,0,2
경기도 수원시 권선구 서둔동,0,0,1,2
경기도 수원시 권선구 탑동,0,0,0,1
경기도 수원시 영통구 신동,0,1,0,0
경기도 수원시 영통구 영통동,0,2,0,3
경기도 수원시 영통구 원천동,0,1,0,0
경기도 수원시 영통구 이의동,0,1,2,1
경기도 수원시 영통구 하동,1,0,0,1
경기도 수원시 장안구 조원동,0,1,1,1
경기도 수원시 장안구 천천동,0,1,0,1
경기도 수원시 팔달구 매산로1가,1,0,1,4
경기도 수원시 팔달구 인계동,0,2,2,2
경기도 수원시 팔달구 팔달로3가,0,0,0,3
경기도 시흥시 대야동,0,1,0,2
경기도 시흥시 배곧동,0,1,0,0
경기도 시흥시 정왕동,0,3,0,7
경기도 안산시 단원구 고잔동,1,2,1,6
경기도 안산시 단원구 선부동,0,1,0,0
경기도 안산시 단원구 신길동,0,1,0,0
경기도 안산시 단원구 초지동,0,1,0,0
경기도 안산시 상록구 본오동,0,0,1,0
경기도 안산시 상록구 성포동,0,1,1,1
경기도 안성시 계동,0,1,0,0
경기도 안성시 공도읍 만정리,0,1,0,0
경기도 안성시 공도읍 양기리,0,1,0,1
경기도 안성시 공도읍 진사리,0,0,1,1
경기도 안성시 석정동,0,2,0,1
경기도 안양시 동안구 관양동,0,1,0,2
경기도 안양시 동안구 비산동,0,1,1,0
경기도 안양시 동안구 호계동,0,0,3,2
경기도 안양시 만안구 안양동,1,0,1,3
경기도 양주시 광사동,0,0,0,2
경기도 양주시 광적면 광석리,0,0,0,1
경기도 양주시 덕계동,0,1,0,0
경기도 양주시 옥정동,0,0,0,1
경기도 양주시 장흥면 일영리,0,0,0,1
경기도 양주시 회정동,0,1,1,0
경기도 양평군 양평읍 공흥리,0,1,1,0
경기도 양평군 양평읍 양근리,0,0,0,1
경기도 양평군 양평읍 오빈리,0,0,0,1
경기도 여주시 홍문동,0,1,0,0
경기도 오산시 수청동,0,1,0,0
경기도 오산시 오산동,0,1,0,0
경기도 오산시 외삼미동,0,0,1,0
경기도 오산시 원동,0,1,0,3
경기도 용인시 기흥구 고매동,0,0,0,1
경기도 용인시 기흥구 공세동,0,2,0,0
경기도 용인시 기흥구 구갈동,0,0,1,2
경기도 용인시 기흥구 보라동,0,0,1,1
경기도 용인시 기흥구 보정동,0,1,0,0
경기도 용인시 기흥구 상갈동,0,0,0,2
경기도 용인시 기흥구 상하동,0,1,0,0
경기도 용인시 기흥구 신갈동,0,1,0,0
경기도 용인시 기흥구 영덕동,0,1,0,0
경기도 용인시 기흥구 중동,0,1,1,2
경기도 용인시 기흥구 지곡동,0,0,0,1
경기도 용인시 기흥구 청덕동,0,0,0,2
경기도 용인시 수지구 고기동,0,1,0,0
경기도 용인시 수지구 상현동,0,0,0,1
경기도 용인시 수지구 성복동,0,0,1,1
경기도 용인시 수지구 신봉동,0,1,0,0
경기도 용인시 수지구 죽전동,1,1,0,2
경기도 용인시 처인구 김량장동,0,0,1,5
경기도 용인시 처인구 역북동,0,1,1,1
경기도 의왕시 고천동,0,1,0,0
경기도 의왕시 내손동,0,1,0,0
경기도 의왕시 오전동,0,1,0,0
경기도 의왕시 학의동,0,0,1,0
경기도 의정부시 금오동,0,1,0,0
경기도 의정부시 민락동,0,2,0,6
경기도 의정부시 용현동,0,2,0,0
경기도 의정부시 의정부동,1,0,0,6
경기도 의정부시 장암동,0,1,0,0
경기도 이천시 안흥동,0,1,0,0
경기도 이천시 중리동,0,0,0,1
경기도 이천시 증포동,0,1,0,0
경기도 이천시 창전동,0,0,1,0
경기도 이천시 호법면 단천리,0,0,1,0
경기도 파주시 교하읍 당하리,0,1,0,0
경기도 파주시 금촌동,0,0,0,3
경기도 파주시 당하동,0,1,0,0
경기도 파주시 동패동,0,1,0,0
경기도 파주시 목동동,0,0,1,3
경기도 파주시 문발동,0,0,2,1
경기도 파주시 문산읍 당동리,0,1,0,1
경기도 파주시 야당동,0,0,0,2
경기도 파주시 조리읍 능안리,0,0,0,1
경기도 파주시 탄현면 법흥리,0,0,0,1
경기도 파주시 탄현면 성동리,0,0,0,1
경기도 평택시 비전동,0,1,1,2
경기도 평택시 서정동,0,0,0,1
경기도 평택시 안중읍 현화리,0,1,0,0
경기도 평택시 장당동,0,1,0,0
경기도 평택시 지제동,0,1,0,0
경기도 평택시 평택동,0,0,2,2
경기도 평택시 합정동,0,1,0,0
경기도 포천시 군내면 하성북리,0,0,0,1
경기도 포천시 소흘읍 무림리,0,0,0,1
경기도 포천시 소흘읍 송우리,0,0,1,1
경기도 포천시 소흘읍 직동리,0,0,0,1
경기도 포천시 신북면 삼정리,0,0,0,1
경기도 포천시 영북면 운천리,0,0,0,1
경기도 하남시 덕풍동,0,1,0,1
경기도 하남시 망월동,0,0,0,3
경기도 하남시 신장동,0,5,1,1
경기도 하남시 창우동,0,2,0,0
경기도 하남시 풍산동,0,1,0,0
경기도 하남시 학암동,0,0,1,1
경기도 화성시 반송동,0,1,1,2
경기도 화성시 방교동,0,0,1,0
경기도 화성시 병점동,0,1,0,1
경기도 화성시 봉담읍 동화리,0,1,0,1
경기도 화성시 석우동,0,1,0,0
경기도 화성시 송동,0,0,0,1
경기도 화성시 오산동,1,1,0,2
경기도 화성시 향남읍 하길리,0,0,0,1
경기도 화성시 향남읍 행정리,0,1,0,0
서울특별시 강남구 논현동,0,0,0,13
서울특별시 강남구 대치동,1,0,0,0
서울특별시 강남구 도곡동,0,0,0,1
서울특별시 강남구 삼성동,1,0,4,3
서울특별시 강남구 신사동,0,0,1,5
서울특별시 강남구 압구정동,3,0,0,0
서울특별시 강남구 역삼동,0,1,0,8
서울특별시 강남구 청담동,1,0,0,0
서울특별시 강동구 명일동,0,2,0,0
서울특별시 강동구 성내동,0,0,0,3
서울특별시 강동구 암사동,0,1,0,0
서울특별시 강동구 천호동,1,2,0,1
서울특별시 강북구 미아동,1,5,2,4
서울특별시 강북구 번동,0,0,0,1
서울특별시 강북구 수유동,0,1,1,3
서울특별시 강서구 가양동,0,2,0,0
서울특별시 강서구 등촌동,1,1,0,2
서울특별시 강서구 마곡동,0,0,0,1
서울특별시 강서구 방화동,0,0,1,1
서울특별시 강서구 화곡동,0,0,0,1
서울특별시 관악구 남현동,0,1,0,0
서울특별시 관악구 봉천동,1,1,2,1
서울특별시 관악구 신림동,0,0,2,1
서울특별시 광진구 구의동,0,1,0,1
서울특별시 광진구 군자동,0,0,0,1
서울특별시 광진구 자양동,1,1,0,3
서울특별시 광진구 화양동,0,0,1,1
서울특별시 구로구 개봉동,0,0,0,1
서울특별시 구로구 고척동,0,0,1,0
서울특별시 구로구 구로동,1,3,0,2
서울특별시 구로구 신도림동,1,1,0,1
서울특별시 구로구 오류동,0,0,1,0
서울특별시 금천구 가산동,0,0,5,1
서울특별시 금천구 독산동,0,3,2,1
서울특별시 금천구 시흥동,0,1,0,0
서울특별시 노원구 상계동,1,0,1,4
서울특별시 노원구 월계동,0,0,1,0
서울특별시 노원구 중계동,1,2,0,2
서울특별시 도봉구 방학동,0,1,0,0
서울특별시 도봉구 창동,0,1,0,2
서울특별시 동대문구 용두동,0,1,0,0
서울특별시 동대문구 이문동,0,0,1,0
서울특별시 동대문구 장안동,0,1,0,2
서울특별시 동대문구 전농동,1,1,0,1
서울특별시 동작구 대방동,0,0,1,0
서울특별시 동작구 사당동,0,0,2,2
서울특별시 마포구 동교동,0,0,2,4
서울특별시 마포구 서교동,0,1,0,1
서울특별시 마포구 성산동,0,1,0,1
서울특별시 마포구 신공덕동,0,1,0,0
서울특별시 서대문구 대신동,0,0,0,2
서울특별시 서대문구 대현동,0,0,0,1
서울특별시 서대문구 신촌동,0,0,0,3
서울특별시 서대문구 연희동,0,0,0,1
서울특별시 서대문구 창천동,1,0,0,7
서울특별시 서초구 반포동,1,0,0,1
서울특별시 서초구 방배동,0,2,0,0
서울특별시 서초구 서초동,0,1,0,1
서울특별시 서초구 양재동,0,2,0,0
서울특별시 서초구 잠원동,1,1,0,1
서울특별시 성동구 성수동1가,0,0,0,3
서울특별시 성동구 성수동2가,1,0,0,0
서울특별시 성동구 행당동,0,1,1,1
서울특별시 성북구 길음동,1,2,0,0
서울특별시 성북구 돈암동,0,0,0,1
서울특별시 성북구 동선동1가,0,0,1,5
서울특별시 성북구 하월곡동,0,2,0,0
서울특별시 송파구 문정동,0,1,1,4
서울특별시 송파구 신천동,1,2,2,2
서울특별시 송파구 잠실동,1,1,0,0
서울특별시 양천구 목동,2,1,1,2
서울특별시 영등포구 대림동,0,0,1,0
서울특별시 영등포구 문래동3가,0,1,0,0
서울특별시 영등포구 양평동3가,0,2,0,0
서울특별시 영등포구 여의도동,1,2,1,2
서울특별시 영등포구 영등포동,1,0,0,1
서울특별시 영등포구 영등포동4가,1,0,1,2
서울특별시 영등포구 영등포동8가,0,1,0,0
서울특별시 용산구 용산동6가,0,0,2,0
서울특별시 용산구 이태원동,0,0,1,0
서울특별시 용산구 한강로2가,0,1,0,0
서울특별시 용산구 한강로3가,1,0,1,5
서울특별시 용산구 후암동,0,0,0,1
서울특별시 은평구 구산동,0,1,0,0
서울특별시 은평구 녹번동,0,0,0,1
서울특별시 은평구 대조동,0,0,2,2
서울특별시 은평구 불광동,0,0,2,0
서울특별시 은평구 수색동,0,1,0,0
서울특별시 은평구 응암동,0,1,0,0
서울특별시 은평구 진관동,0,1,1,1
서울특별시 종로구 관수동,0,0,0,1
서울특별시 종로구 낙원동,0,0,0,2
서울특별시 종로구 돈의동,0,0,0,2
서울특별시 종로구 명륜2가,0,0,0,5
서울특별시 종로구 묘동,0,0,0,1
서울특별시 종로구 서린동,0,1,0,0
서울특별시 종로구 신문로1가,0,1,0,1
서울특별시 종로구 신문로2가,0,0,0,2
서울특별시 종로구 예지동,0,0,1,1
서울특별시 종로구 종로1가,0,0,1,0
서울특별시 중구 남대문로2가,1,0,1,1
서울특별시 중구 명동2가,0,0,1,1
서울특별시 중구 봉래동2가,0,1,1,1
서울특별시 중구 소공동,1,0,0,0
서울특별시 중구 신당동,0,0,1,0
서울특별시 중구 을지로6가,0,0,2,3
서울특별시 중구 을지로7가,0,0,1,0
서울특별시 중구 장충동2가,0,0,0,1
서울특별시 중구 초동,0,0,0,4
서울특별시 중구 충무로1가,1,0,0,2
서울특별시 중구 충무로2가,0,0,0,2
서울특별시 중구 충무로4가,0,0,0,1
서울특별시 중구 충정로1가,0,0,0,1
서울특별시 중구 필동1가,0,0,0,1
서울특별시 중구 필동2가,0,0,0,2
서울특별시 중구 필동3가,0,0,0,1
서울특별시 중구 황학동,0,1,0,0
서울특별시 중구 회현동1가,0,0,1,0
서울특별시 중구 회현동2가,0,0,0,1
서울특별시 중랑구 망우동,0,1,0,0
서울특별시 중랑구 면목동,0,0,1,0
서울특별시 중랑구 묵동,0,1,0,1
서울특별시 중랑구 상봉동,0,2,1,2
서울특별시 중랑구 신내동,0,1,1,0
인천광역시 강화군 강화읍 국화리,0,0,0,1
인천광역시 계양구 계산동,0,3,0,0
인천광역시 계양구 작전동,0,2,1,3
인천광역시 남동구 간석동,1,1,0,0
인천광역시 남동구 구월동,0,0,5,1
인천광역시 남동구 논현동,0,0,2,3
인천광역시 동구 송림동,0,1,0,0
인천광역시 동구 송현동,0,0,0,1
인천광역시 미추홀구 관교동,1,0,0,1
인천광역시 미추홀구 도화동,0,0,1,2
인천광역시 미추홀구 숭의동,0,1,0,0
인천광역시 미추홀구 용현동,0,1,0,0
인천광역시 미추홀구 주안동,0,0,1,5
인천광역시 미추홀구 학익동,0,0,0,1
인천광역시 부평구 갈산동,0,1,0,0
인천광역시 부평구 부평동,2,2,0,5
인천광역시 부평구 산곡동,0,2,2,0
인천광역시 부평구 삼산동,0,2,0,0
인천광역시 부평구 청천동,0,0,0,3
인천광역시 서구 가좌동,0,1,0,0
인천광역시 서구 당하동,0,1,0,1
인천광역시 서구 마전동,0,2,0,0
인천광역시 서구 연희동,0,0,0,1
인천광역시 서구 청라동,0,1,2,2
인천광역시 연수구 동춘동,0,2,1,2
인천광역시 연수구 송도동,0,2,4,3
인천광역시 연수구 옥련동,0,0,0,1
인천광역시 연수구 청학동,0,1,0,1
인천광역시 중구 경동,0,0,0,2
인천광역시 중구 신생동,0,1,0,0
인천광역시 중구 운서동,0,1,1,2
인천광역시 중구 인현동,0,0,1,0
인천광역시 중구 중산동,0,0,0,1
