address,학원,초등학교,중학교,고등학교,유치원
경기도 가평군 가평읍 대곡리,16개,0개,0개,0개,0개
경기도 가평군 가평읍 읍내리,17개,1개,0개,0개,1개
경기도 가평군 상면 덕현리,2개,0개,0개,0개,0개
경기도 가평군 상면 연하리,1개,1개,0개,0개,1개
경기도 가평군 설악면 송산리,1개,0개,0개,0개,0개
경기도 가평군 설악면 신천리,11개,1개,1개,1개,1개
경기도 가평군 조종면 현리,9개,1개,1개,1개,1개
경기도 가평군 청평면 상천리,2개,1개,0개,0개,1개
경기도 가평군 청평면 청평리,15개,1개,1개,1개,1개
경기도 고양시 덕양구 고양동,57개,2개,1개,1개,4개
경기도 고양시 덕양구 관산동,36개,1개,1개,1개,3개
경기도 고양시 덕양구 내유동,11개,1개,0개,0개,1개
경기도 고양시 덕양구 대장동,1개,1개,0개,0개,1개
경기도 고양시 덕양구 도내동,77개,2개,1개,1개,3개
경기도 고양시 덕양구 동산동,55개,2개,0개,1개,3개
경기도 고양시 덕양구 삼송동,33개,0개,0개,0개,0개
경기도 고양시 덕양구 성사동,80개,2개,1개,1개,5개
경기도 고양시 덕양구 신원동,74개,1개,1개,1개,2개
경기도 고양시 덕양구 원흥동,28개,2개,0개,0개,4개
경기도 고양시 덕양구 주교동,19개,1개,1개,0개,2개
경기도 고양시 덕양구 지축동,4개,1개,1개,0개,3개
경기도 고양시 덕양구 토당동,45개,2개,1개,1개,5개
경기도 고양시 덕양구 행신동,262개,10개,5개,4개,18개
경기도 고양시 덕양구 향동동,46개,2개,1개,1개,3개
경기도 고양시 덕양구 화전동,3개,1개,1개,0개,1개
경기도 고양시 덕양구 화정동,338개,6개,4개,2개,9개
경기도 고양시 일산동구 마두동,386개,4개,3개,2개,7개
경기도 고양시 일산동구 백석동,71개,3개,1개,2개,7개
경기도 고양시 일산동구 사리현동,4개,1개,0개,0개,1개
경기도 고양시 일산동구 설문동,1개,0개,0개,0개,0개
경기도 고양시 일산동구 성석동,2개,0개,0개,0개,0개
경기도 고양시 일산동구 식사동,105개,3개,1개,2개,5개
경기도 고양시 일산동구 장항동,113개,2개,0개,0개,2개
경기도 고양시 일산동구 정발산동,75개,2개,1개,1개,4개
경기도 고양시 일산동구 중산동,122개,5개,2개,2개,7개
경기도 고양시 일산동구 지영동,1개,0개,0개,0개,0개
경기도 고양시 일산동구 풍동,113개,3개,1개,2개,5개
경기도 고양시 일산서구 가좌동,41개,2개,1개,1개,3개
경기도 고양시 일산서구 대화동,123개,5개,3개,3개,7개
경기도 고양시 일산서구 덕이동,55개,3개,1개,3개,5개
경기도 고양시 일산서구 일산동,460개,4개,3개,2개,11개
경기도 고양시 일산서구 주엽동,300개,6개,3개,2개,9개
경기도 고양시 일산서구 탄현동,114개,4개,2개,1개,9개
경기도 과천시 갈현동,1개,0개,0개,0개,0개
경기도 과천시 과천동,2개,0개,0개,0개,0개
경기도 과천시 별양동,81개,2개,1개,1개,2개
경기도 과천시 부림동,11개,0개,0개,0개,0개
경기도 과천시 원문동,42개,0개,0개,0개,0개
경기도 과천시 주암동,3개,0개,0개,0개,0개
경기도 과천시 중앙동,31개,0개,0개,0개,0개
경기도 광명시 광명동,165개,0개,0개,0개,0개
경기도 광명시 소하동,170개,1개,3개,5개,8개
경기도 광명시 일직동,55개,0개,0개,0개,0개
경기도 광명시 철산동,236개,1개,3개,2개,8개
경기도 광명시 하안동,223개,0개,0개,0개,0개
경기도 광주시 경안동,85개,0개,0개,0개,0개
경기도 광주시 곤지암읍 건업리,1개,0개,0개,0개,0개
경기도 광주시 곤지암읍 곤지암리,16개,1개,1개,1개,2개
경기도 광주시 곤지암읍 만선리,1개,1개,0개,0개,1개
경기도 광주시 곤지암읍 삼리,17개,1개,0개,0개,2개
경기도 광주시 도척면 궁평리,1개,0개,0개,0개,0개
경기도 광주시 도척면 노곡리,4개,1개,1개,0개,1개
경기도 광주시 목동,1개,0개,0개,0개,0개
경기도 광주시 목현동,2개,0개,0개,0개,0개
경기도 광주시 송정동,23개,1개,1개,3개,2개
경기도 광주시 쌍령동,29개,0개,0개,0개,0개
경기도 광주시 역동,18개,0개,0개,0개,0개
경기도 광주시 오포읍 능평리,16개,0개,0개,0개,0개
경기도 광주시 오포읍 매산리,2개,0개,0개,0개,0개
경기도 광주시 오포읍 신현리,41개,2개,1개,0개,2개
경기도 광주시 오포읍 양벌리,69개,2개,1개,0개,3개
경기도 광주시 오포읍 추자리,11개,1개,0개,0개,1개
경기도 광주시 장지동,21개,0개,0개,0개,0개
경기도 광주시 중대동,22개,0개,0개,0개,0개
경기도 광주시 초월읍 늑현리,1개,0개,0개,0개,0개
경기도 광주시 초월읍 대쌍령리,5개,0개,0개,0개,0개
경기도 광주시 초월읍 도평리,19개,1개,0개,0개,2개
경기도 광주시 초월읍 무갑리,1개,0개,0개,0개,0개
경기도 광주시 초월읍 산이리,2개,0개,0개,0개,0개
경기도 광주시 초월읍 신월리,2개,1개,0개,0개,0개
경기도 광주시 초월읍 쌍동리,27개,1개,1개,0개,1개
경기도 광주시 초월읍 용수리,1개,0개,0개,0개,0개
경기도 광주시 초월읍 지월리,4개,0개,0개,0개,0개
경기도 광주시 탄벌동,45개,1개,1개,0개,3개
경기도 광주시 태전동,77개,1개,1개,1개,4개
경기도 광주시 퇴촌면 관음리,3개,0개,0개,0개,0개
경기도 광주시 퇴촌면 광동리,1개,0개,0개,0개,0개
경기도 광주시 퇴촌면 도수리,15개,1개,0개,0개,1개
경기도 광주시 회덕동,4개,0개,0개,0개,0개
경기도 구리시 갈매동,73개,0개,0개,0개,0개
경기도 구리시 교문동,74개,1개,2개,0개,10개
경기도 구리시 수택동,195개,0개,0개,0개,0개
경기도 구리시 아천동,1개,0개,0개,0개,0개
경기도 구리시 인창동,194개,2개,2개,1개,11개
경기도 구리시 토평동,44개,1개,2개,2개,2개
경기도 군포시 금정동,99개,1개,2개,2개,7개
경기도 군포시 당동,109개,1개,3개,1개,7개
경기도 군포시 당정동,34개,0개,0개,0개,0개
경기도 군포시 대야미동,11개,0개,0개,0개,0개
경기도 군포시 도마교동,19개,1개,0개,0개,1개
경기도 군포시 부곡동,47개,0개,0개,0개,0개
경기도 군포시 산본동,412개,0개,0개,0개,0개
경기도 김포시 감정동,48개,0개,0개,0개,0개
경기도 김포시 걸포동,29개,1개,0개,0개,6개
경기도 김포시 고촌읍 신곡리,66개,3개,2개,0개,3개
경기도 김포시 고촌읍 태리,1개,0개,0개,0개,0개
경기도 김포시 고촌읍 향산리,3개,1개,1개,0개,2개
경기도 김포시 구래동,138개,2개,1개,0개,5개
경기도 김포시 대곶면 대능리,1개,0개,0개,0개,0개
경기도 김포시 대곶면 석정리,1개,1개,0개,0개,1개
경기도 김포시 대곶면 오니산리,1개,0개,0개,0개,0개
경기도 김포시 대곶면 율생리,2개,1개,1개,0개,1개
경기도 김포시 마산동,52개,1개,1개,1개,5개
경기도 김포시 북변동,124개,2개,2개,1개,3개
경기도 김포시 사우동,66개,0개,0개,0개,0개
경기도 김포시 양촌읍 구래리,2개,0개,0개,0개,0개
경기도 김포시 양촌읍 석모리,2개,0개,0개,0개,0개
경기도 김포시 양촌읍 양곡리,18개,2개,2개,1개,5개
경기도 김포시 양촌읍 학운리,4개,1개,0개,0개,1개
경기도 김포시 운양동,161개,2개,1개,2개,8개
경기도 김포시 장기동,289개,3개,4개,1개,13개
경기도 김포시 통진읍 도사리,1개,0개,0개,0개,0개
경기도 김포시 통진읍 마송리,13개,2개,2개,2개,2개
경기도 김포시 통진읍 서암리,10개,2개,0개,0개,4개
경기도 김포시 풍무동,180개,3개,2개,1개,11개
경기도 김포시 하성면 마곡리,3개,1개,1개,1개,1개
경기도 남양주시 금곡동,27개,0개,0개,0개,0개
경기도 남양주시 다산동,356개,6개,6개,4개,17개
경기도 남양주시 별내동,167개,1개,2개,2개,7개
경기도 남양주시 별내면 청학리,33개,1개,1개,1개,3개
경기도 남양주시 수동면 송천리,1개,1개,0개,0개,0개
경기도 남양주시 수동면 외방리,1개,0개,0개,0개,0개
경기도 남양주시 수동면 입석리,3개,1개,1개,0개,1개
경기도 남양주시 수석동,1개,0개,0개,0개,0개
경기도 남양주시 오남읍 양지리,35개,2개,2개,1개,3개
경기도 남양주시 오남읍 오남리,49개,2개,1개,0개,4개
경기도 남양주시 와부읍 덕소리,112개,3개,2개,1개,7개
경기도 남양주시 와부읍 도곡리,64개,2개,1개,1개,4개
경기도 남양주시 진건읍 사능리,1개,1개,1개,0개,1개
경기도 남양주시 진건읍 용정리,27개,1개,0개,0개,2개
경기도 남양주시 진접읍 금곡리,105개,4개,2개,1개,6개
경기도 남양주시 진접읍 내각리,7개,1개,0개,0개,1개
경기도 남양주시 진접읍 부평리,16개,1개,0개,0개,2개
경기도 남양주시 진접읍 연평리,1개,0개,0개,0개,0개
경기도 남양주시 진접읍 장현리,58개,2개,2개,1개,5개
경기도 남양주시 진접읍 진벌리,1개,0개,0개,0개,0개
경기도 남양주시 진접읍 팔야리,2개,1개,0개,0개,2개
경기도 남양주시 퇴계원읍 퇴계원리,41개,1개,1개,1개,4개
경기도 남양주시 평내동,147개,0개,0개,0개,0개
경기도 남양주시 호평동,148개,0개,0개,0개,0개
경기도 남양주시 화도읍 가곡리,3개,1개,0개,0개,1개
경기도 남양주시 화도읍 구암리,2개,0개,0개,0개,0개
경기도 남양주시 화도읍 금남리,1개,1개,0개,0개,1개
경기도 남양주시 화도읍 녹촌리,10개,1개,0개,1개,1개
경기도 남양주시 화도읍 답내리,1개,1개,0개,0개,1개
경기도 남양주시 화도읍 마석우리,72개,3개,2개,1개,3개
경기도 남양주시 화도읍 묵현리,23개,1개,1개,0개,5개
경기도 남양주시 화도읍 월산리,14개,1개,1개,1개,1개
경기도 남양주시 화도읍 차산리,5개,1개,0개,0개,1개
경기도 남양주시 화도읍 창현리,41개,2개,1개,0개,5개
경기도 동두천시 동두천동,1개,0개,0개,0개,0개
경기도 동두천시 생연동,16개,2개,4개,2개,7개
경기도 동두천시 송내동,3개,0개,0개,0개,0개
경기도 동두천시 지행동,98개,0개,0개,0개,0개
경기도 동두천시 하봉암동,1개,0개,0개,0개,0개
경기도 부천시 고강동,47개,1개,1개,1개,4개
경기도 부천시 괴안동,61개,0개,0개,0개,0개
경기도 부천시 내동,3개,0개,0개,0개,0개
경기도 부천시 도당동,41개,0개,0개,0개,0개
경기도 부천시 범박동,74개,0개,0개,0개,0개
경기도 부천시 삼정동,8개,1개,0개,0개,1개
경기도 부천시 상동,457개,2개,5개,5개,19개
경기도 부천시 소사동,8개,0개,0개,0개,0개
경기도 부천시 소사본동,95개,1개,2개,1개,6개
경기도 부천시 송내동,101개,1개,3개,3개,7개
경기도 부천시 심곡동,79개,2개,0개,0개,4개
경기도 부천시 심곡본동,51개,0개,0개,0개,0개
경기도 부천시 약대동,28개,2개,0개,0개,2개
경기도 부천시 여월동,37개,0개,0개,0개,0개
경기도 부천시 역곡동,70개,1개,1개,1개,4개
경기도 부천시 오정동,31개,1개,1개,1개,6개
경기도 부천시 옥길동,116개,1개,1개,0개,3개
경기도 부천시 원미동,43개,0개,0개,0개,0개
경기도 부천시 원종동,88개,1개,0개,1개,6개
경기도 부천시 작동,6개,0개,0개,0개,0개
경기도 부천시 중동,482개,7개,8개,8개,27개
경기도 부천시 춘의동,14개,0개,0개,0개,0개
경기도 성남시 분당구 구미동,149개,4개,2개,1개,9개
경기도 성남시 분당구 궁내동,1개,0개,0개,0개,0개
경기도 성남시 분당구 금곡동,97개,1개,1개,1개,4개
경기도 성남시 분당구 백현동,49개,2개,2개,2개,4개
경기도 성남시 분당구 분당동,26개,2개,1개,1개,4개
경기도 성남시 분당구 삼평동,67개,2개,1개,1개,3개
경기도 성남시 분당구 서현동,303개,4개,2개,2개,5개
경기도 성남시 분당구 수내동,414개,3개,3개,2개,7개
경기도 성남시 분당구 야탑동,175개,5개,2개,4개,10개
경기도 성남시 분당구 운중동,57개,2개,1개,1개,3개
경기도 성남시 분당구 율동,1개,0개,0개,0개,0개
경기도 성남시 분당구 이매동,189개,3개,3개,3개,6개
경기도 성남시 분당구 정자동,455개,7개,4개,4개,13개
경기도 성남시 분당구 판교동,66개,2개,2개,1개,4개
경기도 성남시 수정구 고등동,5개,1개,0개,0개,0개
경기도 성남시 수정구 단대동,27개,1개,2개,1개,1개
경기도 성남시 수정구 복정동,6개,1개,0개,1개,1개
경기도 성남시 수정구 사송동,1개,0개,0개,0개,0개
경기도 성남시 수정구 산성동,8개,1개,1개,0개,1개
경기도 성남시 수정구 수진동,40개,2개,2개,1개,3개
경기도 성남시 수정구 신흥동,72개,2개,1개,0개,2개
경기도 성남시 수정구 양지동,18개,1개,0개,0개,0개
경기도 성남시 수정구 창곡동,276개,4개,2개,1개,8개
경기도 성남시 수정구 태평동,77개,5개,1개,0개,4개
경기도 성남시 중원구 금광동,89개,4개,4개,1개,4개
경기도 성남시 중원구 도촌동,38개,1개,1개,0개,2개
경기도 성남시 중원구 상대원동,39개,4개,0개,0개,4개
경기도 성남시 중원구 성남동,69개,1개,3개,5개,2개
경기도 성남시 중원구 여수동,26개,1개,0개,0개,1개
경기도 성남시 중원구 은행동,42개,3개,1개,0개,4개
경기도 성남시 중원구 중앙동,19개,1개,0개,0개,1개
경기도 성남시 중원구 하대원동,38개,2개,1개,1개,2개
경기도 수원시 권선구 고색동,40개,2개,1개,1개,3개
경기도 수원시 권선구 곡반정동,17개,1개,1개,0개,3개
경기도 수원시 권선구 구운동,55개,2개,1개,0개,3개
경기도 수원시 권선구 권선동,241개,9개,3개,3개,17개
경기도 수원시 권선구 금곡동,159개,5개,2개,1개,8개
경기도 수원시 권선구 당수동,32개,1개,0개,1개,3개
경기도 수원시 권선구 서둔동,32개,2개,1개,0개,4개
경기도 수원시 권선구 세류동,131개,3개,2개,0개,4개
경기도 수원시 권선구 신동,1개,0개,0개,0개,0개
경기도 수원시 권선구 오목천동,33개,2개,1개,1개,5개
경기도 수원시 권선구 입북동,15개,1개,0개,0개,1개
경기도 수원시 권선구 탑동,41개,2개,0개,1개,3개
경기도 수원시 권선구 평동,5개,0개,0개,0개,0개
경기도 수원시 권선구 호매실동,80개,3개,2개,1개,5개
경기도 수원시 영통구 망포동,222개,4개,2개,1개,6개
경기도 수원시 영통구 매탄동,298개,8개,6개,3개,14개
경기도 수원시 영통구 신동,18개,0개,0개,0개,0개
경기도 수원시 영통구 영통동,427개,8개,5개,4개,14개
경기도 수원시 영통구 원천동,68개,5개,3개,1개,8개
경기도 수원시 영통구 이의동,210개,3개,3개,2개,5개
경기도 수원시 영통구 하동,45개,1개,0개,1개,2개
경기도 수원시 장안구 송죽동,50개,2개,1개,1개,2개
경기도 수원시 장안구 연무동,21개,1개,1개,0개,1개
경기도 수원시 장안구 영화동,42개,0개,0개,0개,0개
경기도 수원시 장안구 율전동,82개,2개,1개,0개,6개
경기도 수원시 장안구 이목동,5개,0개,0개,0개,0개
경기도 수원시 장안구 정자동,309개,7개,2개,3개,11개
경기도 수원시 장안구 조원동,111개,5개,3개,2개,8개
경기도 수원시 장안구 천천동,155개,3개,2개,3개,6개
경기도 수원시 장안구 파장동,25개,2개,1개,0개,3개
경기도 수원시 장안구 하광교동,1개,0개,0개,0개,0개
경기도 수원시 팔달구 고등동,32개,1개,0개,1개,3개
경기도 수원시 팔달구 교동,23개,0개,0개,0개,0개
경기도 수원시 팔달구 남창동,5개,1개,0개,0개,1개
경기도 수원시 팔달구 매교동,6개,0개,0개,0개,0개
경기도 수원시 팔달구 매산로1가,29개,0개,0개,0개,0개
경기도 수원시 팔달구 매산로2가,38개,0개,0개,0개,0개
경기도 수원시 팔달구 매산로3가,16개,1개,0개,0개,1개
경기도 수원시 팔달구 매탄동,1개,0개,0개,0개,0개
경기도 수원시 팔달구 매향동,4개,1개,2개,3개,1개
경기도 수원시 팔달구 북수동,9개,0개,0개,0개,0개
경기도 수원시 팔달구 세류동,1개,0개,0개,0개,0개
경기도 수원시 팔달구 신풍동,9개,0개,0개,0개,0개
경기도 수원시 팔달구 우만동,107개,3개,1개,2개,5개
경기도 수원시 팔달구 인계동,109개,2개,0개,1개,3개
경기도 수원시 팔달구 장안동,2개,0개,0개,0개,0개
경기도 수원시 팔달구 중동,5개,0개,0개,0개,0개
경기도 수원시 팔달구 지동,28개,1개,0개,0개,2개
경기도 수원시 팔달구 팔달로1가,6개,0개,0개,0개,0개
경기도 수원시 팔달구 팔달로2가,6개,0개,0개,0개,0개
경기도 수원시 팔달구 팔달로3가,5개,0개,0개,0개,0개
경기도 수원시 팔달구 화서동,157개,5개,5개,3개,6개
경기도 시흥시 거모동,27개,0개,0개,0개,0개
경기도 시흥시 논곡동,1개,0개,0개,0개,0개
경기도 시흥시 능곡동,45개,0개,0개,0개,0개
경기도 시흥시 대야동,96개,0개,0개,0개,0개
경기도 시흥시 도창동,3개,1개,0개,0개,1개
경기도 시흥시 매화동,15개,0개,0개,0개,0개
경기도 시흥시 목감동,8개,0개,0개,0개,0개
경기도 시흥시 배곧동,255개,0개,0개,0개,0개
경기도 시흥시 산현동,18개,1개,0개,0개,1개
경기도 시흥시 신천동,55개,0개,0개,0개,0개
경기도 시흥시 월곶동,23개,1개,1개,0개,3개
경기도 시흥시 은행동,174개,2개,2개,2개,9개
경기도 시흥시 장곡동,78개,0개,0개,0개,0개
경기도 시흥시 장현동,18개,0개,0개,0개,0개
경기도 시흥시 정왕동,188개,3개,8개,6개,12개
경기도 시흥시 조남동,67개,2개,1개,1개,4개
경기도 시흥시 죽율동,9개,0개,0개,0개,0개
경기도 시흥시 포동,7개,0개,0개,0개,0개
경기도 시흥시 하상동,23개,0개,0개,0개,0개
경기도 시흥시 하중동,21개,0개,0개,0개,0개
경기도 안산시 단원구 고잔동,391개,7개,4개,4개,13개
경기도 안산시 단원구 대부북동,3개,1개,1개,1개,1개
경기도 안산시 단원구 선부동,88개,6개,4개,2개,10개
경기도 안산시 단원구 신길동,27개,3개,1개,1개,4개
경기도 안산시 단원구 와동,32개,3개,1개,2개,3개
경기도 안산시 단원구 원곡동,43개,2개,2개,1개,2개
경기도 안산시 단원구 초지동,114개,4개,2개,1개,9개
경기도 안산시 단원구 화정동,1개,0개,0개,0개,0개
경기도 안산시 상록구 건건동,29개,2개,0개,0개,3개
경기도 안산시 상록구 본오동,148개,5개,3개,3개,6개
경기도 안산시 상록구 부곡동,21개,3개,1개,2개,2개
경기도 안산시 상록구 사동,130개,7개,5개,1개,13개
경기도 안산시 상록구 성포동,48개,3개,1개,1개,3개
경기도 안산시 상록구 수암동,8개,1개,0개,0개,2개
경기도 안산시 상록구 월피동,62개,2개,2개,1개,3개
경기도 안산시 상록구 이동,56개,2개,0개,1개,4개
경기도 안산시 상록구 일동,33개,1개,1개,0개,3개
경기도 안산시 상록구 장상동,1개,0개,0개,0개,0개
경기도 안산시 상록구 팔곡이동,3개,1개,0개,0개,1개
경기도 안성시 가사동,2개,0개,0개,0개,0개
경기도 안성시 공도읍 마정리,2개,0개,0개,0개,0개
경기도 안성시 공도읍 만정리,60개,1개,2개,1개,3개
경기도 안성시 공도읍 승두리,1개,0개,0개,0개,0개
경기도 안성시 공도읍 양기리,9개,1개,0개,0개,2개
경기도 안성시 공도읍 용두리,27개,2개,0개,0개,5개
경기도 안성시 공도읍 진사리,29개,1개,1개,0개,3개
경기도 안성시 구포동,15개,0개,0개,0개,0개
경기도 안성시 금광면 신양복리,2개,0개,0개,0개,0개
경기도 안성시 금산동,28개,0개,0개,0개,0개
경기도 안성시 당왕동,38개,0개,0개,0개,0개
경기도 안성시 대덕면 건지리,2개,0개,0개,0개,0개
경기도 안성시 대덕면 내리,1개,1개,0개,0개,1개
경기도 안성시 대덕면 신령리,4개,1개,0개,0개,1개
경기도 안성시 대덕면 진현리,1개,1개,0개,0개,1개
경기도 안성시 대천동,5개,0개,0개,0개,0개
경기도 안성시 도기동,1개,0개,0개,0개,0개
경기도 안성시 미양면 구수리,1개,0개,0개,0개,0개
경기도 안성시 보개면 기좌리,1개,0개,0개,0개,0개
경기도 안성시 봉남동,2개,0개,0개,0개,0개
경기도 안성시 삼죽면 기솔리,1개,0개,0개,0개,0개
경기도 안성시 삼죽면 내강리,1개,0개,0개,0개,0개
경기도 안성시 삼죽면 진촌리,2개,0개,0개,0개,0개
경기도 안성시 서인동,1개,0개,0개,0개,0개
경기도 안성시 석정동,28개,0개,0개,0개,0개
경기도 안성시 숭인동,4개,0개,0개,0개,0개
경기도 안성시 신건지동,3개,0개,0개,0개,0개
경기도 안성시 신소현동,2개,0개,0개,0개,0개
경기도 안성시 아양동,3개,0개,0개,0개,0개
경기도 안성시 양성면 동항리,3개,1개,1개,0개,0개
경기도 안성시 연지동,19개,0개,0개,0개,0개
경기도 안성시 영동,1개,0개,0개,0개,0개
경기도 안성시 옥산동,9개,1개,0개,0개,1개
경기도 안성시 원곡면 성주리,1개,0개,0개,0개,0개
경기도 안성시 인지동,3개,0개,0개,0개,0개
경기도 안성시 일죽면 주천리,2개,1개,0개,0개,1개
경기도 안성시 일죽면 화봉리,1개,0개,0개,0개,0개
경기도 안성시 죽산면 장계리,1개,0개,0개,0개,0개
경기도 안성시 죽산면 죽산리,8개,1개,1개,1개,1개
경기도 안성시 중리동,1개,0개,0개,0개,0개
경기도 안양시 동안구 관양동,167개,6개,4개,3개,11개
경기도 안양시 동안구 비산동,164개,7개,3개,2개,13개
경기도 안양시 동안구 평촌동,424개,6개,2개,2개,9개
경기도 안양시 동안구 호계동,468개,7개,6개,2개,13개
경기도 안양시 만안구 박달동,73개,2개,1개,1개,3개
경기도 안양시 만안구 석수동,112개,5개,2개,1개,8개
경기도 안양시 만안구 안양동,254개,8개,6개,10개,17개
경기도 양주시 고암동,23개,1개,1개,1개,5개
경기도 양주시 고읍동,10개,0개,0개,0개,0개
경기도 양주시 광사동,52개,0개,0개,0개,0개
경기도 양주시 광적면 가납리,7개,1개,1개,0개,2개
경기도 양주시 광적면 덕도리,1개,1개,0개,0개,0개
경기도 양주시 광적면 석우리,4개,1개,0개,0개,1개
경기도 양주시 남면 상수리,1개,1개,0개,0개,0개
경기도 양주시 남면 신산리,3개,1개,1개,1개,1개
경기도 양주시 남방동,1개,0개,0개,0개,0개
경기도 양주시 덕계동,25개,0개,0개,0개,0개
경기도 양주시 덕정동,42개,0개,0개,0개,0개
경기도 양주시 만송동,6개,0개,0개,0개,0개
경기도 양주시 백석읍 가업리,5개,0개,0개,0개,0개
경기도 양주시 백석읍 방성리,1개,0개,0개,0개,0개
경기도 양주시 백석읍 복지리,17개,2개,1개,0개,3개
경기도 양주시 백석읍 연곡리,2개,1개,0개,0개,0개
경기도 양주시 백석읍 오산리,5개,1개,0개,1개,1개
경기도 양주시 백석읍 홍죽리,1개,0개,0개,0개,0개
경기도 양주시 산북동,1개,1개,0개,0개,0개
경기도 양주시 삼숭동,52개,1개,1개,1개,2개
경기도 양주시 옥정동,104개,2개,1개,2개,7개
경기도 양주시 율정동,2개,0개,0개,0개,0개
경기도 양주시 은현면 봉암리,2개,1개,0개,0개,1개
경기도 양주시 은현면 선암리,1개,1개,0개,0개,0개
경기도 양주시 장흥면 교현리,1개,1개,0개,0개,3개
경기도 양주시 장흥면 부곡리,2개,0개,0개,0개,0개
경기도 양주시 장흥면 일영리,1개,0개,0개,0개,0개
경기도 양주시 회암동,1개,0개,0개,0개,0개
경기도 양주시 회정동,6개,1개,0개,0개,1개
경기도 양평군 강상면 교평리,2개,0개,0개,0개,0개
경기도 양평군 강상면 병산리,4개,0개,0개,0개,0개
경기도 양평군 강상면 송학리,2개,0개,0개,0개,0개
경기도 양평군 강하면 운심리,2개,1개,0개,0개,1개
경기도 양평군 개군면,1개,0개,0개,0개,0개
경기도 양평군 단월면,1개,0개,0개,0개,0개
경기도 양평군 서종면 도장리,1개,0개,0개,0개,0개
경기도 양평군 서종면 문호리,19개,1개,1개,0개,1개
경기도 양평군 양동면 쌍학리,1개,0개,0개,0개,0개
경기도 양평군 양서면 국수리,1개,0개,0개,0개,0개
경기도 양평군 양서면 양수리,5개,0개,0개,0개,0개
경기도 양평군 양서면 용담리,3개,1개,1개,1개,1개
경기도 양평군 양평읍,17개,0개,0개,0개,0개
경기도 양평군 양평읍 공흥리,18개,0개,0개,0개,0개
