address,공원,어린이공원,시장
경기도 가평군 가평읍 달전리,1,0,0
경기도 가평군 가평읍 대곡리,3,0,0
경기도 가평군 가평읍 읍내리,2,0,0
경기도 가평군 북면 목동리,1,0,0
경기도 가평군 상면 연하리,1,0,0
경기도 가평군 설악면 선촌리,2,0,0
경기도 가평군 조종면 현리,0,1,0
경기도 가평군 청평면 상천리,1,0,0
경기도 고양시 덕양구 고양동,4,3,0
경기도 고양시 덕양구 관산동,1,0,0
경기도 고양시 덕양구 내곡동,3,1,0
경기도 고양시 덕양구 내유동,1,0,0
경기도 고양시 덕양구 대자동,15,1,0
경기도 고양시 덕양구 대장동,5,0,0
경기도 고양시 덕양구 덕은동,9,4,0
경기도 고양시 덕양구 도내동,6,1,0
경기도 고양시 덕양구 동산동,1,4,0
경기도 고양시 덕양구 벽제동,1,0,0
경기도 고양시 덕양구 삼송동,5,2,0
경기도 고양시 덕양구 성사동,5,6,0
경기도 고양시 덕양구 신원동,4,2,0
경기도 고양시 덕양구 오금동,4,0,0
경기도 고양시 덕양구 용두동,1,2,0
경기도 고양시 덕양구 원흥동,3,2,0
경기도 고양시 덕양구 주교동,5,3,0
경기도 고양시 덕양구 지축동,8,1,0
경기도 고양시 덕양구 토당동,1,6,0
경기도 고양시 덕양구 행신동,10,24,0
경기도 고양시 덕양구 행주외동,1,0,0
경기도 고양시 덕양구 향동동,5,2,0
경기도 고양시 덕양구 화전동,3,3,0
경기도 고양시 덕양구 화정동,12,11,0
경기도 고양시 일산동구 마두동,3,6,0
경기도 고양시 일산동구 백석동,4,7,0
경기도 고양시 일산동구 식사동,5,6,0
경기도 고양시 일산동구 장항동,5,1,0
경기도 고양시 일산동구 정발산동,0,7,0
경기도 고양시 일산동구 중산동,8,14,0
경기도 고양시 일산동구 풍동,3,8,0
경기도 고양시 일산서구 가좌동,1,0,0
경기도 고양시 일산서구 대화동,14,8,0
경기도 고양시 일산서구 덕이동,3,3,0
경기도 고양시 일산서구 일산동,2,3,1
경기도 고양시 일산서구 주엽동,3,8,0
경기도 고양시 일산서구 탄현동,2,9,0
경기도 과천시 갈현동,1,0,0
경기도 과천시 과천동,4,2,0
경기도 과천시 관문동,2,0,0
경기도 과천시 문원동,1,2,0
경기도 과천시 별양동,2,0,0
경기도 과천시 원문동,2,0,0
경기도 과천시 주암동,1,1,0
경기도 과천시 중앙동,1,0,0
경기도 광명시 가학동,1,0,0
경기도 광명시 광명동,2,14,0
경기도 광명시 소하동,11,16,0
경기도 광명시 일직동,2,2,0
경기도 광명시 철산동,4,7,0
경기도 광명시 하안동,11,17,0
경기도 광주시 경안동,5,0,0
경기도 광주시 곤지암읍 곤지암리,2,0,0
경기도 광주시 곤지암읍 삼리,0,1,0
경기도 광주시 쌍령동,0,1,0
경기도 광주시 역동,2,0,0
경기도 광주시 오포읍 신현리,1,0,0
경기도 광주시 오포읍 양벌리,1,1,0
경기도 광주시 오포읍 추자리,1,1,0
경기도 광주시 중대동,1,0,0
경기도 광주시 초월읍 무갑리,1,0,0
경기도 광주시 초월읍 서하리,1,0,0
경기도 광주시 초월읍 지월리,1,0,0
경기도 광주시 탄벌동,1,0,0
경기도 광주시 태전동,5,8,0
경기도 구리시 갈매동,9,6,0
경기도 구리시 교문동,6,14,0
경기도 구리시 사노동,3,6,0
경기도 구리시 수택동,3,14,0
경기도 구리시 아천동,1,2,0
경기도 구리시 인창동,7,20,0
경기도 구리시 토평동,3,8,0
경기도 군포시 금정동,4,21,0
경기도 군포시 당동,3,22,0
경기도 군포시 당정동,12,9,0
경기도 군포시 대야미동,1,4,0
경기도 군포시 도마교동,4,1,0
경기도 군포시 둔대동,4,2,0
경기도 군포시 부곡동,4,6,0
경기도 군포시 산본동,13,31,0
경기도 군포시 속달동,3,0,0
경기도 김포시 감정동,3,4,0
경기도 김포시 걸포동,5,1,0
경기도 김포시 고촌읍 신곡리,13,6,0
경기도 김포시 고촌읍 전호리,3,0,0
경기도 김포시 고촌읍 태리,0,1,0
경기도 김포시 고촌읍 향산리,4,2,0
경기도 김포시 구래동,2,0,0
경기도 김포시 대곶면 대벽리,2,0,0
경기도 김포시 대곶면 율생리,1,0,0
경기도 김포시 마산동,12,6,0
경기도 김포시 북변동,3,4,0
경기도 김포시 사우동,3,5,0
경기도 김포시 양촌읍 구래리,1,0,0
경기도 김포시 양촌읍 대포리,2,0,0
경기도 김포시 양촌읍 양곡리,4,5,0
경기도 김포시 양촌읍 학운리,15,5,0
경기도 김포시 운양동,19,6,0
경기도 김포시 월곶면 고막리,2,0,0
경기도 김포시 월곶면 조강리,1,0,0
경기도 김포시 장기동,20,12,0
경기도 김포시 통진읍 마송리,4,5,0
경기도 김포시 통진읍 서암리,1,1,0
경기도 김포시 풍무동,4,10,0
경기도 김포시 하성면 석탄리,1,0,0
경기도 남양주시 금곡동,1,1,0
경기도 남양주시 다산동,22,15,0
경기도 남양주시 별내동,11,7,0
경기도 남양주시 별내면 광전리,2,0,0
경기도 남양주시 별내면 청학리,2,6,0
경기도 남양주시 오남읍 양지리,2,1,0
경기도 남양주시 오남읍 오남리,3,2,0
경기도 남양주시 와부읍 덕소리,1,4,0
경기도 남양주시 와부읍 도곡리,1,1,0
경기도 남양주시 조안면 능내리,1,0,0
경기도 남양주시 지금동,1,0,0
경기도 남양주시 진건읍 사능리,2,1,0
경기도 남양주시 진건읍 용정리,1,0,0
경기도 남양주시 진건읍 진관리,1,0,0
경기도 남양주시 진접읍 금곡리,8,7,0
경기도 남양주시 진접읍 부평리,1,1,0
경기도 남양주시 진접읍 연평리,1,0,0
경기도 남양주시 진접읍 장현리,2,4,0
경기도 남양주시 진접읍 팔야리,2,0,0
경기도 남양주시 퇴계원읍 퇴계원리,1,3,0
경기도 남양주시 평내동,4,4,0
경기도 남양주시 호평동,4,9,0
경기도 남양주시 화도읍 녹촌리,2,3,0
경기도 남양주시 화도읍 마석우리,1,4,0
경기도 남양주시 화도읍 묵현리,3,2,0
경기도 남양주시 화도읍 월산리,4,0,0
경기도 남양주시 화도읍 차산리,1,0,0
경기도 남양주시 화도읍 창현리,2,8,0
경기도 동두천시 광암동,0,1,0
경기도 동두천시 동두천동,3,2,0
경기도 동두천시 상봉암동,2,0,0
경기도 동두천시 상패동,2,2,0
경기도 동두천시 생연동,4,4,0
경기도 동두천시 송내동,1,5,0
경기도 동두천시 지행동,4,10,0
경기도 부천시 계수동,1,0,0
경기도 부천시 고강동,4,2,0
경기도 부천시 괴안동,3,3,0
경기도 부천시 내동,0,5,0
경기도 부천시 도당동,1,3,0
경기도 부천시 범박동,3,2,0
경기도 부천시 삼정동,0,2,0
경기도 부천시 상동,7,14,0
경기도 부천시 소사동,0,1,0
경기도 부천시 소사본동,4,12,0
경기도 부천시 송내동,2,13,0
경기도 부천시 심곡동,0,6,0
경기도 부천시 심곡본동,3,5,0
경기도 부천시 약대동,1,6,0
경기도 부천시 여월동,4,4,0
경기도 부천시 역곡동,1,5,0
경기도 부천시 오정동,3,4,0
경기도 부천시 옥길동,8,0,0
경기도 부천시 원미동,2,3,0
경기도 부천시 원종동,1,3,0
경기도 부천시 작동,0,10,0
경기도 부천시 중동,15,23,0
경기도 부천시 춘의동,1,0,0
경기도 성남시 분당구 구미동,6,14,0
경기도 성남시 분당구 금곡동,0,4,0
경기도 성남시 분당구 백현동,2,4,0
경기도 성남시 분당구 분당동,3,6,0
경기도 성남시 분당구 삼평동,4,7,0
경기도 성남시 분당구 서현동,1,10,4
경기도 성남시 분당구 수내동,4,5,4
경기도 성남시 분당구 야탑동,5,18,1
경기도 성남시 분당구 운중동,6,4,0
경기도 성남시 분당구 율동,1,0,0
경기도 성남시 분당구 이매동,2,7,0
경기도 성남시 분당구 정자동,4,9,0
경기도 성남시 분당구 판교동,2,6,0
경기도 성남시 수정구 단대동,2,1,0
경기도 성남시 수정구 복정동,0,5,0
경기도 성남시 수정구 산성동,2,0,0
경기도 성남시 수정구 상적동,0,1,0
경기도 성남시 수정구 수진동,1,0,0
경기도 성남시 수정구 시흥동,1,0,0
경기도 성남시 수정구 신흥동,1,0,2
경기도 성남시 수정구 양지동,1,0,0
경기도 성남시 수정구 창곡동,2,2,0
경기도 성남시 수정구 태평동,1,0,1
경기도 성남시 중원구 금광동,2,0,1
경기도 성남시 중원구 도촌동,3,5,0
경기도 성남시 중원구 상대원동,1,0,0
경기도 성남시 중원구 성남동,2,1,0
경기도 성남시 중원구 여수동,3,4,0
경기도 성남시 중원구 은행동,13,2,0
경기도 성남시 중원구 중앙동,1,1,0
경기도 성남시 중원구 하대원동,2,1,1
경기도 수원시 권선구 고색동,9,2,0
경기도 수원시 권선구 곡반정동,1,4,0
경기도 수원시 권선구 구운동,1,11,0
경기도 수원시 권선구 권선동,13,25,0
경기도 수원시 권선구 금곡동,21,4,0
경기도 수원시 권선구 당수동,1,1,0
경기도 수원시 권선구 서둔동,4,2,0
경기도 수원시 권선구 세류동,2,9,0
경기도 수원시 권선구 오목천동,3,5,0
경기도 수원시 권선구 입북동,1,3,0
경기도 수원시 권선구 탑동,1,5,0
경기도 수원시 권선구 평동,7,1,0
경기도 수원시 권선구 호매실동,12,1,0
경기도 수원시 영통구 망포동,6,10,0
경기도 수원시 영통구 매탄동,6,18,0
경기도 수원시 영통구 신동,1,2,0
경기도 수원시 영통구 영통동,12,14,0
경기도 수원시 영통구 원천동,2,4,0
경기도 수원시 영통구 이의동,9,5,0
경기도 수원시 영통구 하동,2,2,0
경기도 수원시 장안구 송죽동,2,1,0
경기도 수원시 장안구 연무동,1,3,0
경기도 수원시 장안구 영화동,0,3,0
경기도 수원시 장안구 율전동,4,1,0
경기도 수원시 장안구 이목동,4,2,0
경기도 수원시 장안구 정자동,5,13,0
경기도 수원시 장안구 조원동,2,6,0
경기도 수원시 장안구 천천동,1,9,0
경기도 수원시 장안구 파장동,1,4,0
경기도 수원시 장안구 하광교동,1,0,0
경기도 수원시 팔달구 고등동,1,2,0
경기도 수원시 팔달구 교동,0,1,0
경기도 수원시 팔달구 남수동,1,0,0
경기도 수원시 팔달구 매산로1가,0,0,1
경기도 수원시 팔달구 북수동,1,0,0
경기도 수원시 팔달구 신풍동,1,0,0
경기도 수원시 팔달구 영동,0,0,1
경기도 수원시 팔달구 우만동,0,7,0
경기도 수원시 팔달구 인계동,3,6,0
경기도 수원시 팔달구 지동,1,1,0
경기도 수원시 팔달구 팔달로1가,1,0,0
경기도 수원시 팔달구 팔달로2가,1,0,0
경기도 수원시 팔달구 화서동,5,15,0
경기도 시흥시 거모동,2,7,0
경기도 시흥시 능곡동,5,3,0
경기도 시흥시 대야동,1,3,0
경기도 시흥시 목감동,2,1,0
경기도 시흥시 미산동,1,1,0
경기도 시흥시 배곧동,10,0,0
경기도 시흥시 산현동,2,2,0
경기도 시흥시 신천동,4,14,0
경기도 시흥시 은행동,3,1,0
경기도 시흥시 장곡동,1,4,0
경기도 시흥시 장현동,0,1,0
경기도 시흥시 정왕동,27,28,0
경기도 시흥시 조남동,5,2,0
경기도 시흥시 죽율동,0,2,0
경기도 시흥시 하상동,2,2,0
경기도 시흥시 하중동,1,3,0
경기도 안산시 단원구 고잔동,6,9,0
경기도 안산시 단원구 대부북동,1,0,0
경기도 안산시 단원구 목내동,1,0,0
경기도 안산시 단원구 선부동,5,10,0
경기도 안산시 단원구 성곡동,5,0,0
경기도 안산시 단원구 신길동,2,8,0
경기도 안산시 단원구 와동,5,15,0
경기도 안산시 단원구 원곡동,3,7,0
경기도 안산시 단원구 원시동,1,0,0
경기도 안산시 단원구 초지동,9,3,0
경기도 안산시 상록구 건건동,3,0,0
경기도 안산시 상록구 본오동,6,21,0
경기도 안산시 상록구 부곡동,3,10,0
경기도 안산시 상록구 사동,8,16,0
경기도 안산시 상록구 성포동,4,0,0
경기도 안산시 상록구 수암동,1,2,0
경기도 안산시 상록구 월피동,1,8,0
경기도 안산시 상록구 이동,1,7,0
경기도 안산시 상록구 일동,2,10,0
경기도 안산시 상록구 장상동,0,1,0
경기도 안산시 상록구 팔곡이동,1,0,0
경기도 안산시 상록구 팔곡일동,0,1,0
경기도 안성시 가사동,0,1,0
경기도 안성시 공도읍 마정리,2,1,0
경기도 안성시 공도읍 만정리,3,3,0
경기도 안성시 공도읍 승두리,2,1,0
경기도 안성시 공도읍 용두리,0,1,0
경기도 안성시 공도읍 진사리,2,2,0
경기도 안성시 금산동,1,0,0
경기도 안성시 낙원동,1,0,0
경기도 안성시 당왕동,0,2,0
경기도 안성시 대덕면 내리,0,3,0
경기도 안성시 도기동,1,0,0
경기도 안성시 미양면 개정리,1,0,0
경기도 안성시 미양면 계륵리,1,1,0
경기도 안성시 미양면 구수리,1,0,0
경기도 안성시 미양면 양변리,1,0,0
경기도 안성시 보개면 복평리,1,0,0
경기도 안성시 봉남동,0,1,0
경기도 안성시 서운면 신능리,1,0,0
경기도 안성시 서운면 신촌리,0,1,0
경기도 안성시 서운면 양촌리,1,0,0
경기도 안성시 석정동,1,2,0
경기도 안성시 양성면 도곡리,1,0,0
경기도 안성시 양성면 이현리,1,0,0
경기도 안성시 옥산동,5,1,0
경기도 안성시 원곡면 내가천리,1,0,0
경기도 안성시 원곡면 칠곡리,1,0,0
경기도 안성시 일죽면 방초리,1,0,0
경기도 안성시 일죽면 월정리,1,0,0
경기도 안성시 죽산면 장원리,1,0,0
경기도 안성시 죽산면 죽산리,0,1,0
경기도 안성시 중리동,1,0,0
경기도 안양시 동안구 관양동,6,19,0
경기도 안양시 동안구 비산동,7,11,0
경기도 안양시 동안구 평촌동,2,8,0
경기도 안양시 동안구 호계동,10,19,0
경기도 안양시 만안구 박달동,1,5,0
경기도 안양시 만안구 석수동,7,9,0
경기도 안양시 만안구 안양동,11,16,1
경기도 양주시 고암동,6,7,0
경기도 양주시 고읍동,1,1,0
경기도 양주시 광사동,6,3,0
경기도 양주시 광적면 가납리,0,6,0
경기도 양주시 광적면 석우리,1,2,0
경기도 양주시 남면 구암리,1,0,0
경기도 양주시 남면 상수리,1,0,0
경기도 양주시 남면 신산리,1,0,0
경기도 양주시 남면 황방리,1,0,0
경기도 양주시 남방동,0,1,0
경기도 양주시 덕계동,1,5,0
경기도 양주시 덕정동,2,6,0
경기도 양주시 만송동,0,2,0
경기도 양주시 백석읍 방성리,0,1,0
경기도 양주시 백석읍 홍죽리,1,0,0
경기도 양주시 봉양동,1,0,0
경기도 양주시 옥정동,32,7,0
경기도 양주시 율정동,0,1,0
경기도 양주시 은현면 선암리,0,1,0
경기도 양주시 은현면 용암리,1,0,0
경기도 양주시 회정동,1,0,0
경기도 양평군 강상면 병산리,4,0,0
경기도 양평군 강하면 운심리,3,0,0
경기도 양평군 개군면 하자포리,1,0,0
경기도 양평군 양동면 삼산리,0,1,0
경기도 양평군 양서면 신원리,1,0,0
경기도 양평군 양서면 용담리,1,0,0
경기도 양평군 양평읍 공흥리,3,1,0
경기도 양평군 양평읍 백안리,1,0,0
경기도 양평군 양평읍 양근리,4,0,0
경기도 양평군 양평읍 오빈리,4,2,0
경기도 양평군 용문면 광탄리,3,0,0
경기도 양평군 용문면 다문리,3,2,0
경기도 양평군 용문면 마룡리,0,1,0
경기도 양평군 지평면 일신리,1,0,0
경기도 양평군 청운면 여물리,1,0,0
경기도 여주시 가남읍 태평리,1,2,0
경기도 여주시 상동,2,2,0
경기도 여주시 연양동,1,0,0
경기도 여주시 오학동,0,2,0
경기도 여주시 점동면 청안리,0,1,0
경기도 여주시 점봉동,1,0,0
경기도 여주시 창동,0,1,0
경기도 여주시 하동,0,4,0
경기도 여주시 현암동,2,0,0
경기도 여주시 홍문동,0,1,0
경기도 연천군 군남면 선곡리,1,0,0
경기도 연천군 백학면 두현리,1,0,0
경기도 연천군 신서면 대광리,1,0,0
경기도 연천군 연천읍 고문리,1,0,0
경기도 연천군 연천읍 옥산리,1,0,0
경기도 연천군 연천읍 읍내리,0,1,0
경기도 연천군 연천읍 현가리,1,0,0
경기도 연천군 전곡읍 고능리,0,1,0
경기도 연천군 전곡읍 은대리,1,1,0
경기도 연천군 전곡읍 전곡리,1,1,1
경기도 연천군 중면 삼곶리,1,0,0
경기도 오산시 가수동,3,2,0
경기도 오산시 가장동,5,0,0
경기도 오산시 갈곶동,3,1,0
경기도 오산시 고현동,0,1,0
경기도 오산시 궐동,2,6,0
경기도 오산시 금암동,9,7,0
경기도 오산시 내삼미동,4,4,0
경기도 오산시 누읍동,1,3,0
경기도 오산시 벌음동,3,0,0
경기도 오산시 부산동,2,5,0
경기도 오산시 세교동,4,1,0
경기도 오산시 수청동,4,6,0
경기도 오산시 양산동,3,2,0
경기도 오산시 오산동,2,4,0
경기도 오산시 외삼미동,3,1,0
경기도 오산시 원동,6,5,0
경기도 오산시 은계동,0,1,0
경기도 오산시 지곶동,1,1,0
경기도 오산시 청학동,0,1,0
경기도 오산시 청호동,0,3,0
경기도 오산시 탑동,1,0,0
경기도 용인시 기흥구 공세동,1,5,0
경기도 용인시 기흥구 구갈동,3,12,0
경기도 용인시 기흥구 농서동,1,0,0
경기도 용인시 기흥구 동백동,6,5,0
경기도 용인시 기흥구 마북동,6,1,0
경기도 용인시 기흥구 보라동,2,3,0
경기도 용인시 기흥구 보정동,7,7,0
경기도 용인시 기흥구 상갈동,2,5,0
경기도 용인시 기흥구 상하동,2,3,0
경기도 용인시 기흥구 서천동,4,5,0
경기도 용인시 기흥구 신갈동,7,10,0
경기도 용인시 기흥구 언남동,1,1,0
경기도 용인시 기흥구 영덕동,3,8,0
경기도 용인시 기흥구 중동,11,15,0
경기도 용인시 기흥구 청덕동,5,5,0
경기도 용인시 수지구 고기동,1,0,0
경기도 용인시 수지구 동천동,4,4,0
경기도 용인시 수지구 상현동,11,4,0
경기도 용인시 수지구 성복동,7,5,0
경기도 용인시 수지구 신봉동,4,10,0
경기도 용인시 수지구 죽전동,10,13,0
경기도 용인시 수지구 풍덕천동,8,13,0
경기도 용인시 처인구 김량장동,4,5,1
경기도 용인시 처인구 마평동,1,1,0
경기도 용인시 처인구 모현읍 오산리,1,0,0
경기도 용인시 처인구 모현읍 왕산리,1,1,0
경기도 용인시 처인구 모현읍 초부리,1,0,0
경기도 용인시 처인구 백암면 근창리,1,0,0
경기도 용인시 처인구 삼가동,1,3,0
경기도 용인시 처인구 역북동,6,5,0
경기도 용인시 처인구 유방동,0,1,0
경기도 용인시 처인구 이동읍 서리,1,0,0
경기도 용인시 처인구 이동읍 송전리,0,1,0
경기도 용인시 처인구 포곡읍 둔전리,1,1,0
경기도 용인시 처인구 포곡읍 삼계리,0,1,0
경기도 용인시 처인구 포곡읍 신원리,0,1,0
경기도 의왕시 고천동,6,0,0
경기도 의왕시 내손동,11,5,0
경기도 의왕시 삼동,7,1,0
경기도 의왕시 오전동,3,4,0
경기도 의왕시 왕곡동,2,1,0
경기도 의왕시 월암동,2,0,0
경기도 의왕시 이동,3,0,0
경기도 의왕시 청계동,3,5,0
경기도 의왕시 초평동,3,1,0
경기도 의왕시 포일동,5,5,0
경기도 의왕시 학의동,8,3,0
경기도 의정부시 가능동,0,8,0
경기도 의정부시 고산동,1,0,0
경기도 의정부시 금오동,6,3,0
경기도 의정부시 낙양동,3,3,0
경기도 의정부시 녹양동,4,3,0
경기도 의정부시 민락동,14,12,0
경기도 의정부시 신곡동,10,9,0
경기도 의정부시 용현동,4,3,0
경기도 의정부시 의정부동,8,5,1
경기도 의정부시 자일동,2,0,0
경기도 의정부시 장암동,1,2,0
경기도 의정부시 호원동,2,4,0
경기도 이천시 갈산동,0,4,0
경기도 이천시 관고동,1,4,0
경기도 이천시 송정동,0,1,0
경기도 이천시 장호원읍 진암리,1,0,0
경기도 이천시 중리동,0,5,0
경기도 이천시 증포동,0,5,0
경기도 이천시 진리동,1,0,0
경기도 이천시 창전동,1,10,0
경기도 파주시 광탄면 기산리,0,1,0
경기도 파주시 금릉동,0,1,0
경기도 파주시 금촌동,0,3,0
경기도 파주시 다율동,4,0,0
경기도 파주시 동패동,1,1,0
경기도 파주시 목동동,4,0,0
경기도 파주시 문발동,1,2,0
경기도 파주시 문산읍 내포리,2,0,0
경기도 파주시 문산읍 당동리,4,4,0
경기도 파주시 문산읍 선유리,4,2,0
경기도 파주시 법원읍 법원리,0,1,0
경기도 파주시 신촌동,2,0,0
경기도 파주시 아동동,0,1,0
경기도 파주시 와동동,1,1,0
경기도 파주시 월롱면 능산리,0,1,0
경기도 파주시 월롱면 덕은리,1,1,0
경기도 파주시 탄현면 법흥리,8,4,0
경기도 파주시 탄현면 성동리,4,1,0
경기도 파주시 파주읍 봉서리,2,0,0
경기도 파주시 파주읍 향양리,0,1,0
경기도 파주시 파평면 금파리,1,0,0
경기도 평택시 가재동,5,3,0
경기도 평택시 고덕면 궁리,2,0,0
경기도 평택시 고덕면 당현리,1,1,0
경기도 평택시 고덕면 두릉리,0,1,0
경기도 평택시 고덕면 문곡리,1,0,0
경기도 평택시 고덕면 여염리,11,10,0
경기도 평택시 고덕면 율포리,4,8,0
경기도 평택시 고덕면 좌교리,17,14,0
경기도 평택시 고덕면 해창리,4,1,0
경기도 평택시 군문동,1,2,0
경기도 평택시 도일동,3,2,0
경기도 평택시 독곡동,1,2,0
경기도 평택시 동삭동,15,13,0
경기도 평택시 모곡동,1,0,0
경기도 평택시 비전동,17,20,0
경기도 평택시 서정동,4,12,0
경기도 평택시 서탄면 금암리,1,0,0
