address,공원,어린이공원,시장
경기도 평택시 서탄면 마두리,1,0,0
경기도 평택시 서탄면 수월암리,1,0,0
경기도 평택시 서탄면 장등리,2,0,0
경기도 평택시 서탄면 회화리,1,0,0
경기도 평택시 세교동,8,15,0
경기도 평택시 소사동,5,5,0
경기도 평택시 신대동,2,2,0
경기도 평택시 신장동,4,0,0
경기도 평택시 안중읍 금곡리,1,0,0
경기도 평택시 안중읍 대반리,6,0,0
경기도 평택시 안중읍 삼정리,1,0,0
경기도 평택시 안중읍 송담리,2,2,0
경기도 평택시 안중읍 안중리,3,3,0
경기도 평택시 안중읍 학현리,2,0,0
경기도 평택시 안중읍 현화리,5,6,0
경기도 평택시 오성면 교포리,3,0,0
경기도 평택시 오성면 길음리,3,0,0
경기도 평택시 오성면 당거리,2,0,0
경기도 평택시 오성면 숙성리,6,0,0
경기도 평택시 오성면 신리,2,0,0
경기도 평택시 오성면 양교리,2,0,0
경기도 평택시 오성면 죽리,1,0,0
경기도 평택시 오성면 창내리,5,0,0
경기도 평택시 용이동,10,10,0
경기도 평택시 유천동,1,0,0
경기도 평택시 이충동,5,4,0
경기도 평택시 장당동,2,4,0
경기도 평택시 장안동,4,4,0
경기도 평택시 죽백동,4,5,0
경기도 평택시 지산동,2,7,0
경기도 평택시 지제동,2,2,0
경기도 평택시 진위면 가곡리,2,1,0
경기도 평택시 진위면 갈곶리,1,0,0
경기도 평택시 진위면 견산리,7,1,0
경기도 평택시 진위면 마산리,3,0,0
경기도 평택시 진위면 봉남리,1,1,0
경기도 평택시 진위면 신리,1,0,0
경기도 평택시 진위면 청호리,2,0,0
경기도 평택시 진위면 하북리,4,1,0
경기도 평택시 청북읍 고렴리,1,0,0
경기도 평택시 청북읍 고잔리,1,0,0
경기도 평택시 청북읍 어연리,2,0,0
경기도 평택시 청북읍 옥길리,7,10,0
경기도 평택시 청북읍 율북리,5,0,0
경기도 평택시 청북읍 현곡리,4,0,0
경기도 평택시 청북읍 후사리,3,0,0
경기도 평택시 칠괴동,1,0,0
경기도 평택시 칠원동,7,6,0
경기도 평택시 통복동,5,3,0
경기도 평택시 팽성읍 객사리,1,1,0
경기도 평택시 팽성읍 남산리,3,0,0
경기도 평택시 팽성읍 내리,1,0,0
경기도 평택시 팽성읍 노성리,2,0,0
경기도 평택시 팽성읍 노양리,2,0,0
경기도 평택시 팽성읍 노와리,6,1,0
경기도 평택시 팽성읍 대사리,1,0,0
경기도 평택시 팽성읍 동창리,1,0,0
경기도 평택시 팽성읍 두리,2,0,0
경기도 평택시 팽성읍 두정리,3,0,0
경기도 평택시 팽성읍 본정리,5,0,0
경기도 평택시 팽성읍 석근리,1,0,0
경기도 평택시 팽성읍 석봉리,1,0,0
경기도 평택시 팽성읍 송화리,4,3,0
경기도 평택시 팽성읍 신대리,2,0,0
경기도 평택시 팽성읍 안정리,2,4,0
경기도 평택시 팽성읍 원정리,1,0,0
경기도 평택시 팽성읍 추팔리,2,1,0
경기도 평택시 팽성읍 평궁리,1,0,0
경기도 평택시 팽성읍 함정리,1,0,0
경기도 평택시 평택동,0,2,0
경기도 평택시 포승읍 도곡리,2,2,0
경기도 평택시 포승읍 만호리,3,0,0
경기도 평택시 포승읍 원정리,4,0,0
경기도 평택시 포승읍 희곡리,3,1,0
경기도 평택시 합정동,0,12,0
경기도 평택시 현덕면 권관리,3,1,0
경기도 평택시 현덕면 덕목리,3,0,0
경기도 평택시 현덕면 도대리,1,1,0
경기도 평택시 현덕면 신왕리,1,0,0
경기도 평택시 현덕면 운정리,5,2,0
경기도 평택시 현덕면 인광리,0,2,0
경기도 평택시 현덕면 장수리,4,0,0
경기도 평택시 현덕면 화양리,1,4,0
경기도 포천시 가산면 마산리,0,1,0
경기도 포천시 가산면 방축리,1,1,0
경기도 포천시 관인면 초과리,1,0,0
경기도 포천시 군내면 구읍리,0,1,0
경기도 포천시 군내면 용정리,2,0,0
경기도 포천시 군내면 하성북리,1,2,0
경기도 포천시 선단동,1,5,0
경기도 포천시 소흘읍 송우리,2,9,0
경기도 포천시 소흘읍 이동교리,1,0,0
경기도 포천시 신북면 계류리,0,3,0
경기도 포천시 신읍동,2,3,0
경기도 포천시 영북면 운천리,1,3,0
경기도 포천시 영중면 양문리,1,0,0
경기도 포천시 이동면 장암리,1,1,0
경기도 포천시 일동면 기산리,1,1,0
경기도 하남시 덕풍동,5,11,0
경기도 하남시 신장동,2,5,0
경기도 하남시 창우동,1,4,0
경기도 하남시 천현동,0,1,0
경기도 화성시 기산동,4,4,0
경기도 화성시 기안동,2,6,0
경기도 화성시 남양읍 남양리,7,5,0
경기도 화성시 능동,5,4,0
경기도 화성시 마도면 쌍송리,1,0,0
경기도 화성시 매송면 원평리,2,0,0
경기도 화성시 매송면 천천리,1,0,0
경기도 화성시 반송동,6,3,0
경기도 화성시 반월동,5,10,0
경기도 화성시 방교동,6,0,0
경기도 화성시 배양동,1,1,0
경기도 화성시 병점동,5,9,0
경기도 화성시 봉담읍 동화리,2,5,0
경기도 화성시 봉담읍 상리,1,2,0
경기도 화성시 봉담읍 수영리,0,4,0
경기도 화성시 봉담읍 와우리,2,3,0
경기도 화성시 비봉면 구포리,2,0,0
경기도 화성시 비봉면 양노리,2,0,0
경기도 화성시 서신면 매화리,1,0,0
경기도 화성시 서신면 장외리,1,0,0
경기도 화성시 서신면 전곡리,4,4,0
경기도 화성시 서신면 제부리,1,0,0
경기도 화성시 석우동,7,1,0
경기도 화성시 송산동,1,2,0
경기도 화성시 송산면 독지리,1,0,0
경기도 화성시 송산면 사강리,1,0,0
경기도 화성시 신동,1,0,0
경기도 화성시 안녕동,3,0,0
경기도 화성시 양감면 신왕리,1,0,0
경기도 화성시 영천동,4,1,0
경기도 화성시 오산동,1,2,0
경기도 화성시 우정읍 조암리,2,5,0
경기도 화성시 우정읍 주곡리,1,0,0
경기도 화성시 장안면 금의리,2,0,0
경기도 화성시 장안면 독정리,1,0,0
경기도 화성시 장안면 수촌리,3,0,0
경기도 화성시 장지동,1,0,0
경기도 화성시 정남면 귀래리,1,0,0
경기도 화성시 정남면 보통리,1,0,0
경기도 화성시 진안동,2,8,0
경기도 화성시 청계동,4,0,0
경기도 화성시 향남읍 구문천리,2,0,0
경기도 화성시 향남읍 발안리,3,3,0
경기도 화성시 향남읍 상신리,3,7,0
경기도 화성시 향남읍 장짐리,1,2,0
경기도 화성시 향남읍 하길리,3,5,0
경기도 화성시 향남읍 행정리,5,8,0
서울특별시 강남구 개포동,8,9,0
서울특별시 강남구 논현동,6,3,0
서울특별시 강남구 대치동,7,7,0
서울특별시 강남구 도곡동,9,2,0
서울특별시 강남구 삼성동,3,1,0
서울특별시 강남구 세곡동,5,7,0
서울특별시 강남구 수서동,4,7,0
서울특별시 강남구 신사동,1,4,0
서울특별시 강남구 압구정동,3,3,0
서울특별시 강남구 역삼동,11,5,0
서울특별시 강남구 율현동,1,1,0
서울특별시 강남구 일원동,3,4,0
서울특별시 강남구 자곡동,7,2,0
서울특별시 강남구 청담동,1,3,0
서울특별시 강동구 강일동,3,4,0
서울특별시 강동구 고덕동,7,5,0
서울특별시 강동구 길동,0,4,0
서울특별시 강동구 둔촌동,1,1,0
서울특별시 강동구 명일동,2,8,0
서울특별시 강동구 상일동,3,6,0
서울특별시 강동구 성내동,1,6,0
서울특별시 강동구 암사동,4,6,1
서울특별시 강동구 천호동,0,13,1
서울특별시 강북구 미아동,7,15,0
서울특별시 강북구 번동,2,7,2
서울특별시 강북구 수유동,1,13,2
서울특별시 강북구 우이동,1,0,0
서울특별시 강서구 가양동,4,10,0
서울특별시 강서구 공항동,1,4,0
서울특별시 강서구 내발산동,2,6,0
서울특별시 강서구 등촌동,4,12,0
서울특별시 강서구 마곡동,2,8,0
서울특별시 강서구 방화동,4,21,1
서울특별시 강서구 염창동,1,3,0
서울특별시 강서구 외발산동,0,2,0
서울특별시 강서구 화곡동,4,51,1
서울특별시 관악구 남현동,1,4,0
서울특별시 관악구 봉천동,6,28,1
서울특별시 관악구 신림동,6,33,3
서울특별시 광진구 광장동,0,2,0
서울특별시 광진구 구의동,1,8,0
서울특별시 광진구 군자동,1,1,0
서울특별시 광진구 능동,1,0,0
서울특별시 광진구 자양동,2,9,0
서울특별시 광진구 중곡동,0,5,0
서울특별시 광진구 화양동,0,5,0
서울특별시 구로구 개봉동,4,4,0
서울특별시 구로구 고척동,3,4,1
서울특별시 구로구 구로동,2,8,0
서울특별시 구로구 궁동,0,2,0
서울특별시 구로구 신도림동,1,2,0
서울특별시 구로구 오류동,2,0,0
서울특별시 구로구 온수동,2,1,0
서울특별시 구로구 천왕동,6,3,0
서울특별시 구로구 항동,1,0,0
서울특별시 금천구 가산동,0,3,0
서울특별시 금천구 독산동,7,19,0
서울특별시 금천구 시흥동,5,19,0
서울특별시 도봉구 도봉동,11,7,0
서울특별시 도봉구 방학동,8,10,0
서울특별시 도봉구 쌍문동,7,4,0
서울특별시 도봉구 창동,6,18,1
서울특별시 동대문구 답십리동,3,4,0
서울특별시 동대문구 신설동,0,1,0
서울특별시 동대문구 용두동,2,3,0
서울특별시 동대문구 이문동,0,1,0
서울특별시 동대문구 장안동,3,11,0
서울특별시 동대문구 전농동,2,3,0
서울특별시 동대문구 제기동,1,1,0
서울특별시 동대문구 청량리동,2,0,0
서울특별시 동대문구 회기동,1,0,0
서울특별시 동대문구 휘경동,1,5,0
서울특별시 동작구 노량진동,2,0,0
서울특별시 동작구 대방동,0,2,1
서울특별시 동작구 동작동,1,1,0
서울특별시 동작구 본동,2,1,0
서울특별시 동작구 사당동,4,12,0
서울특별시 동작구 상도1동,0,2,0
서울특별시 동작구 상도동,7,9,0
서울특별시 동작구 신대방동,1,3,0
서울특별시 동작구 흑석동,5,1,0
서울특별시 마포구 공덕동,2,2,2
서울특별시 마포구 노고산동,2,0,0
서울특별시 마포구 당인동,1,0,0
서울특별시 마포구 대흥동,3,1,0
서울특별시 마포구 도화동,0,3,0
서울특별시 마포구 동교동,0,2,0
서울특별시 마포구 마포동,0,1,0
서울특별시 마포구 망원동,0,5,1
서울특별시 마포구 상수동,2,1,0
서울특별시 마포구 상암동,9,8,0
서울특별시 마포구 서교동,1,3,2
서울특별시 마포구 성산동,2,8,1
서울특별시 마포구 신공덕동,1,0,0
서울특별시 마포구 신수동,1,1,1
서울특별시 마포구 신정동,1,0,0
서울특별시 마포구 아현동,3,3,0
서울특별시 마포구 연남동,0,2,1
서울특별시 마포구 용강동,2,1,0
서울특별시 마포구 중동,0,4,0
서울특별시 마포구 창전동,2,2,0
서울특별시 마포구 합정동,2,1,1
서울특별시 마포구 현석동,1,1,0
서울특별시 서대문구 남가좌동,2,8,2
서울특별시 서대문구 대현동,1,0,0
서울특별시 서대문구 북가좌동,1,6,1
서울특별시 서대문구 북아현동,2,4,0
서울특별시 서대문구 연희동,1,8,1
서울특별시 서대문구 영천동,0,1,0
서울특별시 서대문구 창천동,2,1,0
서울특별시 서대문구 합동,1,0,0
서울특별시 서대문구 현저동,1,0,0
서울특별시 서대문구 홍은동,3,6,0
서울특별시 서대문구 홍제동,6,4,1
서울특별시 서초구 내곡동,0,4,0
서울특별시 서초구 반포동,3,10,0
서울특별시 서초구 방배동,4,13,0
서울특별시 서초구 서초동,1,14,0
서울특별시 서초구 신원동,0,4,0
서울특별시 서초구 양재동,10,15,0
서울특별시 서초구 염곡동,2,2,0
서울특별시 서초구 우면동,7,8,0
서울특별시 서초구 원지동,1,1,0
서울특별시 서초구 잠원동,4,10,0
서울특별시 성동구 금호동1가,1,0,0
서울특별시 성동구 금호동2가,1,1,0
서울특별시 성동구 금호동3가,3,0,1
서울특별시 성동구 금호동4가,0,1,0
서울특별시 성동구 마장동,0,4,1
서울특별시 성동구 사근동,0,1,0
서울특별시 성동구 상왕십리동,2,1,0
서울특별시 성동구 성수동1가,2,2,0
서울특별시 성동구 성수동2가,5,7,1
서울특별시 성동구 송정동,1,2,0
서울특별시 성동구 옥수동,3,0,0
서울특별시 성동구 용답동,1,0,1
서울특별시 성동구 응봉동,0,3,0
서울특별시 성동구 하왕십리동,3,4,0
서울특별시 성동구 행당동,2,3,0
서울특별시 성동구 홍익동,0,1,0
서울특별시 성북구 길음동,7,4,1
서울특별시 성북구 돈암동,2,2,1
서울특별시 성북구 동소문동5가,0,0,1
서울특별시 성북구 보문동3가,0,1,0
서울특별시 성북구 보문동4가,0,0,1
서울특별시 성북구 보문동6가,1,1,0
서울특별시 성북구 보문동7가,0,1,0
서울특별시 성북구 삼선동2가,0,1,0
서울특별시 성북구 삼선동3가,3,0,0
서울특별시 성북구 상월곡동,0,2,0
서울특별시 성북구 석관동,1,3,2
서울특별시 성북구 성북동,2,0,0
서울특별시 성북구 안암동2가,0,1,0
서울특별시 성북구 장위동,1,2,2
서울특별시 성북구 정릉동,2,3,0
서울특별시 성북구 종암동,0,5,0
서울특별시 성북구 하월곡동,4,2,0
서울특별시 송파구 가락동,5,14,0
서울특별시 송파구 거여동,6,9,0
서울특별시 송파구 마천동,11,8,0
서울특별시 송파구 문정동,11,10,0
서울특별시 송파구 방이동,4,7,0
서울특별시 송파구 삼전동,2,5,0
서울특별시 송파구 석촌동,1,4,0
서울특별시 송파구 송파동,4,7,0
서울특별시 송파구 신천동,5,4,0
서울특별시 송파구 오금동,7,8,0
서울특별시 송파구 잠실동,8,5,0
서울특별시 송파구 장지동,5,4,0
서울특별시 송파구 풍납동,3,2,0
서울특별시 양천구 목동,6,16,3
서울특별시 양천구 신월동,7,23,3
서울특별시 양천구 신정동,9,35,0
서울특별시 영등포구 당산동3가,1,0,0
서울특별시 영등포구 당산동4가,3,0,0
서울특별시 영등포구 당산동5가,3,0,0
서울특별시 영등포구 당산동6가,0,1,0
서울특별시 영등포구 대림동,1,7,0
서울특별시 영등포구 도림동,1,1,0
서울특별시 영등포구 문래동3가,1,0,0
서울특별시 영등포구 문래동4가,2,0,0
서울특별시 영등포구 문래동5가,1,0,0
서울특별시 영등포구 문래동6가,1,0,0
서울특별시 영등포구 신길동,6,3,0
서울특별시 영등포구 양평동1가,0,1,0
서울특별시 영등포구 양평동4가,0,1,0
서울특별시 영등포구 양화동,1,0,0
서울특별시 영등포구 여의도동,1,2,0
서울특별시 영등포구 영등포동,1,1,0
서울특별시 영등포구 영등포동2가,1,0,0
서울특별시 영등포구 영등포동6가,0,1,0
서울특별시 영등포구 영등포동7가,1,1,0
서울특별시 용산구 도원동,0,1,0
서울특별시 용산구 동자동,0,3,0
서울특별시 용산구 문배동,3,1,0
서울특별시 용산구 보광동,0,0,1
서울특별시 용산구 서계동,0,2,1
서울특별시 용산구 신계동,1,0,0
서울특별시 용산구 신창동,0,1,0
서울특별시 용산구 용산동3가,0,1,0
서울특별시 용산구 용산동5가,1,0,0
서울특별시 용산구 용산동6가,1,0,0
서울특별시 용산구 원효로3가,0,1,0
서울특별시 용산구 이촌동,9,1,0
서울특별시 용산구 이태원동,3,2,1
서울특별시 용산구 주성동,1,0,0
서울특별시 용산구 청파동3가,0,1,0
서울특별시 용산구 한강로1가,0,1,0
서울특별시 용산구 한강로3가,2,0,0
서울특별시 용산구 한남동,3,0,0
서울특별시 용산구 효창동,1,1,0
서울특별시 용산구 후암동,0,2,0
서울특별시 은평구 갈현동,1,6,0
서울특별시 은평구 구산동,7,2,0
서울특별시 은평구 녹번동,6,6,0
서울특별시 은평구 대조동,3,1,0
서울특별시 은평구 불광동,13,3,0
서울특별시 은평구 수색동,1,0,0
서울특별시 은평구 신사동,5,5,0
서울특별시 은평구 역촌동,3,4,1
서울특별시 은평구 응암동,9,5,1
서울특별시 은평구 증산동,0,2,0
서울특별시 은평구 진관동,17,1,0
서울특별시 종로구 내수동,2,0,0
서울특별시 종로구 동숭동,1,0,0
서울특별시 종로구 명륜1가,0,1,0
서울특별시 종로구 명륜3가,1,1,0
서울특별시 종로구 무악동,1,2,0
서울특별시 종로구 부암동,1,0,0
서울특별시 종로구 사직동,1,0,0
서울특별시 종로구 삼청동,1,0,0
서울특별시 종로구 서린동,1,0,0
서울특별시 종로구 송월동,3,0,0
서울특별시 종로구 수송동,1,0,0
서울특별시 종로구 숭인동,2,0,1
서울특별시 종로구 신문로1가,2,0,0
서울특별시 종로구 신문로2가,1,0,0
서울특별시 종로구 연지동,1,0,0
서울특별시 종로구 예지동,0,0,1
서울특별시 종로구 옥인동,1,1,0
서울특별시 종로구 와룡동,1,0,0
서울특별시 종로구 원서동,1,0,0
서울특별시 종로구 인사동,1,0,0
서울특별시 종로구 종로2가,1,0,0
서울특별시 종로구 종로6가,1,0,0
서울특별시 종로구 창신동,0,3,1
서울특별시 종로구 청진동,1,0,0
서울특별시 종로구 평창동,4,3,0
서울특별시 종로구 행촌동,2,0,0
서울특별시 종로구 효제동,0,1,0
서울특별시 중구 광희동1가,0,1,0
서울특별시 중구 다동,1,0,0
서울특별시 중구 만리동2가,3,0,0
서울특별시 중구 명동1가,1,0,0
서울특별시 중구 무교동,1,0,0
서울특별시 중구 삼각동,1,0,0
서울특별시 중구 서소문동,1,0,0
서울특별시 중구 순화동,1,1,0
서울특별시 중구 신당동,5,6,0
서울특별시 중구 쌍림동,1,0,0
서울특별시 중구 을지로2가,2,0,0
서울특별시 중구 을지로6가,1,0,0
서울특별시 중구 의주로1가,1,0,0
서울특별시 중구 저동1가,0,1,0
서울특별시 중구 정동,2,1,0
서울특별시 중구 중림동,1,0,0
서울특별시 중구 충무로5가,0,1,0
서울특별시 중구 태평로1가,1,0,0
서울특별시 중구 필동1가,0,1,0
서울특별시 중구 황학동,0,1,0
서울특별시 중랑구 망우동,0,8,0
서울특별시 중랑구 면목동,2,16,1
서울특별시 중랑구 묵동,3,5,0
서울특별시 중랑구 상봉동,0,4,0
서울특별시 중랑구 신내동,6,4,0
서울특별시 중랑구 중화동,0,6,1
인천광역시 강화군 강화읍 갑곳리,0,1,0
인천광역시 강화군 강화읍 신문리,0,0,1
인천광역시 강화군 강화읍 월곳리,1,0,0
인천광역시 계양구 계산동,4,7,0
인천광역시 계양구 귤현동,0,4,0
인천광역시 계양구 다남동,1,0,0
인천광역시 계양구 동양동,2,5,0
인천광역시 계양구 박촌동,0,2,0
인천광역시 계양구 방축동,0,1,0
인천광역시 계양구 병방동,0,3,0
인천광역시 계양구 상야동,0,1,0
인천광역시 계양구 서운동,6,1,0
인천광역시 계양구 용종동,2,1,0
인천광역시 계양구 임학동,0,2,0
인천광역시 계양구 작전동,6,2,0
인천광역시 계양구 장기동,0,4,0
인천광역시 계양구 효성동,1,1,0
인천광역시 남동구 간석동,5,14,0
인천광역시 남동구 고잔동,4,0,0
인천광역시 남동구 구월동,6,19,0
인천광역시 남동구 남촌동,2,3,0
인천광역시 남동구 논현동,12,26,0
인천광역시 남동구 도림동,2,7,0
인천광역시 남동구 만수동,4,24,0
인천광역시 남동구 서창동,8,10,0
인천광역시 남동구 수산동,0,1,0
인천광역시 남동구 운연동,1,1,0
인천광역시 남동구 장수동,1,4,0
인천광역시 동구 만석동,2,1,0
인천광역시 동구 송림동,3,2,1
인천광역시 동구 송현동,0,2,1
인천광역시 동구 창영동,0,1,0
인천광역시 동구 화수동,1,1,0
인천광역시 동구 화평동,0,1,0
인천광역시 미추홀구 관교동,1,3,0
인천광역시 미추홀구 도화동,1,2,0
인천광역시 미추홀구 문학동,0,7,0
인천광역시 미추홀구 숭의동,1,0,0
인천광역시 미추홀구 용현동,2,5,1
인천광역시 미추홀구 주안동,3,7,0
인천광역시 미추홀구 학익동,1,13,0
인천광역시 부평구 갈산동,3,9,0
인천광역시 부평구 구산동,3,1,0
인천광역시 부평구 부개동,6,11,0
인천광역시 부평구 부평동,4,6,0
인천광역시 부평구 산곡동,2,0,0
인천광역시 부평구 삼산동,8,13,0
인천광역시 부평구 십정동,2,12,1
인천광역시 부평구 일신동,0,1,0
인천광역시 부평구 청천동,1,0,0
인천광역시 서구 가정동,0,2,0
인천광역시 서구 가좌동,4,7,0
인천광역시 서구 검암동,3,7,0
인천광역시 서구 경서동,2,4,0
인천광역시 서구 공촌동,0,2,0
인천광역시 서구 금곡동,0,1,0
인천광역시 서구 당하동,1,7,0
인천광역시 서구 마전동,3,12,0
인천광역시 서구 불로동,2,5,0
인천광역시 서구 석남동,1,3,0
인천광역시 서구 신현동,1,0,0
인천광역시 서구 심곡동,1,11,0
인천광역시 서구 연희동,3,6,0
인천광역시 서구 오류동,6,4,0
인천광역시 서구 왕길동,2,2,0
인천광역시 서구 원당동,3,1,0
인천광역시 서구 청라동,12,17,0
인천광역시 연수구 동춘동,8,7,1
인천광역시 연수구 선학동,0,8,0
인천광역시 연수구 송도동,32,18,0
인천광역시 연수구 연수동,7,8,0
인천광역시 연수구 옥련동,1,5,1
인천광역시 연수구 청학동,3,11,0
인천광역시 중구 도원동,0,1,0
인천광역시 중구 북성동1가,2,0,0
인천광역시 중구 선화동,0,0,1
인천광역시 중구 송학동1가,1,0,0
인천광역시 중구 신포동,0,0,1
인천광역시 중구 신흥동3가,1,0,0
인천광역시 중구 운남동,16,11,0
인천광역시 중구 운북동,15,2,0
인천광역시 중구 운서동,14,16,0
인천광역시 중구 율목동,0,1,0
인천광역시 중구 중산동,7,4,0
인천광역시 중구 항동7가,0,0,1
