addr,약국,병원
경기도 평택시 평택동,27개,84개
경기도 평택시 포승읍 내기리,1개,1개
경기도 평택시 포승읍 도곡리,6개,9개
경기도 평택시 포승읍 만호리,3개,1개
경기도 평택시 포승읍 원정리,1개,1개
경기도 평택시 합정동,20개,31개
경기도 포천시 가산면 마산리,2개,4개
경기도 포천시 관인면 탄동리,1개,1개
경기도 포천시 군내면 구읍리,2개,1개
경기도 포천시 내촌면 내리,2개,3개
경기도 포천시 선단동,3개,7개
경기도 포천시 소흘읍 고모리,1개,0개
경기도 포천시 소흘읍 송우리,16개,50개
경기도 포천시 소흘읍 이동교리,1개,0개
경기도 포천시 신읍동,16개,35개
경기도 포천시 영북면 운천리,5개,11개
경기도 포천시 영중면 양문리,2개,4개
경기도 포천시 이동면 장암리,1개,4개
경기도 포천시 일동면 기산리,6개,13개
경기도 하남시 감이동,1개,9개
경기도 하남시 감일동,2개,7개
경기도 하남시 덕풍동,26개,78개
경기도 하남시 망월동,34개,136개
경기도 하남시 선동,1개,1개
경기도 하남시 신장동,31개,81개
경기도 하남시 창우동,4개,7개
경기도 하남시 풍산동,11개,18개
경기도 하남시 학암동,1개,3개
경기도 화성시 기안동,4개,7개
경기도 화성시 남양읍 남양리,17개,43개
경기도 화성시 남양읍 북양리,3개,0개
경기도 화성시 능동,12개,33개
경기도 화성시 마도면 두곡리,1개,2개
경기도 화성시 마도면 쌍송리,1개,0개
경기도 화성시 매송면 원리,1개,0개
경기도 화성시 매송면 천천리,2개,0개
경기도 화성시 목동,5개,22개
경기도 화성시 반송동,35개,118개
경기도 화성시 반월동,13개,28개
경기도 화성시 병점동,14개,47개
경기도 화성시 봉담읍 덕우리,1개,0개
경기도 화성시 봉담읍 동화리,8개,32개
경기도 화성시 봉담읍 상리,5개,11개
경기도 화성시 봉담읍 수영리,1개,2개
경기도 화성시 봉담읍 와우리,10개,21개
경기도 화성시 봉담읍 왕림리,1개,0개
경기도 화성시 봉담읍 유리,1개,1개
경기도 화성시 비봉면 양노리,1개,4개
경기도 화성시 산척동,10개,56개
경기도 화성시 새솔동,7개,18개
경기도 화성시 서신면 매화리,1개,4개
경기도 화성시 서신면 송교리,1개,0개
경기도 화성시 석우동,10개,6개
경기도 화성시 송동,2개,4개
경기도 화성시 송산동,3개,4개
경기도 화성시 송산면 봉가리,1개,3개
경기도 화성시 송산면 사강리,4개,12개
경기도 화성시 안녕동,4개,6개
경기도 화성시 양감면 송산리,1개,0개
경기도 화성시 양감면 신왕리,1개,1개
경기도 화성시 영천동,11개,36개
경기도 화성시 오산동,13개,56개
경기도 화성시 우정읍 조암리,7개,22개
경기도 화성시 우정읍 화산리,2개,0개
경기도 화성시 장안면 독정리,1개,1개
경기도 화성시 장안면 석포리,1개,0개
경기도 화성시 장안면 수촌리,1개,0개
경기도 화성시 장지동,2개,5개
경기도 화성시 정남면 괘랑리,1개,2개
경기도 화성시 정남면 덕절리,2개,0개
경기도 화성시 정남면 발산리,1개,1개
경기도 화성시 정남면 보통리,2개,0개
경기도 화성시 정남면 제기리,1개,0개
경기도 화성시 진안동,14개,35개
경기도 화성시 청계동,9개,33개
경기도 화성시 팔탄면 구장리,1개,6개
경기도 화성시 팔탄면 율암리,1개,0개
경기도 화성시 팔탄면 창곡리,1개,0개
경기도 화성시 향남읍 관리,1개,0개
경기도 화성시 향남읍 구문천리,1개,1개
경기도 화성시 향남읍 발안리,1개,2개
경기도 화성시 향남읍 상신리,1개,2개
경기도 화성시 향남읍 수직리,1개,0개
경기도 화성시 향남읍 평리,8개,19개
경기도 화성시 향남읍 하길리,6개,19개
경기도 화성시 향남읍 행정리,11개,42개
서울특별시 강남구 개포동,27개,92개
서울특별시 강남구 논현동,82개,449개
서울특별시 강남구 대치동,59개,286개
서울특별시 강남구 도곡동,33개,127개
서울특별시 강남구 삼성동,34개,168개
서울특별시 강남구 세곡동,4개,17개
서울특별시 강남구 수서동,15개,40개
서울특별시 강남구 신사동,74개,660개
서울특별시 강남구 압구정동,5개,13개
서울특별시 강남구 역삼동,103개,555개
서울특별시 강남구 율현동,1개,5개
서울특별시 강남구 일원동,28개,47개
서울특별시 강남구 자곡동,5개,10개
서울특별시 강남구 청담동,26개,243개
서울특별시 강동구 강일동,12개,29개
서울특별시 강동구 고덕동,14개,46개
서울특별시 강동구 길동,35개,108개
서울특별시 강동구 둔촌동,18개,27개
서울특별시 강동구 명일동,40개,135개
서울특별시 강동구 상일동,10개,25개
서울특별시 강동구 성내동,43개,170개
서울특별시 강동구 암사동,23개,84개
서울특별시 강동구 천호동,60개,188개
서울특별시 강북구 미아동,74개,231개
서울특별시 강북구 번동,28개,74개
서울특별시 강북구 수유동,62개,139개
서울특별시 강북구 우이동,5개,6개
서울특별시 강서구 가양동,19개,54개
서울특별시 강서구 공항동,10개,22개
서울특별시 강서구 과해동,1개,0개
서울특별시 강서구 내발산동,24개,71개
서울특별시 강서구 등촌동,36개,106개
서울특별시 강서구 마곡동,38개,151개
서울특별시 강서구 방화동,28개,83개
서울특별시 강서구 염창동,14개,44개
서울특별시 강서구 화곡동,92개,313개
서울특별시 관악구 남현동,8개,28개
서울특별시 관악구 봉천동,107개,354개
서울특별시 관악구 신림동,113개,308개
서울특별시 광진구 광장동,8개,28개
서울특별시 광진구 구의동,29개,118개
서울특별시 광진구 군자동,9개,37개
서울특별시 광진구 능동,4개,16개
서울특별시 광진구 자양동,41개,156개
서울특별시 광진구 중곡동,42개,134개
서울특별시 광진구 화양동,17개,57개
서울특별시 구로구 가리봉동,6개,10개
서울특별시 구로구 개봉동,31개,97개
서울특별시 구로구 고척동,24개,64개
서울특별시 구로구 구로동,86개,230개
서울특별시 구로구 궁동,3개,7개
서울특별시 구로구 신도림동,13개,58개
서울특별시 구로구 오류동,17개,55개
서울특별시 구로구 온수동,2개,7개
서울특별시 구로구 천왕동,3개,14개
서울특별시 구로구 항동,3개,7개
서울특별시 금천구 가산동,23개,75개
서울특별시 금천구 독산동,49개,121개
서울특별시 금천구 시흥동,58개,145개
서울특별시 노원구 공릉동,41개,99개
서울특별시 노원구 상계동,101개,384개
서울특별시 노원구 월계동,27개,73개
서울특별시 노원구 중계동,44개,139개
서울특별시 노원구 하계동,17개,25개
서울특별시 도봉구 도봉동,16개,37개
서울특별시 도봉구 방학동,29개,93개
서울특별시 도봉구 쌍문동,32개,79개
서울특별시 도봉구 창동,45개,142개
서울특별시 동대문구 답십리동,27개,92개
서울특별시 동대문구 신설동,5개,13개
서울특별시 동대문구 용두동,22개,44개
서울특별시 동대문구 이문동,22개,51개
서울특별시 동대문구 장안동,49개,129개
서울특별시 동대문구 전농동,28개,66개
서울특별시 동대문구 제기동,76개,91개
서울특별시 동대문구 청량리동,20개,53개
서울특별시 동대문구 회기동,17개,9개
서울특별시 동대문구 휘경동,19개,32개
서울특별시 동작구 노량진동,24개,37개
서울특별시 동작구 대방동,17개,61개
서울특별시 동작구 본동,4개,6개
서울특별시 동작구 사당동,45개,195개
서울특별시 동작구 상도1동,7개,22개
서울특별시 동작구 상도동,51개,154개
서울특별시 동작구 신대방동,25개,64개
서울특별시 동작구 흑석동,24개,48개
서울특별시 마포구 공덕동,17개,59개
서울특별시 마포구 구수동,1개,8개
서울특별시 마포구 노고산동,11개,61개
서울특별시 마포구 대흥동,14개,42개
서울특별시 마포구 도화동,22개,87개
서울특별시 마포구 동교동,13개,76개
서울특별시 마포구 마포동,1개,1개
서울특별시 마포구 망원동,21개,66개
서울특별시 마포구 상수동,4개,7개
서울특별시 마포구 상암동,16개,59개
서울특별시 마포구 서교동,17개,65개
서울특별시 마포구 성산동,12개,29개
서울특별시 마포구 신공덕동,7개,16개
서울특별시 마포구 신수동,5개,13개
서울특별시 마포구 아현동,16개,54개
서울특별시 마포구 연남동,2개,11개
서울특별시 마포구 염리동,6개,22개
서울특별시 마포구 용강동,2개,5개
서울특별시 마포구 중동,5개,14개
서울특별시 마포구 창전동,3개,13개
서울특별시 마포구 토정동,1개,0개
서울특별시 마포구 합정동,10개,33개
서울특별시 서대문구 남가좌동,23개,67개
서울특별시 서대문구 냉천동,1개,6개
서울특별시 서대문구 대신동,4개,1개
서울특별시 서대문구 대현동,6개,13개
서울특별시 서대문구 미근동,2개,2개
서울특별시 서대문구 북가좌동,19개,56개
서울특별시 서대문구 북아현동,10개,22개
서울특별시 서대문구 신촌동,1개,1개
서울특별시 서대문구 연희동,14개,36개
서울특별시 서대문구 영천동,3개,11개
서울특별시 서대문구 옥천동,1개,6개
서울특별시 서대문구 창천동,18개,46개
서울특별시 서대문구 충정로2가,3개,13개
서울특별시 서대문구 충정로3가,1개,8개
서울특별시 서대문구 홍은동,15개,30개
서울특별시 서대문구 홍제동,31개,101개
서울특별시 서초구 내곡동,4개,13개
서울특별시 서초구 반포동,38개,168개
서울특별시 서초구 방배동,38개,216개
서울특별시 서초구 서초동,94개,591개
서울특별시 서초구 신원동,1개,6개
서울특별시 서초구 양재동,23개,86개
서울특별시 서초구 우면동,6개,27개
서울특별시 서초구 잠원동,22개,160개
서울특별시 성동구 금호동1가,6개,16개
서울특별시 성동구 금호동2가,4개,11개
서울특별시 성동구 금호동3가,10개,21개
서울특별시 성동구 금호동4가,8개,27개
서울특별시 성동구 도선동,5개,29개
서울특별시 성동구 마장동,8개,21개
서울특별시 성동구 사근동,1개,0개
서울특별시 성동구 상왕십리동,1개,6개
서울특별시 성동구 성수동1가,11개,43개
서울특별시 성동구 성수동2가,24개,68개
서울특별시 성동구 송정동,5개,4개
서울특별시 성동구 옥수동,11개,36개
서울특별시 성동구 용답동,8개,22개
서울특별시 성동구 응봉동,2개,7개
서울특별시 성동구 하왕십리동,16개,48개
서울특별시 성동구 행당동,29개,87개
서울특별시 성동구 홍익동,3개,4개
서울특별시 성북구 길음동,23개,61개
서울특별시 성북구 돈암동,8개,22개
서울특별시 성북구 동선동1가,5개,14개
서울특별시 성북구 동선동3가,1개,0개
서울특별시 성북구 동선동4가,4개,18개
서울특별시 성북구 동소문동1가,3개,10개
서울특별시 성북구 동소문동2가,5개,13개
서울특별시 성북구 동소문동3가,3개,6개
서울특별시 성북구 동소문동4가,2개,6개
서울특별시 성북구 동소문동5가,3개,9개
서울특별시 성북구 동소문동6가,5개,26개
서울특별시 성북구 동소문동7가,2개,2개
서울특별시 성북구 보문동2가,1개,4개
서울특별시 성북구 보문동4가,1개,3개
서울특별시 성북구 보문동5가,3개,6개
서울특별시 성북구 보문동7가,1개,1개
서울특별시 성북구 삼선동1가,2개,3개
서울특별시 성북구 삼선동4가,3개,4개
서울특별시 성북구 삼선동5가,1개,7개
서울특별시 성북구 상월곡동,1개,6개
서울특별시 성북구 석관동,17개,40개
서울특별시 성북구 성북동1가,1개,9개
서울특별시 성북구 안암동2가,1개,2개
서울특별시 성북구 안암동5가,9개,10개
서울특별시 성북구 장위동,24개,39개
서울특별시 성북구 정릉동,29개,72개
서울특별시 성북구 종암동,19개,42개
서울특별시 성북구 하월곡동,26개,66개
서울특별시 송파구 가락동,57개,148개
서울특별시 송파구 거여동,16개,60개
서울특별시 송파구 마천동,23개,57개
서울특별시 송파구 문정동,35개,131개
서울특별시 송파구 방이동,35개,114개
서울특별시 송파구 삼전동,19개,50개
서울특별시 송파구 석촌동,28개,82개
서울특별시 송파구 송파동,28개,88개
서울특별시 송파구 신천동,36개,111개
서울특별시 송파구 오금동,13개,37개
서울특별시 송파구 잠실동,56개,223개
서울특별시 송파구 장지동,11개,29개
서울특별시 송파구 풍납동,37개,43개
서울특별시 양천구 목동,76개,278개
서울특별시 양천구 신월동,57개,118개
서울특별시 양천구 신정동,58개,239개
서울특별시 영등포구 당산동1가,5개,8개
서울특별시 영등포구 당산동2가,1개,7개
서울특별시 영등포구 당산동3가,4개,22개
서울특별시 영등포구 당산동4가,5개,17개
서울특별시 영등포구 당산동5가,7개,34개
서울특별시 영등포구 당산동6가,7개,34개
서울특별시 영등포구 대림동,45개,88개
서울특별시 영등포구 도림동,6개,17개
서울특별시 영등포구 문래동2가,1개,3개
서울특별시 영등포구 문래동3가,11개,37개
서울특별시 영등포구 문래동4가,1개,2개
서울특별시 영등포구 문래동6가,4개,14개
서울특별시 영등포구 신길동,53개,143개
서울특별시 영등포구 양평동1가,2개,3개
서울특별시 영등포구 양평동2가,3개,9개
서울특별시 영등포구 양평동3가,2개,6개
서울특별시 영등포구 양평동4가,3개,16개
서울특별시 영등포구 양평동5가,4개,8개
서울특별시 영등포구 여의도동,48개,164개
서울특별시 영등포구 영등포동,9개,16개
서울특별시 영등포구 영등포동2가,5개,0개
서울특별시 영등포구 영등포동3가,7개,32개
서울특별시 영등포구 영등포동4가,14개,25개
서울특별시 영등포구 영등포동5가,7개,16개
서울특별시 영등포구 영등포동6가,4개,19개
서울특별시 영등포구 영등포동7가,2개,5개
서울특별시 영등포구 영등포동8가,2개,11개
서울특별시 용산구 갈월동,7개,28개
서울특별시 용산구 남영동,3개,8개
서울특별시 용산구 도원동,2개,3개
서울특별시 용산구 동자동,4개,3개
서울특별시 용산구 보광동,9개,20개
서울특별시 용산구 산천동,1개,4개
서울특별시 용산구 서계동,3개,7개
서울특별시 용산구 용문동,1개,11개
서울특별시 용산구 용산동2가,4개,7개
서울특별시 용산구 용산동3가,1개,2개
서울특별시 용산구 용산동6가,1개,1개
서울특별시 용산구 원효로1가,1개,9개
서울특별시 용산구 원효로2가,5개,11개
서울특별시 용산구 원효로3가,2개,1개
서울특별시 용산구 원효로4가,1개,1개
서울특별시 용산구 이촌동,14개,45개
서울특별시 용산구 이태원동,7개,21개
서울특별시 용산구 청파동1가,2개,1개
서울특별시 용산구 청파동2가,3개,4개
서울특별시 용산구 청파동3가,4개,6개
서울특별시 용산구 한강로1가,1개,7개
서울특별시 용산구 한강로2가,12개,38개
서울특별시 용산구 한강로3가,12개,20개
서울특별시 용산구 한남동,13개,31개
서울특별시 용산구 효창동,5개,11개
서울특별시 용산구 후암동,8개,16개
서울특별시 은평구 갈현동,27개,74개
서울특별시 은평구 구산동,8개,26개
서울특별시 은평구 녹번동,13개,28개
서울특별시 은평구 대조동,25개,98개
서울특별시 은평구 불광동,25개,104개
서울특별시 은평구 수색동,5개,8개
서울특별시 은평구 신사동,15개,47개
서울특별시 은평구 역촌동,18개,51개
서울특별시 은평구 응암동,49개,143개
서울특별시 은평구 증산동,8개,22개
서울특별시 은평구 진관동,26개,60개
서울특별시 종로구 견지동,1개,7개
서울특별시 종로구 경운동,2개,7개
서울특별시 종로구 계동,1개,3개
서울특별시 종로구 관수동,1개,4개
서울특별시 종로구 관철동,3개,10개
서울특별시 종로구 관훈동,1개,2개
서울특별시 종로구 교남동,1개,2개
서울특별시 종로구 교북동,1개,3개
서울특별시 종로구 구기동,2개,5개
서울특별시 종로구 낙원동,2개,4개
서울특별시 종로구 내자동,4개,8개
서울특별시 종로구 누하동,1개,2개
서울특별시 종로구 당주동,2개,12개
서울특별시 종로구 도렴동,1개,2개
서울특별시 종로구 돈의동,1개,1개
서울특별시 종로구 동숭동,2개,8개
서울특별시 종로구 명륜1가,2개,6개
서울특별시 종로구 명륜2가,3개,8개
서울특별시 종로구 명륜3가,2개,1개
서울특별시 종로구 명륜4가,6개,1개
서울특별시 종로구 묘동,1개,2개
서울특별시 종로구 무악동,5개,4개
서울특별시 종로구 봉익동,1개,0개
서울특별시 종로구 서린동,1개,10개
서울특별시 종로구 세종로,1개,6개
서울특별시 종로구 수송동,2개,9개
서울특별시 종로구 숭인동,7개,26개
서울특별시 종로구 신문로1가,4개,20개
서울특별시 종로구 신영동,1개,1개
서울특별시 종로구 안국동,1개,4개
서울특별시 종로구 연건동,8개,1개
서울특별시 종로구 옥인동,2개,1개
서울특별시 종로구 원남동,5개,0개
서울특별시 종로구 적선동,3개,12개
서울특별시 종로구 종로1가,6개,17개
서울특별시 종로구 종로2가,5개,18개
서울특별시 종로구 종로3가,6개,18개
서울특별시 종로구 종로4가,12개,10개
서울특별시 종로구 종로5가,23개,42개
서울특별시 종로구 종로6가,6개,26개
서울특별시 종로구 창성동,1개,3개
서울특별시 종로구 창신동,16개,51개
서울특별시 종로구 청진동,5개,17개
서울특별시 종로구 충신동,1개,2개
서울특별시 종로구 통인동,1개,1개
서울특별시 종로구 평동,12개,4개
서울특별시 종로구 평창동,3개,8개
서울특별시 종로구 혜화동,4개,12개
서울특별시 종로구 홍파동,2개,6개
서울특별시 중구 광희동1가,1개,1개
서울특별시 중구 광희동2가,1개,4개
서울특별시 중구 남대문로2가,1개,1개
서울특별시 중구 남대문로3가,2개,2개
서울특별시 중구 남대문로4가,2개,6개
서울특별시 중구 남대문로5가,5개,22개
서울특별시 중구 남산동1가,1개,8개
서울특별시 중구 남창동,5개,16개
서울특별시 중구 다동,2개,8개
서울특별시 중구 만리동2가,1개,4개
서울특별시 중구 명동1가,4개,10개
서울특별시 중구 명동2가,3개,20개
서울특별시 중구 무교동,3개,17개
서울특별시 중구 무학동,2개,7개
서울특별시 중구 묵정동,1개,3개
서울특별시 중구 방산동,1개,3개
서울특별시 중구 봉래동2가,1개,0개
서울특별시 중구 북창동,1개,2개
서울특별시 중구 삼각동,1개,3개
서울특별시 중구 서소문동,5개,23개
서울특별시 중구 소공동,2개,7개
서울특별시 중구 수표동,1개,2개
서울특별시 중구 수하동,1개,2개
서울특별시 중구 순화동,1개,8개
서울특별시 중구 신당동,40개,121개
서울특별시 중구 쌍림동,1개,5개
서울특별시 중구 오장동,2개,0개
서울특별시 중구 을지로1가,2개,5개
서울특별시 중구 을지로2가,6개,21개
서울특별시 중구 을지로3가,1개,5개
서울특별시 중구 을지로4가,5개,16개
서울특별시 중구 을지로6가,7개,15개
서울특별시 중구 의주로1가,1개,2개
서울특별시 중구 인현동2가,1개,0개
서울특별시 중구 장교동,1개,2개
서울특별시 중구 장충동1가,1개,3개
서울특별시 중구 저동2가,6개,6개
서울특별시 중구 중림동,6개,19개
서울특별시 중구 초동,3개,6개
서울특별시 중구 충무로1가,3개,15개
서울특별시 중구 충무로2가,5개,18개
서울특별시 중구 충무로4가,3개,6개
서울특별시 중구 태평로1가,2개,6개
서울특별시 중구 태평로2가,2개,11개
서울특별시 중구 필동1가,1개,4개
서울특별시 중구 필동2가,2개,5개
서울특별시 중구 필동3가,1개,1개
서울특별시 중구 황학동,11개,24개
서울특별시 중구 회현동1가,2개,14개
서울특별시 중구 흥인동,4개,6개
서울특별시 중랑구 망우동,30개,76개
서울특별시 중랑구 면목동,68개,192개
서울특별시 중랑구 묵동,20개,57개
서울특별시 중랑구 상봉동,20개,70개
서울특별시 중랑구 신내동,26개,63개
서울특별시 중랑구 중화동,21개,59개
인천광역시 강화군 강화읍 갑곳리,2개,3개
인천광역시 강화군 강화읍 관청리,5개,15개
인천광역시 강화군 강화읍 남산리,7개,13개
인천광역시 강화군 강화읍 신문리,3개,14개
인천광역시 강화군 길상면 온수리,2개,8개
인천광역시 강화군 내가면 고천리,1개,1개
인천광역시 강화군 내가면 외포리,1개,0개
인천광역시 강화군 선원면 창리,1개,0개
인천광역시 강화군 화도면 상방리,1개,2개
인천광역시 계양구 계산동,35개,121개
인천광역시 계양구 귤현동,2개,4개
인천광역시 계양구 동양동,3개,11개
인천광역시 계양구 박촌동,1개,9개
인천광역시 계양구 병방동,7개,29개
인천광역시 계양구 용종동,4개,20개
인천광역시 계양구 임학동,6개,19개
인천광역시 계양구 작전동,43개,85개
인천광역시 계양구 장기동,2개,5개
인천광역시 계양구 효성동,16개,44개
인천광역시 남동구 간석동,49개,112개
인천광역시 남동구 고잔동,1개,5개
인천광역시 남동구 구월동,76개,282개
인천광역시 남동구 남촌동,6개,9개
인천광역시 남동구 논현동,39개,121개
인천광역시 남동구 도림동,2개,6개
인천광역시 남동구 만수동,44개,123개
인천광역시 남동구 서창동,14개,46개
인천광역시 남동구 장수동,2개,1개
인천광역시 동구 금곡동,2개,3개
인천광역시 동구 만석동,2개,3개
인천광역시 동구 송림동,18개,47개
인천광역시 동구 송현동,8개,21개
인천광역시 동구 화수동,3개,6개
인천광역시 동구 화평동,2개,6개
인천광역시 미추홀구 관교동,4개,7개
인천광역시 미추홀구 도화동,17개,44개
인천광역시 미추홀구 문학동,3개,3개
인천광역시 미추홀구 숭의동,18개,27개
인천광역시 미추홀구 용현동,44개,110개
인천광역시 미추홀구 주안동,77개,205개
인천광역시 미추홀구 학익동,14개,44개
인천광역시 부평구 갈산동,7개,21개
인천광역시 부평구 구산동,1개,2개
인천광역시 부평구 부개동,25개,58개
인천광역시 부평구 부평동,97개,269개
인천광역시 부평구 산곡동,35개,90개
인천광역시 부평구 삼산동,20개,74개
인천광역시 부평구 십정동,17개,51개
인천광역시 부평구 일신동,5개,8개
인천광역시 부평구 청천동,19개,34개
인천광역시 서구 가정동,14개,47개
인천광역시 서구 가좌동,24개,63개
인천광역시 서구 검암동,5개,21개
인천광역시 서구 경서동,1개,11개
인천광역시 서구 공촌동,1개,1개
인천광역시 서구 당하동,14개,36개
인천광역시 서구 마전동,12개,46개
인천광역시 서구 불로동,5개,12개
인천광역시 서구 석남동,25개,63개
인천광역시 서구 신현동,8개,28개
인천광역시 서구 심곡동,13개,30개
인천광역시 서구 연희동,5개,8개
인천광역시 서구 오류동,1개,2개
인천광역시 서구 왕길동,12개,31개
인천광역시 서구 원당동,4개,7개
인천광역시 서구 청라동,27개,89개
인천광역시 연수구 동춘동,17개,63개
인천광역시 연수구 선학동,6개,15개
인천광역시 연수구 송도동,47개,186개
인천광역시 연수구 연수동,23개,65개
인천광역시 연수구 옥련동,10개,47개
인천광역시 연수구 청학동,11개,22개
인천광역시 옹진군 백령면 진촌리,1개,0개
인천광역시 옹진군 영흥면 내리,2개,2개
인천광역시 옹진군 영흥면 선재리,1개,1개
인천광역시 중구 경동,2개,3개
인천광역시 중구 답동,2개,3개
인천광역시 중구 도원동,1개,0개
인천광역시 중구 선린동,1개,1개
인천광역시 중구 선화동,1개,0개
인천광역시 중구 신생동,1개,0개
인천광역시 중구 신포동,3개,11개
인천광역시 중구 신흥동3가,6개,6개
인천광역시 중구 용동,1개,1개
인천광역시 중구 운남동,1개,5개
인천광역시 중구 운서동,16개,28개
인천광역시 중구 유동,2개,2개
인천광역시 중구 을왕동,1개,0개
인천광역시 중구 인현동,4개,9개
인천광역시 중구 전동,1개,1개
인천광역시 중구 중산동,12개,33개
인천광역시 중구 항동7가,5개,7개
