address,공시가격,좌표,초등학교,중학교,고등학교,유치원,학원,병원,약국,보건소,헬스장,체육관,수영장,영화관,카페,공원,놀이터,도서관,백화점,대형마트,복합쇼핑센터,시장,사회복지관,경로당,어린이집
서울특별시 강남구 개포동,1339497589,"37.478260,127.052024",5,2,4,4,178,92,27,0,3,2,0,0,78,8,9,2,0,0,0,0,2,24,4
서울특별시 강남구 논현동,1211834590,"37.513093,127.031353",2,1,0,3,174,449,82,0,8,0,0,13,330,6,3,2,0,0,0,0,0,10,3
서울특별시 강남구 대치동,1701007762,"37.501711,127.057851",4,4,3,4,1558,286,59,0,9,0,3,0,291,7,7,4,1,0,0,0,0,30,4
서울특별시 강남구 도곡동,1877546286,"37.486509,127.040738",2,4,3,3,164,127,33,0,4,0,0,1,131,9,2,2,0,0,0,0,0,19,3
서울특별시 강남구 삼성동,1414659119,"37.512792,127.053085",2,2,1,1,139,168,34,1,6,0,0,3,309,3,1,2,1,0,4,0,0,25,1
서울특별시 강남구 세곡동,1271705314,"37.466494,127.103021",2,0,0,4,40,17,4,0,0,0,0,0,19,5,7,1,0,0,0,0,0,10,4
서울특별시 강남구 수서동,1054632436,"37.485767,127.098137",2,2,2,4,28,40,15,0,2,1,0,0,46,4,7,1,0,0,0,0,3,9,3
서울특별시 강남구 신사동,1761464460,"37.522893,127.028589",1,1,0,1,461,660,74,0,5,0,4,5,349,1,4,1,0,0,1,0,0,6,1
서울특별시 강남구 압구정동,2987880196,"37.528752,127.031766",1,2,3,1,41,13,5,0,0,0,1,0,26,3,3,1,3,0,0,0,0,8,1
서울특별시 강남구 역삼동,819200531.3,"37.500335,127.037596",2,2,1,1,408,555,103,0,25,0,0,8,594,11,5,3,0,1,0,0,0,26,1
서울특별시 강남구 율현동,915230769.2,"37.471450,127.107251",0,0,0,0,3,5,1,0,0,0,0,0,7,1,1,1,0,0,0,0,0,4,0
서울특별시 강남구 일원동,1535207169,"37.491326,127.083799",4,1,3,3,98,47,28,0,1,0,1,0,35,3,4,3,0,0,0,0,1,20,3
서울특별시 강남구 자곡동,762612060.3,"37.476796,127.100387",2,1,1,2,37,10,5,0,0,0,1,0,18,7,2,2,0,0,0,0,0,11,2
서울특별시 강남구 청담동,1659374615,"37.523404,127.046858",2,1,1,3,128,243,26,0,6,0,0,0,152,1,3,2,1,0,0,0,0,16,2
서울특별시 강동구 강일동,703009947.6,"37.569204,127.171620",3,3,1,3,68,29,12,1,2,0,1,0,8,3,4,1,0,0,0,0,0,14,3
서울특별시 강동구 고덕동,1085453237,"37.561068,127.160582",4,3,3,3,101,46,14,0,1,0,0,0,39,7,5,1,0,0,0,0,0,13,3
서울특별시 강동구 길동,440208133.4,"37.539123,127.143163",3,1,0,5,96,108,35,0,2,0,0,0,72,0,4,1,0,0,0,0,0,13,4
서울특별시 강동구 둔촌동,730859005.2,"37.531157,127.142891",2,3,2,2,72,27,18,0,1,0,0,0,48,1,1,1,0,0,0,0,0,16,2
서울특별시 강동구 명일동,882567632.3,"37.549276,127.147555",3,0,1,5,332,135,40,0,2,0,1,0,91,2,8,0,0,2,0,0,0,13,5
서울특별시 강동구 상일동,1032433862,"37.548220,127.170630",4,2,5,6,60,25,10,0,1,0,2,0,57,3,6,0,0,0,0,0,0,9,6
서울특별시 강동구 성내동,508963826.9,"37.531338,127.129174",2,1,0,2,189,170,43,1,3,0,1,3,212,1,6,1,0,0,0,0,1,17,2
서울특별시 강동구 암사동,719537204.1,"37.552497,127.133010",3,2,1,3,196,84,23,0,1,0,0,0,99,4,6,1,0,1,0,1,0,24,3
서울특별시 강동구 천호동,459336750.9,"37.543676,127.131748",3,4,1,4,127,188,60,0,5,0,0,1,162,0,13,2,1,2,0,1,1,23,4
서울특별시 강북구 미아동,461559225.9,"37.621298,127.024902",7,6,6,7,257,231,74,0,8,0,0,4,143,7,15,5,1,5,2,0,1,47,7
서울특별시 강북구 번동,265630795.4,"37.635123,127.032072",3,2,0,3,66,74,28,1,1,0,0,1,40,2,7,1,0,0,0,2,3,30,3
서울특별시 강북구 수유동,293740725.3,"37.639388,127.017183",4,4,1,8,118,139,62,0,9,0,0,3,119,1,13,1,0,1,1,2,0,26,8
서울특별시 강북구 우이동,315574157.3,"37.658785,127.011190",0,0,0,0,6,6,5,0,0,0,0,0,22,1,0,0,0,0,0,0,0,3,0
서울특별시 강서구 가양동,601931687,"37.568238,126.845059",3,2,3,9,43,54,19,0,1,1,1,0,54,4,10,5,0,2,0,0,3,29,9
서울특별시 강서구 개화동,799416666.7,"37.582069,126.801198",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0
서울특별시 강서구 공항동,332389928.1,"37.558805,126.813297",1,2,0,2,16,22,11,0,1,0,2,0,45,2,4,1,0,0,0,0,0,9,2
서울특별시 강서구 내발산동,635131189.9,"37.552616,126.835730",3,4,8,5,280,71,24,0,4,0,2,0,83,2,6,3,0,0,0,0,0,13,5
서울특별시 강서구 등촌동,491202779.7,"37.551325,126.858411",8,5,6,8,188,106,36,0,3,0,1,2,145,4,12,5,1,1,0,0,4,40,8
서울특별시 강서구 마곡동,663760569.3,"37.566092,126.830395",4,2,2,4,193,151,38,0,9,0,3,1,288,2,8,1,0,0,0,0,0,16,4
서울특별시 강서구 방화동,468884175.3,"37.569138,126.812192",5,3,2,9,109,83,28,0,2,0,0,1,111,4,21,5,0,0,1,1,3,47,8
서울특별시 강서구 염창동,697390622.2,"37.551366,126.871300",3,2,0,1,134,44,14,1,1,0,1,0,56,1,3,3,0,0,0,0,0,35,1
서울특별시 강서구 외발산동,148711538.5,"37.546721,126.821871",0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2,0
서울특별시 강서구 화곡동,332209719,"37.538358,126.847336",8,2,2,14,343,313,92,0,5,0,2,1,267,4,51,13,0,0,0,1,0,45,13
서울특별시 관악구 남현동,429780800,"37.474116,126.976721",1,0,0,2,28,28,8,0,0,0,0,0,31,1,4,1,0,1,0,0,0,4,2
서울특별시 관악구 봉천동,539627609.1,"37.482717,126.949951",10,7,9,17,423,354,107,2,7,0,2,1,362,6,28,21,1,1,2,1,3,52,17
서울특별시 관악구 신림동,443031953.8,"37.476412,126.925691",11,9,8,13,328,308,113,0,13,0,2,1,345,6,33,18,0,0,2,3,2,58,13
서울특별시 광진구 광장동,717833468.7,"37.546992,127.103926",3,3,1,5,104,28,8,0,3,0,1,0,73,0,2,4,0,0,0,0,1,20,5
서울특별시 광진구 구의동,468687751.8,"37.544655,127.089493",3,1,1,5,244,118,29,0,7,0,3,1,157,1,8,9,0,1,0,0,0,16,5
서울특별시 광진구 군자동,607603403.4,"37.553878,127.073516",2,0,0,2,26,37,9,0,4,0,0,1,62,1,1,2,0,0,0,0,0,4,2
서울특별시 광진구 능동,636689457.6,"37.553729,127.082381",1,0,1,2,14,16,4,0,0,0,2,0,32,1,0,1,0,0,0,0,0,1,2
서울특별시 광진구 자양동,538479276.9,"37.534692,127.074327",7,4,2,11,219,156,41,2,7,0,2,3,195,2,9,9,1,1,0,0,1,41,11
서울특별시 광진구 중곡동,374122981.3,"37.561882,127.084745",4,2,3,3,141,134,42,1,4,0,0,0,116,0,5,10,0,0,0,0,1,12,3
서울특별시 광진구 화양동,522097368.4,"37.544427,127.070047",2,2,1,1,26,57,17,0,3,0,0,1,145,0,5,2,0,0,1,0,0,2,1
서울특별시 구로구 가리봉동,343083333.3,"37.482944,126.888062",1,0,0,0,6,10,6,0,0,0,0,0,15,0,0,0,0,0,0,0,0,4,0
서울특별시 구로구 개봉동,408289761.3,"37.494970,126.851409",4,3,0,6,149,97,31,0,1,0,2,1,90,4,4,3,0,0,0,0,0,30,6
서울특별시 구로구 고척동,447527654.4,"37.503560,126.855829",5,2,2,2,117,64,24,0,1,0,0,0,62,3,4,1,0,0,1,1,0,29,2
서울특별시 구로구 구로동,393051974.8,"37.492900,126.886427",7,4,3,10,209,230,86,2,9,0,1,2,291,2,8,5,1,3,0,0,2,62,10
서울특별시 구로구 궁동,277823222,"37.496870,126.831303",0,0,0,0,23,7,3,0,0,0,0,0,14,0,2,1,0,0,0,0,1,2,0
서울특별시 구로구 신도림동,884409375,"37.509454,126.880425",2,1,1,3,109,58,13,0,0,0,0,1,62,1,2,2,1,1,0,0,0,21,3
서울특별시 구로구 오류동,328072997.3,"37.494129,126.840746",3,1,1,6,64,55,17,1,4,0,0,0,57,2,0,1,0,0,1,0,0,23,6
서울특별시 구로구 온수동,374528365.4,"37.493507,126.820255",1,0,0,1,13,7,2,0,0,0,0,0,14,2,1,0,0,0,0,0,0,7,1
서울특별시 구로구 천왕동,594796141.7,"37.482016,126.841789",2,1,0,2,46,14,3,0,1,0,0,0,9,6,3,0,0,0,0,0,0,8,2
서울특별시 구로구 항동,524862365.6,"37.484059,126.822980",1,1,1,1,24,7,3,0,0,0,0,0,10,1,0,0,0,0,0,0,0,8,1
서울특별시 금천구 가산동,300309134.4,"37.477598,126.888291",0,0,0,1,37,75,23,0,2,0,0,1,240,0,3,3,0,0,5,0,1,10,0
서울특별시 금천구 독산동,394443366.2,"37.469371,126.901246",9,5,1,8,142,121,49,0,6,0,1,1,121,7,19,12,0,3,2,0,0,39,8
서울특별시 금천구 시흥동,356393288.9,"37.453325,126.906222",9,4,5,8,191,145,58,1,1,0,0,0,121,5,19,13,0,1,0,0,1,40,8
서울특별시 노원구 공릉동,439837760,"37.623601,127.077388",7,3,2,12,159,99,41,1,5,0,0,0,149,0,0,4,0,0,0,0,1,42,11
서울특별시 노원구 상계동,434750056.7,"37.667100,127.072189",17,9,6,21,491,384,101,2,5,0,1,4,233,0,0,11,1,0,1,0,2,83,21
서울특별시 노원구 월계동,492625378.3,"37.622192,127.058650",6,5,5,10,90,73,27,1,3,0,1,0,77,0,0,6,0,0,1,0,2,43,10
서울특별시 노원구 중계동,547037453.8,"37.646989,127.082411",9,6,9,9,609,139,44,0,4,0,2,2,126,0,0,7,1,2,0,0,3,55,9
서울특별시 노원구 하계동,534586180.4,"37.636890,127.073145",3,3,3,5,88,25,17,0,1,0,2,0,27,0,0,2,0,0,0,0,1,16,5
서울특별시 도봉구 도봉동,348956756,"37.678103,127.043249",3,2,2,3,42,37,16,0,1,0,0,0,60,11,7,5,0,0,0,0,1,25,3
서울특별시 도봉구 방학동,363545987.7,"37.666224,127.036650",5,3,1,6,138,93,29,0,4,1,1,0,86,8,10,6,0,1,0,0,1,33,6
서울특별시 도봉구 쌍문동,327009179.3,"37.652731,127.028710",6,5,4,7,186,79,32,1,4,0,0,0,95,7,4,6,0,0,0,0,0,38,7
서울특별시 도봉구 창동,437493529.2,"37.643440,127.039413",9,3,3,10,246,142,45,1,4,0,2,2,135,6,18,9,0,1,0,1,1,40,10
서울특별시 동대문구 답십리동,677917967.8,"37.569883,127.056757",3,1,0,4,97,92,27,0,0,1,0,0,44,3,4,0,0,0,0,0,0,32,4
서울특별시 동대문구 신설동,310885245.9,"37.575204,127.026023",0,0,0,0,15,13,5,0,0,0,0,0,24,0,1,1,0,0,0,0,0,0,0
서울특별시 동대문구 용두동,511992086.3,"37.576328,127.034621",1,0,0,1,23,44,22,1,1,0,0,0,38,2,3,0,0,1,0,0,0,8,1
서울특별시 동대문구 이문동,575937110.8,"37.598851,127.062465",1,1,1,3,67,51,22,0,3,0,0,0,58,0,1,0,0,0,1,0,0,20,3
서울특별시 동대문구 장안동,475294033.3,"37.570749,127.068233",4,2,1,6,202,129,49,0,4,1,2,2,117,3,11,0,0,1,0,0,1,23,6
서울특별시 동대문구 전농동,761939267.6,"37.579797,127.053848",4,3,2,4,101,66,28,0,2,0,1,1,76,2,3,0,1,1,0,0,0,15,4
서울특별시 동대문구 제기동,549307189.4,"37.584134,127.037960",2,2,1,2,35,91,76,0,4,0,1,0,36,1,1,0,0,0,0,0,1,6,2
서울특별시 동대문구 청량리동,706328491.4,"37.586643,127.044621",1,1,1,1,25,53,20,0,0,0,0,0,21,2,0,0,0,0,0,0,0,14,1
서울특별시 동대문구 회기동,601126373.6,"37.591447,127.051971",3,1,1,2,14,9,17,0,0,0,0,0,40,1,0,0,0,0,0,0,0,1,2
서울특별시 동대문구 휘경동,533888096.7,"37.589592,127.061228",2,3,3,3,52,32,19,0,1,0,0,0,42,1,5,0,0,0,0,0,0,18,3
서울특별시 동작구 노량진동,851197220.9,"37.510162,126.940418",1,0,0,4,183,37,24,0,1,0,0,0,92,2,0,2,0,0,0,0,0,11,4
서울특별시 동작구 대방동,688297627.1,"37.504791,126.927862",3,4,4,1,158,61,17,0,2,0,1,0,29,0,2,1,0,0,1,1,2,16,1
서울특별시 동작구 동작동,948855555.6,"37.496605,126.980985",0,0,0,0,5,0,0,0,1,0,0,0,9,1,1,0,0,0,0,0,0,4,0
서울특별시 동작구 본동,912142150.5,"37.511491,126.954336",2,0,0,2,17,6,4,0,0,0,0,0,8,2,1,0,0,0,0,0,1,11,2
서울특별시 동작구 사당동,754007840.8,"37.483974,126.974999",6,3,1,6,205,195,45,0,3,0,1,2,140,4,12,3,0,0,2,0,2,32,6
서울특별시 동작구 상도1동,487733027.5,"37.502889,126.950645",1,0,0,2,25,22,7,0,1,0,0,0,25,0,2,1,0,0,0,0,1,3,2
서울특별시 동작구 상도동,683865787.5,"37.499206,126.940385",3,4,0,5,190,154,51,1,3,0,0,0,128,7,9,2,0,0,0,0,0,34,6
서울특별시 동작구 신대방동,654430583.5,"37.492678,126.917721",2,2,1,3,89,64,25,0,0,0,0,0,75,1,3,1,0,0,0,0,0,15,3
서울특별시 동작구 흑석동,1267683931,"37.505964,126.962578",3,2,0,5,59,48,24,0,2,0,0,0,46,5,1,0,0,0,0,0,0,11,5
서울특별시 마포구 공덕동,766454226.3,"37.548828,126.959006",1,0,0,1,45,59,17,0,1,0,0,0,45,2,2,1,0,0,0,2,0,15,1
서울특별시 마포구 구수동,328831818.2,"37.545679,126.932695",0,0,0,0,14,8,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
서울특별시 마포구 노고산동,1007417071,"37.554402,126.938556",1,1,0,1,41,61,11,0,1,0,0,0,32,2,0,1,0,0,0,0,0,1,1
서울특별시 마포구 당인동,343428571.4,"37.546250,126.920245",0,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0
서울특별시 마포구 대흥동,870012288.1,"37.551055,126.943731",1,1,1,2,95,42,14,0,1,0,0,0,33,3,1,0,0,0,0,0,0,8,2
서울특별시 마포구 도화동,776887800.4,"37.539966,126.950000",1,0,0,3,61,87,22,0,1,0,1,0,69,0,3,2,0,0,0,0,0,12,3
서울특별시 마포구 동교동,512971831,"37.557650,126.925663",0,0,0,0,54,76,13,0,2,0,0,4,113,0,2,0,0,0,2,0,0,2,0
서울특별시 마포구 마포동,625087837.8,"37.537003,126.945323",0,0,0,0,1,1,1,0,0,0,0,0,7,0,1,0,0,0,0,0,0,2,0
서울특별시 마포구 망원동,415717345.1,"37.556620,126.903976",2,0,0,1,82,66,21,0,5,0,0,0,106,0,5,2,0,0,0,1,0,10,1
서울특별시 마포구 상수동,775015217.4,"37.547431,126.922946",1,0,0,0,13,7,4,0,0,0,0,0,75,2,1,0,0,0,0,0,0,4,0
서울특별시 마포구 상암동,747091743.1,"37.577131,126.893488",3,1,1,5,103,59,16,0,2,0,0,0,107,9,8,1,0,0,0,0,0,20,5
서울특별시 마포구 서교동,972201935.5,"37.553910,126.918985",1,0,0,1,144,65,17,0,2,0,0,1,317,1,3,1,0,1,0,2,0,3,1
서울특별시 마포구 성산동,494910599.2,"37.563317,126.910870",4,3,1,4,105,29,12,1,1,0,1,1,88,2,8,4,0,1,0,1,1,15,4
서울특별시 마포구 신공덕동,934689632.1,"37.544374,126.956854",0,0,0,1,19,16,7,0,0,0,0,0,12,1,0,1,0,1,0,0,1,10,0
서울특별시 마포구 신수동,880025358.9,"37.547351,126.937074",1,2,1,1,34,13,5,0,1,0,0,0,44,1,1,0,0,0,0,1,0,11,1
서울특별시 마포구 신정동,1040500000,"37.544210,126.930866",0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
서울특별시 마포구 아현동,1059267187,"37.555483,126.955998",2,1,2,1,62,54,16,1,1,0,2,0,29,3,3,2,0,0,0,0,0,13,1
서울특별시 마포구 연남동,767355825.2,"37.562962,126.921783",0,0,0,2,18,11,2,0,0,0,0,0,162,0,2,0,0,0,0,1,0,5,0
서울특별시 마포구 염리동,1224230172,"37.551546,126.947279",2,2,2,2,73,22,6,0,1,0,0,0,28,0,0,0,0,0,0,0,0,10,2
서울특별시 마포구 용강동,835240740.7,"37.541967,126.940414",0,0,0,0,18,5,2,0,0,0,1,0,18,2,1,1,0,0,0,0,0,4,0
서울특별시 마포구 중동,630105288.5,"37.570400,126.907656",1,1,0,0,29,14,5,0,0,0,0,0,6,0,4,0,0,0,0,0,0,9,0
서울특별시 마포구 창전동,951364280.3,"37.550966,126.929835",0,0,0,0,67,13,3,0,2,0,0,0,19,2,2,1,0,0,0,0,0,8,0
서울특별시 마포구 토정동,956379310.3,"37.540350,126.940474",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
서울특별시 마포구 하중동,1901541667,"37.545750,126.928674",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
서울특별시 마포구 합정동,414969572.4,"37.549046,126.911558",1,1,0,1,33,33,10,0,1,0,0,0,112,2,1,0,0,0,0,1,0,4,1
서울특별시 마포구 현석동,1150094444,"37.543840,126.933903",0,0,0,0,12,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,5,0
서울특별시 서대문구 남가좌동,766735937.5,"37.577538,126.922311",2,1,0,4,84,67,23,0,1,0,1,0,66,2,8,2,0,0,0,2,1,13,4
서울특별시 서대문구 냉천동,962195652.2,"37.567257,126.963890",0,0,0,0,16,6,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0
서울특별시 서대문구 대신동,357500000,"37.566438,126.945199",1,1,1,0,4,1,4,0,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0
서울특별시 서대문구 대현동,401219144.4,"37.558086,126.944504",1,0,0,2,20,13,6,0,0,0,0,1,102,1,0,0,0,0,0,0,0,2,2
서울특별시 서대문구 미근동,822500000,"37.563162,126.967026",0,0,0,0,0,2,2,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0
서울특별시 서대문구 봉원동,505000000,"37.569952,126.947063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울특별시 서대문구 북가좌동,544091778.5,"37.580344,126.912261",1,1,1,3,136,56,19,1,1,0,1,0,58,1,6,3,0,0,0,1,0,23,3
서울특별시 서대문구 북아현동,1116816521,"37.561666,126.956170",2,2,2,1,43,22,10,0,0,0,0,0,27,2,4,1,0,0,0,0,1,11,1
서울특별시 서대문구 신촌동,723800000,"37.568134,126.946792",0,0,0,0,0,1,1,0,0,0,0,3,28,0,0,0,0,0,0,0,0,1,0
서울특별시 서대문구 연희동,459913753.8,"37.570389,126.929628",1,3,0,1,68,36,14,1,2,0,0,1,132,1,8,2,0,0,0,1,0,11,1
서울특별시 서대문구 영천동,906392156.9,"37.570759,126.960460",0,0,0,0,9,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
서울특별시 서대문구 옥천동,461100000,"37.569686,126.960890",0,0,0,0,2,6,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
서울특별시 서대문구 창천동,641737058.8,"37.558584,126.934113",1,0,0,1,53,46,18,0,4,0,0,7,108,2,1,0,1,0,0,0,0,1,1
서울특별시 서대문구 천연동,625561224.5,"37.568285,126.960571",1,1,0,1,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1
서울특별시 서대문구 충정로2가,346833333.3,"37.565192,126.964529",1,1,1,0,4,13,3,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0
서울특별시 서대문구 충정로3가,779227191,"37.562611,126.961351",0,0,0,0,1,8,1,0,0,0,0,0,29,0,0,1,0,0,0,0,0,1,0
서울특별시 서대문구 합동,621854166.7,"37.561567,126.966566",0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
서울특별시 서대문구 현저동,779542857.1,"37.576486,126.954220",0,0,0,0,15,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,7,0
서울특별시 서대문구 홍은동,419292021,"37.591560,126.938775",3,3,1,3,117,30,15,0,1,0,0,0,61,3,6,3,0,0,0,0,1,21,3
서울특별시 서대문구 홍제동,536772409.2,"37.588734,126.946107",4,1,0,6,142,101,31,0,3,0,1,0,57,6,4,3,0,0,0,1,0,28,5
서울특별시 서초구 내곡동,1359068523,"37.456881,127.074171",1,0,0,1,19,13,4,0,0,0,0,0,14,0,4,0,0,0,0,0,0,10,1
서울특별시 서초구 반포동,2130358888,"37.502816,127.010493",5,5,3,3,458,168,38,0,7,0,3,1,197,3,10,1,1,0,0,0,0,21,3
서울특별시 서초구 방배동,1227765275,"37.484677,126.989955",5,3,4,4,387,216,38,1,10,0,1,0,281,4,13,1,0,2,0,0,1,31,4
서울특별시 서초구 서초동,1022659080,"37.488514,127.016222",6,3,3,6,532,591,94,2,16,0,2,1,436,1,14,2,0,1,0,0,0,33,6
서울특별시 서초구 신원동,1326024272,"37.447112,127.058841",0,0,0,1,10,6,1,0,2,0,1,0,19,0,4,1,0,0,0,0,0,7,0
서울특별시 서초구 양재동,640508812,"37.474839,127.041717",2,1,1,3,101,86,23,0,5,0,1,0,201,10,15,1,0,2,0,0,1,7,3
서울특별시 서초구 염곡동,726606896.6,"37.462035,127.052837",0,0,0,0,1,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,4,0
서울특별시 서초구 우면동,902536939.3,"37.466629,127.021892",3,1,0,5,69,27,6,0,1,0,0,0,53,7,8,0,0,0,0,0,2,22,5
서울특별시 서초구 원지동,288257142.9,"37.446848,127.053774",0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,2,0
서울특별시 서초구 잠원동,788659022.6,"37.513667,127.016166",2,2,0,2,288,160,22,0,1,0,2,1,78,4,10,1,1,1,0,0,1,41,2
서울특별시 성동구 금호동1가,543468401.9,"37.554697,127.023412",1,0,1,1,43,16,6,0,2,0,1,0,16,1,0,2,0,0,0,0,0,7,1
서울특별시 성동구 금호동2가,709223528.4,"37.552482,127.020133",1,0,0,1,19,11,4,0,0,0,0,0,11,1,1,1,0,0,0,0,0,7,1
서울특별시 성동구 금호동3가,535806073.4,"37.549504,127.021812",0,0,0,1,14,21,10,0,1,0,0,0,13,3,0,0,0,0,0,1,0,19,0
서울특별시 성동구 금호동4가,695213849.3,"37.547468,127.020060",2,0,0,2,26,27,8,0,2,0,0,0,15,0,1,2,0,0,0,0,0,0,2
서울특별시 성동구 도선동,454532869.6,"37.563897,127.033258",0,0,0,0,10,29,5,0,2,0,0,0,11,0,0,0,0,0,0,0,0,2,0
서울특별시 성동구 마장동,477029588,"37.567305,127.039084",2,2,0,4,25,21,8,0,1,0,0,0,16,0,4,1,0,0,0,1,1,15,4
