address,도서관,(종합)사회복지관
경기도 가평군 가평읍 읍내리,1,0
경기도 가평군 설악면 신천리,1,0
경기도 가평군 조종면 현리,1,0
경기도 가평군 청평면 청평리,1,0
경기도 고양시 덕양구 고양동,3,0
경기도 고양시 덕양구 관산동,1,0
경기도 고양시 덕양구 내유동,1,0
경기도 고양시 덕양구 덕은동,1,0
경기도 고양시 덕양구 도내동,0,1
경기도 고양시 덕양구 동산동,1,0
경기도 고양시 덕양구 삼송동,2,0
경기도 고양시 덕양구 성사동,1,1
경기도 고양시 덕양구 신원동,1,0
경기도 고양시 덕양구 주교동,1,0
경기도 고양시 덕양구 행신동,4,1
경기도 고양시 덕양구 화전동,1,0
경기도 고양시 덕양구 화정동,2,0
경기도 고양시 일산동구 마두동,3,1
경기도 고양시 일산동구 백석동,1,0
경기도 고양시 일산동구 사리현동,1,0
경기도 고양시 일산동구 식사동,1,0
경기도 고양시 일산동구 장항동,1,0
경기도 고양시 일산동구 중산동,1,0
경기도 고양시 일산동구 풍동,1,0
경기도 고양시 일산서구 가좌동,1,0
경기도 고양시 일산서구 대화동,2,0
경기도 고양시 일산서구 덕이동,1,0
경기도 고양시 일산서구 일산동,2,1
경기도 고양시 일산서구 주엽동,1,2
경기도 고양시 일산서구 탄현동,1,0
경기도 과천시 갈현동,1,0
경기도 과천시 문원동,1,0
경기도 과천시 별양동,0,1
경기도 광명시 광명동,1,1
경기도 광명시 소하2동,1,0
경기도 광명시 소하동,1,0
경기도 광명시 철산동,2,1
경기도 광명시 하안동,1,1
경기도 광주시 경안동,1,0
경기도 광주시 곤지암읍 곤지암리,1,0
경기도 광주시 남한산성면 산성리,1,0
경기도 광주시 도척면 노곡리,1,0
경기도 광주시 오포읍 고산리,1,0
경기도 광주시 오포읍 능평리,1,0
경기도 광주시 오포읍 신현리,1,0
경기도 광주시 오포읍 양벌리,1,0
경기도 광주시 초월읍 대쌍령리,1,0
경기도 광주시 태전동,1,0
경기도 광주시 퇴촌면 광동리,1,0
경기도 구리시 갈매동,1,1
경기도 구리시 교문동,2,0
경기도 구리시 수택동,2,0
경기도 구리시 인창동,2,0
경기도 구리시 토평동,1,1
경기도 군포시 금정동,6,0
경기도 군포시 당동,12,0
경기도 군포시 당정동,3,0
경기도 군포시 도마교동,4,0
경기도 군포시 부곡동,8,0
경기도 군포시 산본동,6,0
경기도 군포시 속달동,1,0
경기도 김포시 고촌읍 신곡리,1,0
경기도 김포시 북변동,1,0
경기도 김포시 사우동,0,1
경기도 김포시 양촌읍 양곡리,1,0
경기도 김포시 장기동,1,0
경기도 김포시 통진읍 서암리,1,0
경기도 김포시 풍무동,1,0
경기도 남양주시 다산동,1,0
경기도 남양주시 별내동,1,0
경기도 남양주시 별내면 청학리,1,0
경기도 남양주시 오남읍 양지리,1,0
경기도 남양주시 와부읍 덕소리,1,1
경기도 남양주시 진건읍 사능리,1,0
경기도 남양주시 진건읍 용정리,0,1
경기도 남양주시 진접읍 금곡리,1,0
경기도 남양주시 진접읍 부평리,0,1
경기도 남양주시 진접읍 장현리,1,0
경기도 남양주시 퇴계원읍 퇴계원리,1,0
경기도 남양주시 평내동,1,0
경기도 남양주시 호평동,1,0
경기도 남양주시 화도읍 마석우리,0,1
경기도 남양주시 화도읍 창현리,1,0
경기도 동두천시 상패동,2,0
경기도 동두천시 생연동,2,0
경기도 동두천시 지행동,1,0
경기도 부천시 고강동,2,1
경기도 부천시 괴안동,1,0
경기도 부천시 대장동,0,1
경기도 부천시 도당동,2,0
경기도 부천시 범박동,1,0
경기도 부천시 삼정동,2,1
경기도 부천시 상동,5,1
경기도 부천시 소사동,1,0
경기도 부천시 소사본동,3,1
경기도 부천시 송내동,1,0
경기도 부천시 심곡동,2,0
경기도 부천시 심곡본동,2,1
경기도 부천시 약대동,1,0
경기도 부천시 역곡동,1,0
경기도 부천시 오정동,3,0
경기도 부천시 원미동,1,1
경기도 부천시 작동,1,0
경기도 부천시 중동,7,2
경기도 부천시 춘의동,0,1
경기도 성남시 분당구 구미동,4,0
경기도 성남시 분당구 금곡동,0,2
경기도 성남시 분당구 백현동,2,0
경기도 성남시 분당구 서현동,2,0
경기도 성남시 분당구 수내동,1,0
경기도 성남시 분당구 야탑동,3,1
경기도 성남시 분당구 운중동,1,0
경기도 성남시 분당구 정자동,4,1
경기도 성남시 분당구 판교동,1,1
경기도 성남시 수정구 단대동,1,0
경기도 성남시 수정구 복정동,2,0
경기도 성남시 수정구 산성동,1,1
경기도 성남시 수정구 수진동,2,0
경기도 성남시 수정구 시흥동,1,0
경기도 성남시 수정구 신흥동,3,0
경기도 성남시 수정구 양지동,2,0
경기도 성남시 수정구 창곡동,1,2
경기도 성남시 수정구 태평동,3,0
경기도 성남시 중원구 금광동,2,1
경기도 성남시 중원구 도촌동,1,1
경기도 성남시 중원구 상대원동,2,0
경기도 성남시 중원구 성남동,2,0
경기도 성남시 중원구 은행동,1,0
경기도 성남시 중원구 중앙동,2,0
경기도 성남시 중원구 하대원동,1,0
경기도 수원시 권선구 고색동,1,0
경기도 수원시 권선구 권선동,3,0
경기도 수원시 권선구 세류동,1,0
경기도 수원시 권선구 탑동,1,0
경기도 수원시 권선구 호매실동,1,0
경기도 수원시 영통구 망포동,2,0
경기도 수원시 영통구 매탄동,2,0
경기도 수원시 영통구 영통동,2,0
경기도 수원시 영통구 이의동,2,0
경기도 수원시 영통구 하동,1,0
경기도 수원시 장안구 송죽동,1,0
경기도 수원시 장안구 연무동,0,2
경기도 수원시 장안구 정자동,1,0
경기도 수원시 장안구 조원동,2,0
경기도 수원시 장안구 천천동,1,0
경기도 수원시 팔달구 교동,1,0
경기도 수원시 팔달구 신풍동,1,0
경기도 수원시 팔달구 우만동,1,1
경기도 수원시 팔달구 인계동,1,0
경기도 수원시 팔달구 화서동,1,0
경기도 시흥시 거모동,1,0
경기도 시흥시 계수동,0,1
경기도 시흥시 과림동,1,0
경기도 시흥시 능곡동,2,1
경기도 시흥시 대야동,3,0
경기도 시흥시 매화동,1,0
경기도 시흥시 목감동,1,0
경기도 시흥시 미산동,1,0
경기도 시흥시 배곧동,1,0
경기도 시흥시 산현동,0,1
경기도 시흥시 신천동,2,1
경기도 시흥시 월곶동,1,1
경기도 시흥시 은행동,2,0
경기도 시흥시 장곡동,1,0
경기도 시흥시 장현동,1,0
경기도 시흥시 정왕동,9,2
경기도 시흥시 포동,1,0
경기도 안산시 단원구 고잔동,4,0
경기도 안산시 단원구 대부북동,1,0
경기도 안산시 단원구 선부동,4,1
경기도 안산시 단원구 신길동,2,0
경기도 안산시 단원구 와동,2,1
경기도 안산시 단원구 원곡동,3,0
경기도 안산시 단원구 초지동,1,1
경기도 안산시 상록구 건건동,1,0
경기도 안산시 상록구 본오동,3,1
경기도 안산시 상록구 부곡동,1,1
경기도 안산시 상록구 사동,4,0
경기도 안산시 상록구 성포동,1,0
경기도 안산시 상록구 수암동,1,0
경기도 안산시 상록구 일동,2,0
경기도 안성시 공도읍 마정리,1,0
경기도 안성시 공도읍 만정리,2,0
경기도 안성시 공도읍 양기리,1,0
경기도 안성시 공도읍 용두리,2,0
경기도 안성시 공도읍 진사리,1,0
경기도 안성시 금산동,1,0
경기도 안성시 보개면 양복리,1,0
경기도 안성시 삼죽면 내강리,1,0
경기도 안성시 일죽면 송천리,1,0
경기도 안성시 죽산면 죽산리,1,0
경기도 안성시 현수동,0,1
경기도 안양시 동안구 관양동,2,0
경기도 안양시 동안구 비산동,1,2
경기도 안양시 동안구 평촌동,1,0
경기도 안양시 동안구 호계동,2,3
경기도 안양시 만안구 박달동,1,0
경기도 안양시 만안구 석수동,1,0
경기도 안양시 만안구 안양동,2,2
경기도 양주시 광사동,1,0
경기도 양주시 광적면 가납리,1,0
경기도 양주시 남면 신산리,1,0
경기도 양주시 덕계동,1,0
경기도 양주시 덕정동,1,0
경기도 양주시 백석읍 오산리,1,0
경기도 양주시 삼숭동,1,0
경기도 양주시 옥정동,1,1
경기도 양주시 장흥면 교현리,1,0
경기도 양평군 강상면 송학리,1,0
경기도 양평군 강하면 운심리,1,0
경기도 양평군 개군면 부리,1,0
경기도 양평군 단월면 보룡리,1,0
경기도 양평군 서종면 문호리,1,0
경기도 양평군 양동면 쌍학리,1,0
경기도 양평군 양서면 용담리,2,0
경기도 양평군 양평읍 양근리,1,0
경기도 양평군 옥천면 옥천리,1,0
경기도 양평군 용문면 다문리,1,1
경기도 양평군 지평면 지평리,1,0
경기도 양평군 청운면 용두리,1,0
경기도 여주시 대신면 율촌리,1,0
경기도 여주시 북내면 신접리,1,0
경기도 여주시 산북면 상품리,1,0
경기도 여주시 점동면 청안리,1,0
경기도 여주시 천송동,1,0
경기도 여주시 하동,1,0
경기도 여주시 흥천면 계신리,1,0
경기도 연천군 연천읍 차탄리,1,0
경기도 연천군 전곡읍 전곡리,1,0
경기도 오산시 금암동,0,1
경기도 오산시 누읍동,1,0
경기도 오산시 세교동,1,0
경기도 오산시 양산동,1,0
경기도 오산시 오산동,1,1
경기도 오산시 원동,2,1
경기도 오산시 청학동,1,0
경기도 용인시 기흥구 공세동,1,0
경기도 용인시 기흥구 구갈동,6,0
경기도 용인시 기흥구 동백동,10,0
경기도 용인시 기흥구 마북동,5,0
경기도 용인시 기흥구 보라동,2,0
경기도 용인시 기흥구 보정동,2,0
경기도 용인시 기흥구 상갈동,4,0
경기도 용인시 기흥구 상하동,2,0
경기도 용인시 기흥구 서천동,6,0
경기도 용인시 기흥구 신갈동,4,0
경기도 용인시 기흥구 언남동,3,0
경기도 용인시 기흥구 영덕동,11,0
경기도 용인시 기흥구 중동,10,0
경기도 용인시 기흥구 청덕동,5,0
경기도 용인시 기흥구 하갈동,1,0
경기도 용인시 수지구 고기동,1,0
경기도 용인시 수지구 동천동,4,0
경기도 용인시 수지구 상현동,11,0
경기도 용인시 수지구 성복동,1,0
경기도 용인시 수지구 신봉동,4,0
경기도 용인시 수지구 죽전동,5,0
경기도 용인시 수지구 풍덕천동,9,0
경기도 용인시 처인구 고림동,3,0
경기도 용인시 처인구 김량장동,1,0
경기도 용인시 처인구 남사읍 봉무리,1,0
경기도 용인시 처인구 남사읍 아곡리,1,0
경기도 용인시 처인구 남사읍 완장리,1,0
경기도 용인시 처인구 마평동,1,0
경기도 용인시 처인구 모현면 왕산리,1,0
경기도 용인시 처인구 모현읍 일산리,1,0
경기도 용인시 처인구 백암면 백암리,1,0
경기도 용인시 처인구 삼가동,1,0
경기도 용인시 처인구 양지면 양지리,1,0
경기도 용인시 처인구 양지면 평창리,1,0
경기도 용인시 처인구 역북동,4,0
경기도 용인시 처인구 원삼면 고당리,1,0
경기도 용인시 처인구 유방동,1,0
경기도 용인시 처인구 이동읍 송전리,1,0
경기도 용인시 처인구 이동읍 천리,2,1
경기도 용인시 처인구 포곡읍 둔전리,1,0
경기도 용인시 처인구 포곡읍 삼계리,1,0
경기도 용인시 처인구 포곡읍 전대리,1,0
경기도 의왕시 고천동,1,0
경기도 의왕시 내손동,1,0
경기도 의왕시 오전동,1,0
경기도 의왕시 학의동,0,1
경기도 의정부시 가능동,3,0
경기도 의정부시 금오동,1,0
경기도 의정부시 녹양동,2,0
경기도 의정부시 민락동,2,0
경기도 의정부시 신곡동,3,0
경기도 의정부시 용현동,1,0
경기도 의정부시 의정부동,5,0
경기도 의정부시 장암동,1,1
경기도 의정부시 호원동,2,0
경기도 이천시 마장면 오천리,1,0
경기도 이천시 부발읍 신하리,1,0
경기도 이천시 장호원읍 장호원리,1,0
경기도 이천시 중리동,1,0
경기도 이천시 창전동,1,0
경기도 파주시 금촌동,2,0
경기도 파주시 다율동,1,0
경기도 파주시 동패동,2,0
경기도 파주시 목동동,1,0
경기도 파주시 문산읍 문산리,1,0
경기도 파주시 문산읍 선유리,1,2
경기도 파주시 법원읍 법원리,1,0
경기도 파주시 아동동,1,0
경기도 파주시 야당동,1,0
경기도 파주시 와동동,1,0
경기도 파주시 월롱면 위전리,1,0
경기도 파주시 적성면 마지리,1,0
경기도 파주시 조리읍 봉일천리,1,0
경기도 파주시 탄현면 축현리,1,0
경기도 파주시 파주읍 파주리,1,0
경기도 파주시 파평면 금파리,1,0
경기도 평택시 비전동,2,0
경기도 평택시 서정동,1,0
경기도 평택시 세교동,1,0
경기도 평택시 안중읍 학현리,1,0
경기도 평택시 오성면 숙성리,1,0
경기도 평택시 이충동,0,1
경기도 평택시 장당동,1,0
경기도 평택시 죽백동,1,0
경기도 평택시 지산동,1,0
경기도 평택시 진위면 견산리,1,0
경기도 평택시 청북읍 옥길리,1,0
경기도 평택시 칠원동,1,0
경기도 평택시 팽성읍 안정리,1,0
경기도 평택시 포승읍 도곡리,1,0
경기도 평택시 합정동,0,1
경기도 포천시 가산면 마산리,1,0
경기도 포천시 군내면 하성북리,0,1
경기도 포천시 소흘읍 송우리,1,0
경기도 포천시 신북면 가채리,1,0
경기도 포천시 영북면 운천리,1,0
경기도 포천시 영중면 양문리,1,0
경기도 포천시 일동면 기산리,1,0
경기도 하남시 덕풍동,2,0
경기도 하남시 망월동,2,1
경기도 하남시 신장동,0,1
경기도 하남시 풍산동,1,0
경기도 화성시 기산동,0,1
경기도 화성시 남양읍 남양리,1,0
경기도 화성시 능동,1,0
경기도 화성시 마도면 석교리,1,0
경기도 화성시 매송면 천천리,1,0
경기도 화성시 목동,1,0
경기도 화성시 반송동,1,0
경기도 화성시 병점동,1,0
경기도 화성시 봉담읍 상리,1,0
경기도 화성시 비봉면 양노리,1,0
경기도 화성시 새솔동,1,0
경기도 화성시 송산면 사강리,1,1
경기도 화성시 안녕동,1,0
경기도 화성시 양감면 신왕리,2,0
경기도 화성시 영천동,1,0
경기도 화성시 우정읍 조암리,1,0
경기도 화성시 우정읍 화산리,1,0
경기도 화성시 정남면 발산리,1,0
경기도 화성시 중동,0,1
경기도 화성시 진안동,1,0
경기도 화성시 청계동,1,0
경기도 화성시 팔탄면 구장리,1,0
경기도 화성시 향남읍 도이리,1,0
경기도 화성시 향남읍 행정리,1,1
서울특별시 강남구 개포동,2,2
서울특별시 강남구 논현동,2,0
서울특별시 강남구 대치동,4,0
서울특별시 강남구 도곡동,2,0
서울특별시 강남구 삼성동,2,0
서울특별시 강남구 세곡동,1,0
서울특별시 강남구 수서동,1,3
서울특별시 강남구 신사동,1,0
서울특별시 강남구 압구정동,1,0
서울특별시 강남구 역삼동,3,0
서울특별시 강남구 율현동,1,0
서울특별시 강남구 일원동,3,1
서울특별시 강남구 자곡동,2,0
서울특별시 강남구 청담동,2,0
서울특별시 강동구 강일동,1,0
서울특별시 강동구 고덕동,1,0
서울특별시 강동구 길동,1,0
서울특별시 강동구 둔촌동,1,0
서울특별시 강동구 성내동,1,1
서울특별시 강동구 암사동,1,0
서울특별시 강동구 천호동,2,1
서울특별시 강북구 미아동,5,1
서울특별시 강북구 번동,1,3
서울특별시 강북구 수유동,1,0
서울특별시 강서구 가양동,5,3
서울특별시 강서구 공항동,1,0
서울특별시 강서구 내발산동,3,0
서울특별시 강서구 등촌동,5,4
서울특별시 강서구 마곡동,1,0
서울특별시 강서구 방화동,5,3
서울특별시 강서구 염창동,3,0
서울특별시 강서구 화곡동,13,0
서울특별시 관악구 남현동,1,0
서울특별시 관악구 봉천동,21,3
서울특별시 관악구 신림동,18,2
서울특별시 광진구 광장동,4,1
서울특별시 광진구 구의동,9,0
서울특별시 광진구 군자동,2,0
서울특별시 광진구 능동,1,0
서울특별시 광진구 자양동,9,1
서울특별시 광진구 중곡동,10,1
서울특별시 광진구 화양동,2,0
서울특별시 구로구 개봉동,3,0
서울특별시 구로구 고척동,1,0
서울특별시 구로구 구로동,5,2
서울특별시 구로구 궁동,1,1
서울특별시 구로구 신도림동,2,0
서울특별시 구로구 오류동,1,0
서울특별시 금천구 가산동,3,1
서울특별시 금천구 독산동,12,0
서울특별시 금천구 시흥동,13,1
서울특별시 노원구 공릉동,4,1
서울특별시 노원구 상계동,11,2
서울특별시 노원구 월계동,6,2
서울특별시 노원구 중계동,7,3
서울특별시 노원구 하계동,2,1
서울특별시 도봉구 도봉동,5,1
서울특별시 도봉구 방학동,6,1
서울특별시 도봉구 쌍문동,6,0
서울특별시 도봉구 창동,9,1
서울특별시 동대문구 신설동,1,0
서울특별시 동대문구 장안동,0,1
서울특별시 동대문구 제기동,0,1
서울특별시 동작구 노량진동,2,0
서울특별시 동작구 대방동,1,2
서울특별시 동작구 본동,0,1
서울특별시 동작구 사당동,3,2
서울특별시 동작구 상도1동,1,1
서울특별시 동작구 상도동,2,0
서울특별시 동작구 신대방동,1,0
서울특별시 마포구 공덕동,1,0
서울특별시 마포구 노고산동,1,0
서울특별시 마포구 도화동,2,0
서울특별시 마포구 망원동,2,0
서울특별시 마포구 상암동,1,0
서울특별시 마포구 서교동,1,0
서울특별시 마포구 성산동,4,1
서울특별시 마포구 신공덕동,1,1
서울특별시 마포구 아현동,2,0
서울특별시 마포구 용강동,1,0
서울특별시 마포구 창전동,1,0
서울특별시 서대문구 남가좌동,2,1
서울특별시 서대문구 북가좌동,3,0
서울특별시 서대문구 북아현동,1,1
서울특별시 서대문구 연희동,2,0
서울특별시 서대문구 옥천동,1,0
서울특별시 서대문구 충정로3가,1,0
서울특별시 서대문구 현저동,1,0
서울특별시 서대문구 홍은동,3,1
서울특별시 서대문구 홍제동,3,0
서울특별시 서초구 반포동,1,0
서울특별시 서초구 방배동,1,1
서울특별시 서초구 서초동,2,0
서울특별시 서초구 신원동,1,0
서울특별시 서초구 양재동,1,1
서울특별시 서초구 우면동,0,2
서울특별시 서초구 잠원동,1,1
서울특별시 성동구 금호동1가,2,0
서울특별시 성동구 금호동2가,1,0
서울특별시 성동구 금호동4가,2,0
서울특별시 성동구 마장동,1,1
서울특별시 성동구 사근동,1,0
서울특별시 성동구 상왕십리동,1,0
서울특별시 성동구 성수동1가,3,1
서울특별시 성동구 성수동2가,2,0
서울특별시 성동구 송정동,1,0
서울특별시 성동구 옥수동,1,1
서울특별시 성동구 용답동,2,0
서울특별시 성동구 응봉동,1,0
서울특별시 성동구 하왕십리동,1,0
서울특별시 성동구 행당동,3,0
서울특별시 성북구 길음동,2,1
서울특별시 성북구 돈암동,3,0
서울특별시 성북구 삼선동5가,1,0
서울특별시 성북구 상월곡동,1,0
서울특별시 성북구 석관동,1,1
서울특별시 성북구 장위동,1,0
서울특별시 성북구 정릉동,3,1
서울특별시 성북구 종암동,1,0
서울특별시 성북구 하월곡동,2,2
서울특별시 송파구 가락동,0,1
서울특별시 송파구 거여동,1,1
서울특별시 송파구 마천동,1,1
서울특별시 송파구 삼전동,0,1
서울특별시 송파구 석촌동,1,0
서울특별시 송파구 송파동,1,0
서울특별시 송파구 신천동,1,0
서울특별시 송파구 오금동,1,0
서울특별시 송파구 잠실동,3,1
서울특별시 송파구 장지동,2,0
서울특별시 송파구 풍납동,1,1
서울특별시 양천구 목동,6,1
서울특별시 양천구 신월동,9,2
서울특별시 양천구 신정동,10,2
서울특별시 영등포구 당산동,1,0
서울특별시 영등포구 당산동1가,1,0
서울특별시 영등포구 당산동3가,1,0
서울특별시 영등포구 당산동6가,1,0
서울특별시 영등포구 대림동,4,0
서울특별시 영등포구 도림동,1,0
서울특별시 영등포구 문래동3가,1,0
서울특별시 영등포구 문래동4가,1,0
서울특별시 영등포구 문래동6가,1,0
서울특별시 영등포구 신길동,7,2
서울특별시 영등포구 양평동1가,1,0
서울특별시 영등포구 양평동3가,1,0
서울특별시 영등포구 양평동4가,1,0
서울특별시 영등포구 여의도동,2,0
서울특별시 영등포구 영등포동,1,0
서울특별시 영등포구 영등포동7가,1,0
서울특별시 용산구 갈월동,1,1
서울특별시 용산구 도원동,1,0
서울특별시 용산구 보광동,1,0
서울특별시 용산구 산천동,1,0
서울특별시 용산구 서계동,1,0
서울특별시 용산구 서빙고동,1,0
서울특별시 용산구 용산동2가,2,0
서울특별시 용산구 원효로1가,1,0
서울특별시 용산구 이촌동,1,0
서울특별시 용산구 이태원동,2,0
서울특별시 용산구 청파동2가,1,0
서울특별시 용산구 한강로2가,1,0
서울특별시 용산구 한남동,1,0
서울특별시 용산구 효창동,1,1
서울특별시 용산구 후암동,3,0
서울특별시 은평구 갈현동,3,0
서울특별시 은평구 구산동,2,0
서울특별시 은평구 녹번동,5,1
서울특별시 은평구 대조동,4,0
서울특별시 은평구 불광동,8,0
서울특별시 은평구 수색동,2,1
서울특별시 은평구 신사동,2,1
서울특별시 은평구 역촌동,9,0
서울특별시 은평구 응암동,11,0
서울특별시 은평구 증산동,5,0
서울특별시 은평구 진관동,31,0
서울특별시 종로구 궁정동,1,0
서울특별시 종로구 명륜3가,1,0
서울특별시 종로구 무악동,1,0
서울특별시 종로구 사직동,2,0
서울특별시 종로구 삼청동,1,0
서울특별시 종로구 숭인동,3,0
서울특별시 종로구 이화동,1,0
서울특별시 종로구 익선동,1,0
서울특별시 종로구 창신동,1,1
서울특별시 종로구 청운동,1,0
서울특별시 종로구 통인동,1,0
서울특별시 종로구 평창동,1,0
서울특별시 종로구 행촌동,1,0
서울특별시 종로구 혜화동,1,0
서울특별시 종로구 화동,1,0
서울특별시 종로구 효제동,1,0
서울특별시 중구 광희동1가,1,0
서울특별시 중구 만리동2가,1,0
서울특별시 중구 신당동,10,2
서울특별시 중구 예관동,1,0
서울특별시 중구 중림동,0,1
서울특별시 중구 필동2가,1,0
서울특별시 중구 황학동,1,0
서울특별시 중구 회현동1가,1,0
서울특별시 중랑구 망우동,2,0
서울특별시 중랑구 면목동,1,1
서울특별시 중랑구 묵동,1,0
서울특별시 중랑구 상봉동,1,1
서울특별시 중랑구 신내동,0,2
서울특별시 중랑구 중화동,1,0
인천광역시 강화군 강화읍 관청리,1,0
인천광역시 강화군 내가면 고천리,1,0
인천광역시 계양구 계산동,1,0
인천광역시 계양구 동양동,1,0
인천광역시 계양구 서운동,1,1
인천광역시 계양구 임학동,1,0
인천광역시 계양구 작전동,1,0
인천광역시 계양구 효성동,1,0
인천광역시 남동구 간석동,1,1
인천광역시 남동구 구월동,2,0
인천광역시 남동구 논현동,2,1
인천광역시 남동구 만수동,1,2
인천광역시 남동구 서창동,1,0
인천광역시 동구 송림동,1,1
인천광역시 동구 창영동,0,1
인천광역시 동구 화수동,1,0
인천광역시 미추홀구 관교동,1,0
인천광역시 미추홀구 도화동,2,0
인천광역시 미추홀구 숭의동,3,1
인천광역시 미추홀구 용현동,2,0
인천광역시 미추홀구 주안동,5,1
인천광역시 미추홀구 학익동,1,1
인천광역시 부평구 갈산동,2,1
인천광역시 부평구 구산동,1,0
인천광역시 부평구 부개동,6,0
인천광역시 부평구 부평동,11,1
인천광역시 부평구 산곡동,4,0
인천광역시 부평구 삼산동,6,1
인천광역시 부평구 십정동,7,0
인천광역시 부평구 일신동,1,0
인천광역시 부평구 청천동,5,0
인천광역시 서구 가정동,6,0
인천광역시 서구 가좌동,13,0
인천광역시 서구 검암동,4,0
인천광역시 서구 금곡동,1,0
인천광역시 서구 당하동,6,0
인천광역시 서구 마전동,5,0
인천광역시 서구 불로동,4,0
인천광역시 서구 석남동,5,0
인천광역시 서구 신현동,2,0
인천광역시 서구 심곡동,4,1
인천광역시 서구 연희동,1,0
인천광역시 서구 오류동,1,0
인천광역시 서구 왕길동,2,0
인천광역시 서구 원당동,2,0
인천광역시 서구 청라동,14,0
인천광역시 연수구 동춘동,2,0
인천광역시 연수구 선학동,1,1
인천광역시 연수구 송도동,5,0
인천광역시 연수구 연수동,4,3
인천광역시 연수구 옥련동,2,0
인천광역시 연수구 청학동,1,0
인천광역시 옹진군 대청면 대청리,1,0
인천광역시 옹진군 덕적면 진리,1,0
인천광역시 옹진군 백령면 진촌리,1,1
인천광역시 옹진군 연평면 연평리,1,0
인천광역시 옹진군 영흥면 내리,1,0
인천광역시 중구 남북동,1,0
인천광역시 중구 내동,0,1
인천광역시 중구 도원동,2,0
인천광역시 중구 선린동,1,0
인천광역시 중구 송학동3가,1,0
인천광역시 중구 신흥동2가,1,0
인천광역시 중구 신흥동3가,1,0
인천광역시 중구 운서동,3,0
인천광역시 중구 을왕동,2,0
인천광역시 중구 인현동,1,0
인천광역시 중구 전동,1,0
인천광역시 중구 중산동,6,0
인천광역시 중구 중앙동2가,1,0
인천광역시 중구 항동7가,1,0
